{'短评内容': '房间还可以，价格还可以。', '短评打分': 5}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '一般的酒店', '短评打分': 2}
{'短评内容': '不算太好', '短评打分': 2}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '好的，的好的嗯好的嗯嗯好的', '短评打分': 5}
{'短评内容': '1.房间一般；2.没有无线网络，有线上网还要折腾很长时间；3.有房间不给艺龙团购(通过艺龙预订了2天后还想再续订但提示没房间，而亲自去前台问则有房)', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '有点脏', '短评打分': 3}
{'短评内容': '5楼好在装修来着  真心差，电脑也没有。还是闭路电视的', '短评打分': 1}
{'短评内容': '这样的价格还是可以了，整体来说不错服务也好。', '短评打分': 5}
{'短评内容': '就在路边，很好找。\n房间有点小，不过上海的房间基本都这样，够用了~房间没异味，通风啥的都好。\n木地板，卫生方面还可以。但也不是特别好。。。感觉枕头套有点不干净。。。我都换了一次枕头套。。\n挺安静的。\n附近有超市，公车站神马的，都方便。\n有一个缺点，没有配吹风筒。\n\n总的来说，不错的酒店。不比七天神马的差~~\n\n', '短评打分': 5}
