{'短评内容': '服务不错，老板大气', '短评打分': 5}
{'短评内容': '还好吧&hellip;&hellip;环境不错，就是有一点点旧', '短评打分': 5}
{'短评内容': '酒店装修很有特色，老板人也很好，考虑到我们有老人还专门替老人调换了不临街的房间。另外早餐也很实惠，种类齐全。', '短评打分': 5}
{'短评内容': '晚上只有热水没有凉水，房间小的可怜', '短评打分': 4}
{'短评内容': '自家出游住到这里，酒店位置很好，房间大，干净，早餐品种丰富，味道可口，附近蒙餐饭店很多，特别推荐烤羊烤羊尾尖。', '短评打分': 5}
{'短评内容': '不错的体验，很好的一次经历', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '大床房，房子挺宽，就是卫生间全透明的，有些怪异。', '短评打分': 5}
{'短评内容': '环境不错，位置也不错', '短评打分': 5}
{'短评内容': '环境还可以晚上休息很安静！出门吃饭很方便整条街多家饭店，想吃羊肉出门右手走100米左右马路对面全是，个人评价孟记的羊肉新鲜好吃！', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 5}
