{'短评内容': '老旧不干净', '短评打分': 3}
{'短评内容': '有的房间洗手间照明无用！', '短评打分': 3}
{'短评内容': '这个宾馆，不想说啥，太次了，地面还有老鼠屎，被子还是破的，隔音差，都失眠了，蓝叟香菇，还贼贵，一个小房间250一晚，很失望，！！！', '短评打分': 2}
{'短评内容': '卫生不好，床单脏，有异味，有蟑螂蚊子。', '短评打分': 3}
{'短评内容': '老板娘人挺好，出门在外都互相理解', '短评打分': 4}
{'短评内容': '挺好的，', '短评打分': 4}
{'短评内容': '性价比高，入住感觉不错！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '非常不错，下次有机会再来', '短评打分': 3}
{'短评内容': '酒店设施还挺全的，就是面对马路有点吵', '短评打分': 3}
{'短评内容': '城建局还经常v觉得还继续吵架', '短评打分': 3}
{'短评内容': '位置还是不错的，在人民路上，三站路到观前街，两站到沧浪亭和文庙，吃饭和游玩很方便，门口就是公交车。普通宾馆，房子比较老，卫生还可以，在十一期间能在苏州定到这个价格的宾馆，已经是性价比很高了。主要还是交通方便些。WIFI信号很好，每个房间一个路由器，这点不错的。建议大家下火车直接公交道这个宾馆，下车就是宾馆门口。苏州火车站广场上黑车太多，好吓人啊，这些骗子居然还穿制服！！！打车点在负一层，要排队，司', '短评打分': 4}
