{'descr': '从来没住过服务态度那么差的酒店，吃个早餐还得看脸色…一肚子火', 'star': 0}
{'descr': '条件设施与价格不符，地方不好找', 'star': 3}
{'descr': '整体还算舒适，周边环境有噪音', 'star': 4}
{'descr': '太偏，难找，难打车，飞机误点临时住还凑合。', 'star': 2}
{'descr': '有点旧了，离机场近，应该是招待所改的，卫生间里比较破旧，实在是那个，不推荐。', 'star': 5}
{'descr': '很干净，性价比比较高!服务很好。', 'star': 3}
{'descr': '地方很偏 在一个小院里 环境也很一般 厕所马桶的盖子坏了 用胶带粘住的。。。性价比不高', 'star': 1}
{'descr': '酒店周边部队挺多的，挺适合部队家属入住，价格挺实惠，环境挺干净舒适的。', 'star': 3}
{'descr': '环境很安静，睡眠质量很高，价格挺实惠的。', 'star': 5}
{'descr': '卫生很好，服务很好，设施也不错，就是位置比较偏点。', 'star': 3}
{'descr': '房间卫生打扫的还不错，设施有些老旧，早上能提供早餐，价格也不贵，总体感觉还好。', 'star': 3}
{'descr': '酒店挺不错，入住率挺高，价格挺实惠，挺受欢迎的。', 'star': 3}
{'descr': '酒店紧邻部队区，价格挺实惠的，挺适合部队家属人员入住。', 'star': 3}
{'descr': '位置有点偏，设施服务还是挺到位，价格也挺实惠的。', 'star': 3}
