{'短评内容': '来早了，房间还没腾出来。', '短评打分': 3}
{'短评内容': '环境还不错，老板人也很好。以后还会去住。', '短评打分': 5}
{'短评内容': '!酒店很小！但都几雅致！', '短评打分': 3}
{'短评内容': '我和好姐妹一起去的，当时订房的时候觉得如沐很美，可是不敢确定是不是实景和图片一样，到了之后发现真是一模一样，又非常干净，我好朋友超级喜欢，说这个价格很值，下次来一定还住这里，而且会推荐给别人哟~', '短评打分': 5}
{'短评内容': '房间很漂亮', '短评打分': 3}
{'短评内容': '位置很好，酒店很安静，老板人非常热情，我和女儿去的，入住时老板还给换了一个孩子很喜欢的房间，西塘非常美，景美，人美', '短评打分': 5}
{'短评内容': '11号入住的 到了老板热情的介绍西塘旅游攻略 房间很干净 卫生间的洗澡水很冲 向大家说的老板很帅 晚上在他家买了两份冰淇淋 老板还给了非常优惠的价格 就是感觉天香房的插座有点少 临河不临河其实无所谓 临河打开窗一眼望去全是楼下晾的被子', '短评打分': 5}
{'短评内容': '房间很干净 尤其是床单和卫生间，本来还打算自己带床单来着，去了觉得自己多余了，老板夫妻两很年轻，像朋友一样，没有商业的感觉，很温暖。', '短评打分': 5}
{'短评内容': '这家店 298 的双人房太烂太烂！！ 地下一层 环境恶劣 又潮 其他498的房间 环境还不错 ', '短评打分': 5}
{'短评内容': '果然，老板真的很帅~ 哈哈哈哈。。。  房间还可以啦，反正就是睡睡觉啦，床还真是复古， 感觉好像穿越。。。。', '短评打分': 5}
{'短评内容': '老板的小孩很可爱 老板自己还来接我们 态度很好 值得推荐', '短评打分': 5}
{'短评内容': '环境不错 就在景区里 很好 老板很帅 像吴彦祖 ', '短评打分': 5}
{'短评内容': '位置在醉园，烟雨长廊。干净舒适，老板人很好，主动给我调了比预定更好的房间，还放心的把旅店的大门钥匙也交给了我。', '短评打分': 5}
{'短评内容': '客栈不错的哦！很干净。是在景区里面，就在烟雨长廊。去古镇里的任何地方都很方便。而且老板都很热心，很好的哦！', '短评打分': 5}
{'短评内容': '挺干净的，就是有点闷', '短评打分': 3}
{'短评内容': '老板一家人很好,很热情.住起来还不错.虽然是在老房子里面,但是里面陈设不错.', '短评打分': 3}
{'短评内容': '老板非常热情，房间不错。还告诉我们哪好吃好玩，晚上与老板酒吧偶遇，玩的非常开心', '短评打分': 3}
{'短评内容': '房間好溫馨，床有點硬', '短评打分': 3}
{'短评内容': '环境不错,房间漂亮干净,店主态度很好,我们临时换房还给了优惠。推荐逸水湾!', '短评打分': 3}
{'短评内容': '房間有點小，但是挺乾淨的，住著很舒服。床很好！！', '短评打分': 3}
{'短评内容': '老板很热情，房间也比较干净，就是隔音效果稍差，隔壁动静都听到了！', '短评打分': 3}
{'短评内容': '房子不大，但是很精致，床相当舒服，电视台比较少，不过没关系啦，到那不是看电视去了，热水微微不太给力，压力小，而且需要放一会儿才热。总体来说挺不错的客栈，推荐！', '短评打分': 5}
{'短评内容': ' 房间不错，就是厕所一般。环境蛮好的。', '短评打分': 3}
{'短评内容': '老板很帅，房间很干净！服务很好！推荐住这家旅店的大床房哦！！', '短评打分': 5}
