{'短评内容': '非常好！满意，房间大，电视大，非常不错', '短评打分': 5}
{'短评内容': '非常满意，非常喜欢', '短评打分': 5}
{'短评内容': '酒店很好，服务员态度也很好', '短评打分': 5}
{'短评内容': '很好很好，服务态度很好，环境好，非常满意', '短评打分': 5}
{'短评内容': '打开房门，房间不小，一股怪味，床单被罩都好像没有换过，有毛发，要求更换服务员也是不情不愿的，水壶脏，都不敢用，要说优点也只有电视能看，不算小，有空调，房价便宜了吧！前台态度不好！', '短评打分': 1}
{'短评内容': '酒店挺好的设施全', '短评打分': 5}
{'短评内容': '没有早餐，排气扇是坏的，马桶一打开全是烟头', '短评打分': 3}
{'短评内容': '没早餐可吃！', '短评打分': 3}
{'短评内容': '环境一般般，但是比较安静', '短评打分': 5}
{'短评内容': '环境一般般，但是比较安静', '短评打分': 5}
{'短评内容': '还可以，就是隔音不太好', '短评打分': 5}
{'短评内容': '环境不错，周边交通便利，离上海市场非常近，房间很大不会有压抑感，电视超级大，很喜欢，下次还会来这里入住', '短评打分': 5}
{'短评内容': '房间还可以，就是有点老，服务还可以，床太潮', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '不错，下次还去', '短评打分': 5}
{'短评内容': '酒店不错，一开始房间的电视坏了，但是酒店给换了一间，服务态度好，酒店的设施不错，希望能够提供一次性的拖鞋', '短评打分': 5}
{'短评内容': '居然房间里没无线密码，还要问前台', '短评打分': 3}
{'短评内容': '第二次入住，还行就是房间设施有点老化了。', '短评打分': 5}
{'短评内容': '很一般的酒店，入住时发现窗帘坏的窗户插销坏的，总台说让人来看看，两分钟不到一女子打电话过来说请到总台换房间，人没来过就知道东西确实是坏的，就说明早就知道，还把房间订出去，管理混乱。最后换到４楼，其他还都不错，还能住。另外说下，旁边的饺子馆腰花和大肠炒的很好吃。', '短评打分': 3}
{'短评内容': '客房配置柜机第一次见，房间设施有点陈旧了，不过总体来说还可以住的。', '短评打分': 4}
{'短评内容': '环境优美   住的很舒适  服务态度很好', '短评打分': 3}
{'短评内容': '愿意下次再去！', '短评打分': 4}
{'短评内容': '挺好的， 和照片上的一样。周围很安静。\n挺好的， 和照片上的一样。周围很安静。', '短评打分': 5}
{'短评内容': '价格还可以，有些旧，整体还可以，房间很宽敞，就是太潮了，被子都很潮', '短评打分': 5}
{'短评内容': '酒店不错，装修也挺好~房间也挺好~~~~~', '短评打分': 5}
{'短评内容': '酒店不错，装修也挺好~房间也挺好~~~~', '短评打分': 5}
{'短评内容': '还是挺安静的 早餐种类较少 但是还是比较好 就是离火车站太远了', '短评打分': 5}
{'短评内容': '性价比不错，交通方便。房间大小合适，干净卫生。如果餐饮质量提高就更好了。', '短评打分': 5}
{'短评内容': '还可以吧。楼下网吧，台球厅，洗浴城都有。就是送的早餐太难吃了。看了一眼，我就饱了', '短评打分': 5}
{'短评内容': '非常差的酒店，趁着牡丹花会期间涨价，要不然完全不值这个价。', '短评打分': 1}
{'短评内容': '环境不错，，，，环境不错，，，，环境不错，，，，环境不错，，，，', '短评打分': 5}
{'短评内容': '    不怎么好的是去住那个房间的俩个灯坏了，等了半天也没见人上去修。还有最重要的一点是地理位置太不方便了 ，理火车站太远。。好的一点就是服务人员的态度还好!', '短评打分': 5}
{'短评内容': '房间很大，信价比高，如果不在花会期间，价格会更低', '短评打分': 5}
{'短评内容': '牡丹花会期间去住了一晚 连订两间 却是如上所说 性价比还好 不过就是坐公交车把我坐得快吐了', '短评打分': 5}
{'短评内容': '不推荐住这家酒店，理由如下：1）该酒店离洛阳火车站和洛阳龙门车站都很远，打车费用洛阳站要27+1，龙门站29+1（1是燃油附加费），坐公交车洛阳站要45分钟，龙门站还没有直达公交车；2）酒店离大型商业区较远。最近的是万达广场打车也要11+1，公交车要做7站。要是去洛阳中心商业区（王府井一带）也要45分钟车程；3）酒店周边无娱乐设施。最近的王城公园乘公交还要倒一次车。4）酒店价位在没有抵扣或其他优惠', '短评打分': 1}
{'短评内容': '酒店整体不错,但不知道为什么房间不配香皂,还是第一次遇到,呵呵', '短评打分': 3}
{'短评内容': '酒店环境宽敞，服务态度非常好。交通便利。', '短评打分': 3}
{'短评内容': '88888888888888888888888888888888888888888888888888888888888888888888888888888888888888', '短评打分': 5}
{'短评内容': '房间大，空调好用。服务也好，就是早餐不要太晚去，否则就没有什么吃的了', '短评打分': 5}
{'短评内容': '酒店条件还不错，工作人员服务挺好的，只是还没有与国际接轨，外籍护照不能办理入住，希望改进', '短评打分': 5}
{'短评内容': '环境优雅，价格合理，交通的购物都很方便，距离上海市场步行街很近！', '短评打分': 5}
{'短评内容': '这价酒店还可以，表现中规中矩。\n早餐没赶上。', '短评打分': 5}
{'短评内容': '条件挺不错的，性价比较高', '短评打分': 3}
{'短评内容': '大厅走廊有异味，而且服务态度很一般，我到前台好一会竟没人理会招呼，实际住宿条件和价格有差距，床上用品，如：被子、枕头不干净。希望贵酒店能有所改进。', '短评打分': 1}
{'短评内容': '不错，经济舒适，服务到位', '短评打分': 3}
{'短评内容': '基本上还是挺满意的，推荐 ，基本上还是挺满意的，推荐 ，基本上还是挺满意的，推荐 ，基本上还是挺满意的，推荐 ，基本上还是挺满意的，推荐 ，', '短评打分': 5}
{'短评内容': '地理位置还可以，酒店二次装修时间较久，设施陈旧\n路上路过七里河店，看外表好像要新一些\n在这个价位的宾馆很多，这样的配置没有什么竞争力', '短评打分': 1}
{'短评内容': '还可以，性价比值，就是有的房间味道很重，刚装修的', '短评打分': 5}
{'短评内容': '酒店大门不明显，房间比较干净，但是空调不怎么好使', '短评打分': 1}
{'短评内容': '房间设施不错，居然用的是柜机空调。住店还能享受餐厅8折优惠。', '短评打分': 5}
