{'短评内容': '酒店早餐都是现做的，饭菜都很热乎，适合带上孩子一起住，酒店挺干净，酒店所在位置处于国际商贸城三期不远的好地方，位置很不错，周边全是好吃的，街上的晚上很热闹，但酒店内隔音好，并且有停车场', '短评打分': 5}
{'短评内容': '周边饭店多，离商贸城近，交通方便，酒店环境不错，干净，服务热情，早晨丰富', '短评打分': 5}
{'短评内容': '早餐丰富，环境优雅', '短评打分': 5}
{'短评内容': '很喜欢这个酒店干净', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '就是有点小', '短评打分': 5}
{'短评内容': '挺好的环境也不错商务出差就更棒了，附近饭店也挺多啊，最重要里商贸城近啊悭，真心不错，用心推荐，真是verygood', '短评打分': 5}
{'短评内容': '可以，不错。', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还不错，可以', '短评打分': 4}
{'短评内容': '这个价位住这样的酒店太划算了，地理位置也好，附近吃饭很方便。', '短评打分': 5}
{'短评内容': '环境不错，住着挺好', '短评打分': 5}
{'短评内容': '环境不错，住着挺好', '短评打分': 5}
{'短评内容': 'great location, good service, chinese breakfast just ok,. need better coffee, need also the hot water for  shower,water no strong for shower, need separate floor for smoking room and need no smoking i', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
