{'descr': '挺划算的，这个价位', 'star': 4}
{'descr': '酒店有音乐，很不错哟', 'star': 5}
{'descr': '一直住7天，不错', 'star': 5}
{'descr': '酒店位置非常好，车站下车2分钟就到，很快就找到地方即使办理入住，前台接待员态度很好，还要送睡前牛奶，给我选了一个靠小区安静的房间，一进房间感觉很明亮干净，经济酒店中算很实惠性价比很高的了，卫生做得也不错，床垫睡着很舒服，热水很快，无线网络很好，还借了一根数据线，而且房间能用USB充电，非常人性化，这个酒店我一定会推荐更多朋友来体验。', 'star': 5}
{'descr': '适合带孩子', 'star': 5}
{'descr': '大床，很大，睡着比较舒适这次感觉这个价位很值', 'star': 5}
{'descr': '不错，很实惠。很不错的酒店', 'star': 5}
{'descr': '好评，赞一个', 'star': 5}
{'descr': '不错  挺好吧  服务好', 'star': 5}
{'descr': '渐渐的喜欢上这一家，所以强烈推荐！', 'star': 5}
{'descr': '挺喜欢的一家，去哪儿都刚刚好！', 'star': 5}
{'descr': '好的很嘛', 'star': 5}
{'descr': '很喜欢的一家店，简单大方，价格实惠，所以推荐给大家。', 'star': 5}
{'descr': '酒店地处商圈，位置优越，逛街方便没话说。酒店服务也让人愉快，住的不错~', 'star': 5}
{'descr': '酒店不错，舒适，逛街又近，服务也挺好，总之是不错的入住之选！', 'star': 5}
{'descr': '周边太吵了，', 'star': 2}
{'descr': '住了N多次了', 'star': 5}
{'descr': '卫生还不错，只是卫生间的吹风不给力，交通方便，出酒店门左面有公交车站，右面走过地下通道在往前走就是轻轨2号线。', 'star': 4}
{'descr': '房间性价比很高', 'star': 5}
{'descr': '交通便利', 'star': 5}
{'descr': '很好，很满意', 'star': 5}
{'descr': '帮人订的，不知道怎样，应该还行吧。', 'star': 4}
