{'短评内容': '晚上10点多订的闪住，网上支付无押金。早上5点出去办事忘记把房卡交前台，下午4点钟觉得不合适决定把房卡送回去结果非要收我90块钱，说是过了退房时间。早知道还不如不好心送回去，前台态度很差。差评', '短评打分': 2}
{'短评内容': '有窗有停车位，可以从窗看到山，但是设备差，隔音差', '短评打分': 3}
{'短评内容': '这里酒店不错，干净整洁，但位置太偏了交通还行，但旁边有部队单车信号不好扫不出来就不能骑只能乘公交或走路', '短评打分': 4}
{'短评内容': '酒店！服务房间都还可以！就是真心太偏了！吃饭忒不方便！出门交通不便。酒店内部虽然有一家饭店！但是价格比较贵！一份烤土豆7片！10块！拍个黄瓜！16块！还要比5❤酒店旅游景点的还贵！坑爹。只有一家！独家经营嘛！想想就蛋疼，以后再也不住那了！', '短评打分': 3}
{'短评内容': '一般，不太好，服务态度', '短评打分': 3}
{'短评内容': '质量非常差 浴巾很脏 浴室厕所简单 没有吹风机', '短评打分': 1}
{'短评内容': '棒。。', '短评打分': 5}
{'短评内容': '设施比较旧，但价格还可以', '短评打分': 4}
{'短评内容': '一般般，凑合吧', '短评打分': 2}
{'短评内容': '卫生令人担忧', '短评打分': 2}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '酒店一般。', '短评打分': 3}
{'短评内容': '房间卫生需要改进，服务一般，卫生需要改进', '短评打分': 3}
{'短评内容': '酒店比较偏，设施比较陈旧，不过价格很合理', '短评打分': 3}
{'短评内容': '还行，挺好的，水挺热的，床挺软的，地方有点偏还有就是设备有点旧', '短评打分': 3}
{'短评内容': '房间很干净，服务很好', '短评打分': 3}
{'短评内容': '很一般', '短评打分': 3}
