{'短评内容': '还可以，一般般', '短评打分': 3}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉  布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '离西溪湿地很近，位置挺好的，觉得便宜些订了这一家，房间还挺大不会很小，但是卫生不太好。地板厕所都有点脏，就是廉价酒店的感觉吧。', '短评打分': 3}
{'短评内容': '最重要是有味道，太旧了', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '下车不太好找，酒店没有电梯，总共4楼', '短评打分': 4}
{'短评内容': '住宿条件好', '短评打分': 5}
{'短评内容': '非常好 非常好 非常好 非常好', '短评打分': 5}
{'短评内容': '嗯，不错的，', '短评打分': 5}
{'短评内容': '住了两天酒店还好挺不错的，就是位置不太好。', '短评打分': 3}
{'短评内容': '很好，环境不错，就是偏了点', '短评打分': 3}
{'短评内容': '很一般吧，主要是国情太贵了，实在找不到地方了', '短评打分': 3}
{'短评内容': '挺好的！！！！！！！！！', '短评打分': 3}
{'短评内容': '一般，装修有点旧', '短评打分': 4}
