{'短评内容': '客房服务较好', '短评打分': 4}
{'短评内容': '干净，便宜', '短评打分': 5}
{'短评内容': '一般，性价比不高', '短评打分': 4}
{'短评内容': '房间大小合适，位置优越，附近打车就有商场，大洋百货。，硬件设施比较好。但是，吹风机不好用，无线网几乎连不上，洗手间有异味。希望可以提升。', '短评打分': 5}
{'短评内容': '房间大小合适，位置优越，附近打车就有商场，大洋百货。，硬件设施比较好。但是，吹风机不好用，无线网几乎连不上，洗手间有异味。希望可以提升。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还是可以的，环境', '短评打分': 5}
{'短评内容': '环境不错房间很大，网络连接高速，早餐丰富味好', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '挺好的在宜昌', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很干净。性价比高。', '短评打分': 5}
{'短评内容': '还可以哦 价格合理 下次还会定这里', '短评打分': 4}
{'短评内容': '经常下榻的酒店，很不错。', '短评打分': 5}
{'短评内容': '价格便宜，交通方便', '短评打分': 5}
{'短评内容': '设施较新，地段便利，大堂气派，房间舒适', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '住三人房, 三张床房间大, 网速也够, 配得上五星', '短评打分': 5}
{'短评内容': '酒店很大气,房间很大,还有衣帽间,洗手间宽敞明亮,物超所值,下次还入住,赞一个!', '短评打分': 3}
{'短评内容': '设施挺好的，服务有待该进，价格在优惠点就好。', '短评打分': 5}
{'短评内容': '非常的不错,很好的一家酒店，大床房睡得很舒服', '短评打分': 5}
{'短评内容': '酒店服务很好 我丢了东西 还给我寄了回来的', '短评打分': 5}
{'短评内容': '不在繁华的街道，刚开业一切都比较新，但是卫生间发现了2只蚂蚁，卫生间没有浴缸，只有淋浴，想泡澡的就别选择了。早餐55一位，有点小贵。整个酒店总体价格还行。', '短评打分': 5}
{'短评内容': '环境不错。交通便利，装修比较新，下次可以入住。', '短评打分': 5}
{'短评内容': '酒店不错，比较新，价格合适！装修的不错，好多装饰富有新意！', '短评打分': 5}
{'短评内容': '上网不行', '短评打分': 3}
{'短评内容': '上网速度太慢，不像五星饭店', '短评打分': 3}
{'短评内容': '酒店前台感觉不爽，但房间内设施较好，床上用品也很舒适。\n总体服务也好。只是客房下面的娱乐室有点噪..', '短评打分': 5}
{'短评内容': '1、用360网速检测3次，等级为：牛车。\n2、服务态度生硬。\n3、过春节的大堂里没有任何节日气氛。\n4、大床的高度偏高。本人1.65米（在女性身高中算适中的），然而坐在床上双脚离地，，，，可能是为欧洲人设计的。', '短评打分': 1}
{'短评内容': '入住当晚楼下KTV唱到半夜，第2天清早其他房间整修，吵得人休息不好。', '短评打分': 5}
{'短评内容': '在宜昌算高档酒店。\n环境不错，设施齐备。\n性价比还算过得去。', '短评打分': 5}
{'短评内容': '不错的酒店，在当地算档次高的了。\n设施完备豪华。\n服务也不错。\n值得推荐。', '短评打分': 5}
{'短评内容': '很安静很舒适。', '短评打分': 3}
{'短评内容': '不错的酒店，房间比较新，就是位置偏一点，总体值得入住', '短评打分': 5}
{'短评内容': '非常好 非常非常好  去宜昌一定到住这里  挑不出毛病', '短评打分': 5}
{'短评内容': '新建的酒店 条件还不完善，与五星相比还需加油！', '短评打分': 5}
{'短评内容': '新建的酒店  条件很不错～床很舒服～装修也很好～早餐种类很多，特别是甜点～我喜欢～宜昌很好的酒店～', '短评打分': 5}
