{'短评内容': '不错可以，', '短评打分': 5}
{'短评内容': '以前就住过好多次了，挺好的。挺干净。以后还会去，还不贵呢。', '短评打分': 5}
{'短评内容': '还可以吧。没有窗户的有点闷', '短评打分': 4}
{'短评内容': '环境挺好不错的，价钱合适', '短评打分': 5}
{'短评内容': '很好，舒适，卫生好。', '短评打分': 5}
{'短评内容': '没吃过早餐，住的时候没有吹风机', '短评打分': 5}
{'短评内容': '就是没吹风机', '短评打分': 4}
{'短评内容': '其他都好，就是没有空调。招待客人的，因为离家里比较近所以选择了这家酒店。预定之前还专门给前台打了电话，问商务房ABC房间的区别。最后选择了价钱比较贵的商务A。然后呢？结果呢？没！有！空！调！！！？？西安30度没有空调？说是物业在维修，所以没有空调？？？然后呢？窗户到是挺大的，但是！窗户的开口就那么小，风根本吹不进来好吗？把人家热的大半夜不盖被子睡觉？我一天交着150多的房费是来买一个舒服的，结果呢？你们让别人住没有空调的房间？？跟前台说这个事情，直接告诉我，那我给你拿一个风扇上去吧？？？要不然你就把房费放低，要不然你就把空调给人弄好，给我一个风扇干嘛？我掏着住酒店的钱，享受的是住城中村招待所的待遇是嘛？没有住完就退房了，以后不会再来！！', '短评打分': 5}
{'短评内容': '挺好的，住过好多次了，本来定的4天，临时出了点意外，跟客服联系以后给退款啦。', '短评打分': 5}
{'短评内容': '刚好六个字呦', '短评打分': 5}
{'短评内容': '哎呦不错哦', '短评打分': 5}
{'短评内容': '还不错，整体挺满意', '短评打分': 5}
{'短评内容': '可烂了  各位慎重  睡到九点也没看见太阳?光线进来  说好的返钱呢？', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '性价比比较合适。', '短评打分': 5}
{'短评内容': '性价比比较合适', '短评打分': 5}
{'短评内容': '酒店还算安静，服务态度挺好，就是周边吃饭的地方卫生环境令人担忧', '短评打分': 4}
{'短评内容': '差差差差差差差差差差差差差差差差差差，太差了，和照片相差天壤之别！', '短评打分': 1}
{'短评内容': '房间有些小了，有些老旧，服务比较好', '短评打分': 5}
{'短评内容': '服务热情，房间干净，价格合理。值得推荐。', '短评打分': 4}
{'短评内容': '味道太臭了', '短评打分': 2}
{'短评内容': '新开业的酒店，装修挺好。以快捷酒店的标准来说，软件硬件都很好。\n唯一缺点就是有的房间暂时还上不了网。', '短评打分': 5}
