{'短评内容': '如家快捷酒店（东莞火车站店）。。。你最明智的选择》》》》', '短评打分': 5}
{'短评内容': '酒店真的像迷宫一样，隔音是有点问题但是还可以吧', '短评打分': 3}
{'短评内容': '没常平大道那一间好，没吹风机，空调不够凉，反正跟另一家没法比。没常平大道那一间好，没吹风机，空调不够凉，反正跟另一家没法比', '短评打分': 1}
{'短评内容': '地點極佳，沒窗戶房間，異味比較重，以搭乘重要性方面是建議可住，如以輕鬆旅遊之行，還是建議多考量。', '短评打分': 5}
{'短评内容': '地方不错，出火车站200米就到，地方干净，房间挺大，以后到东莞还住这', '短评打分': 5}
{'短评内容': '房间比其他如家同价位的房间要窄，除此之外没其他问题。', '短评打分': 5}
{'短评内容': '很好.很干净.', '短评打分': 3}
{'短评内容': '还算干净，住的那间没窗户，白天都很黑', '短评打分': 3}
{'短评内容': '火车站就在对面，酒店边上是银行和超市，就是没窗户，住着比较闷', '短评打分': 5}
{'短评内容': '不错，性价比很高的酒店，下次还要入住。干净，方便', '短评打分': 5}
{'短评内容': '相当方便的一个酒店适合商务坐火车选择的酒店，周边环境很一般', '短评打分': 5}
{'短评内容': '已经是第二次入住了，这个地方很方便，服务也不错，值得推荐哦。', '短评打分': 5}
{'短评内容': '住了2天，換了2間房，一到早上5點就像沒空調一樣，好熱！', '短评打分': 5}
{'短评内容': '不错,很经济实惠的一个酒店,地理位置十分好!', '短评打分': 5}
{'短评内容': '酒店位置比较好，在东莞火车站旁边，方便，干净。值得入住。', '短评打分': 5}
{'短评内容': '没有窗户，不是很舒服，其他还马马虎虎，而且如家的前台总是算错帐，怀疑是故意的，上次房费132给我刷了152，我回来才发现，也没办法去要了，这次我给现金，又弄得特别复杂，让我给60零钱，然后退我押金，算了好一会才发现又少给我找了5块钱，建议大家以后结账都要小心点', '短评打分': 1}
{'短评内容': '非常舒服', '短评打分': 3}
{'短评内容': '价格便宜，交通方便。还有返利。值得一住，下次还来。', '短评打分': 5}
{'短评内容': '还不错，总体环境还好，有点漏音哈哈，不过不影响啦交通还方便的，房间光线也还行，都比较卫生', '短评打分': 5}
{'短评内容': '订的是无窗大床房（貌似整个酒店有窗户的房子不多），很安静，热水也很好，每一楼层面积很大，虽然指示牌很多，但找到自己房间总感觉走迷宫似的。。。', '短评打分': 5}
