{'descr': '位置稍微有点难找，不过很安静', 'star': 4}
{'descr': '还不错', 'star': 5}
{'descr': '就那样', 'star': 4}
{'descr': '环境不错，交通方便', 'star': 5}
{'descr': '酒店位置不错，性价比还可以。', 'star': 4}
{'descr': '还不错的', 'star': 5}
{'descr': '各种不好。周围有很多那种特殊服务的店，晚上自己回去，感觉很可怕。酒店很冷，味道很大，换不了，服务员来处理，就是喷了好多空气清新剂，更难闻了。吹风机还是走廊公用的。元旦前台还只有一个人，处理很慢。', 'star': 3}
{'descr': '下次还来安静', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '出门方便 整体不错', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '周围比较安静，还行', 'star': 4}
{'descr': '比较一般 设施陈旧', 'star': 3}
