{'短评内容': '前台工作人员服务周到，和蔼可亲，希望有缘再此入住', '短评打分': 5}
{'短评内容': '前台服务员男孩阳光 ，女孩雅静，热情大方，值得继续来下榻。', '短评打分': 5}
{'短评内容': '挺不错的，开始订了一晚，住的房子被预订出去了。后来又换个房间再住了一晚。总体感觉很好。值得推荐', '短评打分': 5}
{'短评内容': '酒店近地铁站，楼下小吃也多，比较方便。店内设施卫生状况也都不错。值得信赖', '短评打分': 5}
{'短评内容': '房间有点小，沐浴露还没了', '短评打分': 4}
{'短评内容': '房间对着电梯，洗手间如图，你让我这个胖子怎么洗漱。这两星是给酒店的工作人员的，服务态度很好，问题处理很及时。用京东这么多年第一次给差评。', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常适合我', '短评打分': 5}
{'短评内容': '房间里的设施有些老旧了，但是地段不错，交通方便，还算卫生', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很不错，位置好，出行方便', '短评打分': 5}
{'短评内容': '刚装修好的看着很新，但一些细节不尽如人意，比如墙壁上有脚印和水迹，电吹风不好使，床单看着新换的，上面有虫子尸体。但大致还不错，尤其洗澡水大又热。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '基本上干净，但是如图还是有很多不干净的小地方。冬天的晚上也能在房间内看到小虫，白天的时候倒是没看到估计是开窗的原因，既然如此为何不加个纱窗呢…窗户本来小了点，打开透气很正常吧。 最最不满意的就是网络了！公共Wi-Fi，到晚上基本没法用，房间有有线网络接口，但是并不能用（蛋疼）。 周边吃的很多，离春熙路很近。', '短评打分': 4}
{'短评内容': '春節後去的,地方不是很好找,沒有很好的建築單位參照,在春熙路問了好多人打電話問店員,店員也說的不明確,還是急急忙忙走路摸索找到的.房間不錯,預定的時候網上說不提供洗漱用品,但還是提供了,提前退房店員也積極的跟我們說明了情況辦理了退房,下次去成都還會去他們家,很實惠,還算舒適的了.', '短评打分': 5}
{'短评内容': '还不错，就是有点吵', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好，环境好。。。。。', '短评打分': 3}
{'短评内容': '干净整洁卫生，总体不错', '短评打分': 4}
{'短评内容': '干净整洁，就是小了点，总体还是不错的。', '短评打分': 4}
