{'短评内容': '环境没得说，早上睡醒看着沱江，就是稍微有一点点远~', '短评打分': 5}
{'短评内容': '客栈里面很干净，瓜哥很好，大厅很气派，主要是位置很合适，其实不算偏，走到虹桥也就几分钟，可是晚上睡觉很安静，既方便玩也方便睡觉，超赞，好遗憾没有住到带藤椅的临江房，下回一定要去体验~！！瓜哥等我啦~！幸福吧也很赞，幸福很可爱~！出了幸福里旁边就是一个大平台有椅子可以坐在江边，很惬意~！推荐~！！！屋子里很美~！', '短评打分': 5}
{'短评内容': '所谓亲水间，视野也不是很宽阔，房间的空间不大，装修也一般，没什么新意，最主要是位置过于偏僻，不推荐。', '短评打分': 1}
{'短评内容': '吊椅太舒服了，都想抱回家了。老板很热情，阳台风景很好可以看到外边，刚好是私家船的港口，小心不要被偷拍了哟。房间很温馨有回到家的感觉哟。', '短评打分': 5}
{'短评内容': '环境还可以，挺温馨的，在凤凰这种小镇还算OK啦', '短评打分': 5}
{'短评内容': '幸福里装修很好，瓜哥亲自接车拿行李，人很健谈，一起分享了香茗，希望下回可以再见瓜哥！', '短评打分': 5}
{'短评内容': '地方有点偏，但离虹桥也不远，房间也还不错，挺温馨的。有电视电脑空调，但晚上都不需要开空调，挺凉的。住的一楼，推窗就是沱江，可以看到泛舟。', '短评打分': 5}
{'短评内容': '和照片上的图片相符，里面员工挺亲切，在官道上面，晚上很安静，亲水房可以看到小舟从窗前划过，很有诗意，', '短评打分': 5}
{'短评内容': '装修很有个性，被单也挺干净，望江而坐，特色藤椅，喝杯下午茶很惬意!', '短评打分': 3}
{'短评内容': '相当不错的酒店 家一般的感觉 朋友们一定要去住 真的很不错', '短评打分': 5}
{'短评内容': '老板人挺不错，从汽车站私人的过去要15元，接与送都一样。就是地方太偏了，看不到夜景。', '短评打分': 1}
{'短评内容': '环境优雅', '短评打分': 3}
{'短评内容': '特别舒适', '短评打分': 3}
{'短评内容': '非常舒适、环境好', '短评打分': 3}
{'短评内容': '价格偏高了点，新楼房间味道蛮大的，不过房间还算蛮干净蛮时尚，总体感觉不错，但一定要选临江的有阳台有吊椅，我选的是188房间', '短评打分': 5}
{'短评内容': '客房设计很独特，老板服务态度很好，下次还会入住。', '短评打分': 3}
{'短评内容': '慕名而去，装饰格调比适合年轻人，温馨，就是床单被套有些旧，但地处较偏，雨天路面很脏，卫生间简陋潮湿，灯不亮没人换，电视没信号没人管，阳台推门锁不上，整晚都享受水坝流水声，性价比值得斟酌', '短评打分': 1}
{'短评内容': '客栈不错，不过在旺季太过于抢手', '短评打分': 3}
{'短评内容': '空调不是很给力，早上起来很冷，住的屋子跟图片上的不是同一个。', '短评打分': 5}
{'短评内容': '很好的一家客栈,有家的感觉,就是和同类客栈比贵了点.', '短评打分': 5}
{'短评内容': '客栈位置有点远不过挺安静。设施挺齐全。服务也不错还有代售车票。', '短评打分': 5}
