{'短评内容': '卫生条件一般吧，不能跟大城市比，房间不错', '短评打分': 4}
{'短评内容': '距离景区近，但入口有点泥泞，在修路（估计修了很久还依旧这样吧），房间卫生不是很满意，国庆都涨价了，入住的时候涨的还不是很多', '短评打分': 5}
{'短评内容': '房间性价比很高，很大，提前定比较划算', '短评打分': 5}
{'短评内容': '有点像民宿，条件很一般，但老板很热情，第二天走的时候还特意开车送我到车站。', '短评打分': 4}
{'短评内容': '很满意，客栈在宏村西门，不是一般游客进入的东门，但到了宏村一个电话老板立马开个小三轮来接我们了，很热情。房间很大，有一个超大的窗户，光线很好，屋顶是木头的，吊灯很古香古色，床也比一般标间的大，就是热水有点慢要放一会儿凉水才热，有点心疼水，电吹风非常强劲，风大也热。从客栈走路到宏村西门就三四分钟，很近，而且西门那边物价比较便宜，还可以看马车虽然马车不拉人，去卢村也近，往卢村方向走一小段路有一个上官面', '短评打分': 5}
{'短评内容': '由于怕定宏村里面的房间开车不方便进，所以把房间定在了村外较近的地方，客栈房间内的设施还不错，干净整齐，当时定的无烟房，房间真的没有烟味，后来老板说他们这里都是无烟房（这个有待其它网友体验）客栈早晨可提供10元标准的早餐，（房费不含的，要另加哦）不过要提前告知或等待时间长一些，最该提醒的是这里停车难！！！小路很窄开进去只能倒出来，而且两遍都是客人的停车，小路两遍还都是大石头，好不容易有一块空地还在盖', '短评打分': 4}
{'短评内容': '自驾游去的 不知道为什么百度地图定位的地方不准 让老板娘去接的 态度很好很耐心建议周边旅游攻略 知道我们人多安排的房间是两张一米五的大床房 房间不潮但有点新装修的木头味 开空调散散味就好了 老板娘真的是特别实在 厨艺也不错 一楼可以直接点菜吃饭 很好吃 早餐十块钱比外边也便宜 可以免费停车 总之经济实惠 强烈推荐！！！', '短评打分': 5}
{'短评内容': '很好啊   价格便宜  就是不好早', '短评打分': 4}
{'短评内容': '房间很干净，房东人很nice', '短评打分': 5}
{'短评内容': '提前订的，五一期间也没有涨价，不错。老板自采的野茶叶味道很好。', '短评打分': 5}
{'短评内容': '非常不错，尤其老板人非常热情，有接送，还是非常拉风的电动三轮车，对于十一期间到处都塞车来说，很拉风很霸气。晚饭早餐也都是在老板家吃的，老板自己炒的菜，味道很好，房顶还有大片的晒衣服的地方，这对于出远门的我们来说太起作用了。总之体验非常不错。', '短评打分': 5}
{'短评内容': '非常不错，尤其老板人非常热情，有接送，还是非常拉风的电动三轮车，对于十一期间到处都塞车来说，很拉风很霸气。晚饭早餐也都是在老板家吃的，老板自己炒的菜，味道很好，房顶还有大片的晒衣服的地方，这对于出远门的我们来说太起作用了。总之体验非常不错。', '短评打分': 5}
{'短评内容': '位置很好，设施太差，卫生不错', '短评打分': 2}
{'短评内容': '老板人很好，热情大方。在网上预订了一晚，到了后发现还想住一晚老板也就同意了，就收了100块，比网上还要便宜一些??房间还是很干净卫生的，不过热水有点不稳，没有电吹风洗完头就有点烦躁，不过正好趁着晾头发的时候写下游记。距离宏村西门很近的，走路也就三四分钟就到了，不过因为有的地方在大建所以下雨有些难走。', '短评打分': 5}
{'短评内容': '还可以，老板娘人很好，而且还来接我们。', '短评打分': 4}
