{'短评内容': '克拉玛依宾馆值得推荐的。', '短评打分': 5}
{'短评内容': '还行吧，不错', '短评打分': 5}
{'短评内容': '早餐太差了！', '短评打分': 3}
{'短评内容': '一般，太一般，感觉太老，东西太少。', '短评打分': 3}
{'短评内容': '酒店位置还行，携程订比较方便，酒店位置还行，携程订比较方便，酒店位置还行，携程订比较方便，酒店位置还行，携程订比较方便，', '短评打分': 5}
{'短评内容': '整体性价比还不错', '短评打分': 5}
{'短评内容': '挺不错的酒店 ', '短评打分': 5}
{'短评内容': '在黄岛就住这，离着公司近，出行方便', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '环境特别好，真的特别满意。而且交通方便，周围饭店也很多。宾馆旁边就是公交车站，并且有个挺大的停车场。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以、服务态度不错', '短评打分': 5}
{'短评内容': '宾馆很不错，值得推荐！', '短评打分': 5}
{'短评内容': '环境不错，交通方便，房间卫生条件还算满意，服务态度好，性价比好，交通也方便', '短评打分': 3}
{'短评内容': '交通方便，有停车位。环境不错，房间挺整洁。最满意的是早餐，很丰富！', '短评打分': 3}
{'短评内容': '房间很宽敞,干净.不错的一次感受.', '短评打分': 3}
{'短评内容': '宾馆的条件很好，非常满意！会向朋友推荐。\n不过早餐的场地较小，种类不多，也没有咖啡、牛奶、酸奶什么的，估计与价位有关系。\n总之好评！', '短评打分': 5}
{'短评内容': '吹风机本来就是坏的 刚入住的时候就跟前台说了 退房的时候还说是我弄坏的 硬要我赔偿 跟前台发了火才没用我赔 弄的心情不好 以后不在去住了 给个差评！', '短评打分': 3}
