{'短评内容': '好                   。', '短评打分': 5}
{'短评内容': '环境舒适，干净卫生', '短评打分': 5}
{'短评内容': '环境好，服务态度OK', '短评打分': 5}
{'短评内容': '每次赴澳门大多喜欢住金龙，因为它位置居莲花广场边上，周边娱乐场众多且筹码不大，适合小赌怡情！对于早睡早醒的人，大楼二，三层就有搏彩之地方，十分便利。', '短评打分': 4}
{'短评内容': '离码头步行距离，景色不错！', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '可以不错', '短评打分': 5}
{'短评内容': '这几年来每次到澳门都是入住金龙酒店，个人感觉其在卫生、环境、服务、设备、性价比等方面都挺不错的，点个赞！', '短评打分': 4}
{'短评内容': '！！！！！！！！！！', '短评打分': 5}
{'短评内容': '！！！！！！！！！', '短评打分': 5}
{'短评内容': '差评  刷单的', '短评打分': 5}
{'短评内容': '酒店位置挺好，走路十多分钟可到达葡京，性价比也很高，超出我预期', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': 'hhjjjvfgygfghjijbbnjj', '短评打分': 5}
{'短评内容': '酒店客房环境一般，不过这个价钱也便宜', '短评打分': 5}
{'短评内容': '环境很好，住着舒服。', '短评打分': 5}
{'短评内容': '帮朋友订的，现在开发票要带企业识别码，不方便，所以就不开了。', '短评打分': 5}
{'短评内容': '金龙酒店环境优美，服务好热情，交通便利，配套齐全，干净，卫生，下次旅行再去', '短评打分': 5}
{'短评内容': '在澳门算便宜的，服务也挺不错～～～', '短评打分': 5}
{'短评内容': '酒店还行在澳门算便宜性价比高我满意下次还会选择', '短评打分': 5}
{'短评内容': '服务很好，很满意！一百个赞！以后就在京东订酒店了', '短评打分': 5}
{'短评内容': '好评，酒店的房间住着也舒服', '短评打分': 5}
{'短评内容': '装修老旧，胜在便宜，离外港码头近', '短评打分': 5}
{'短评内容': '好，服务好，房间干净', '短评打分': 5}
{'短评内容': '快一千四的价格，进去一股烟味。隔音也不好，唉。', '短评打分': 3}
{'短评内容': '不錯乾淨房間大沒噪音', '短评打分': 5}
{'短评内容': 'フェリーターミナルから徒歩13分位です。空港からだとタクシー7kmで70ドル位です。チェックインはスムーズでした。部屋の景色は期待しないほうが良いです。部屋の防音もそれなりですが、眠れないということはありません。テレビチャンネルは多いほうです。徒歩圏内にコンビニが有り缶ビールも10ドルで売っていました。マカオ内の移動は向かいのサンズマカオか、フェリーターミナルからの無料バスが便利です。ホテルの前も', '短评打分': 4}
{'短评内容': '非常的不错 就是房间小了点', '短评打分': 5}
{'短评内容': '很好................', '短评打分': 4}
{'短评内容': '普通的酒店', '短评打分': 2}
{'短评内容': '非常普通的', '短评打分': 2}
{'短评内容': '非常普通的', '短评打分': 2}
{'短评内容': '普通的酒店', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '近外港碼頭,交通方便,周邊餐廳也不少,服务很好，也很干净。房间很大，很舒服，这个价钱可以接受,下次去澳门还住这家酒店', '短评打分': 5}
{'短评内容': '位置挺好，带小孩不能坐该酒店车回来关口，有点不方便', '短评打分': 4}
{'短评内容': '交通方便，服务态度好！推荐！', '短评打分': 5}
{'短评内容': '酒店的设施比较陈旧，房间较大，很整洁，交通方便。要玩玩的朋友千万不要到酒店的娱乐场玩，必输！', '短评打分': 5}
{'短评内容': '酒店在澳门半岛这边，斜对面就是渔人码头，步行过去就可以。酒店离金沙也比较近，可以步行前往。', '短评打分': 5}
{'短评内容': '相对于他的价格真的没什么可挑剔的了，旁边就是金龙娱乐场可以试试手气', '短评打分': 5}
{'短评内容': '服务一般，房间和国内经济型酒店差不多大，交通倒是还算方便~', '短评打分': 1}
{'短评内容': '地点非常好，便利。只是酒店正在进行装修有点碍眼', '短评打分': 5}
{'短评内容': '装修和环境都还不错地``服务态度也是很好的`` 就看价格有点偏高了！！！', '短评打分': 5}
{'短评内容': '房间太吵了 酒店的娱乐设施很多 晚上睡觉感觉很吵 被子不舒服 太薄了 ', '短评打分': 1}
{'短评内容': '酒店价格还可以，就是地理位置稍微差一些。', '短评打分': 5}
{'短评内容': '交通很方便，符合我出差的要求，下次还会选择的。', '短评打分': 5}
{'短评内容': '位置离葡京较近，卫生间很干净，就是床实在是太硬了！从未有过经验入住四星酒店床可以如此硬', '短评打分': 5}
{'短评内容': 'good view,good location.', '短评打分': 5}
{'短评内容': '比较好的酒店，交通也比较方便，娱乐设施齐全。', '短评打分': 5}
{'短评内容': '酒店服务和客服服务都很不错，4楼中餐厅的靓女主任特热情', '短评打分': 5}
