{'短评内容': '酒店服务很好，很热情。性价比高，离景区很近很方便。', '短评打分': 5}
{'短评内容': '房间干净、整洁，面积很大。酒店前台服务很热情，免费升级了豪华房型，下午出去后，晚上进房间空调还打开了，特别温暖,酒店的服务值得表扬，在说一下第二天的早餐，看网评早餐一般，第二天出乎我的想象，早餐品种很丰盛。下次还会选择入住！', '短评打分': 5}
{'短评内容': '房间很大 整体干净卫生。位置方便就在山水园的旁边，出门就是迎宾大道 停车吃饭游玩非常方便。下次还会来住这里 赞', '短评打分': 5}
{'短评内容': '早餐普通标准', '短评打分': 4}
{'短评内容': '酒店环境很好，停车位充足，适合自驾游，开车到天目湖山水文化园只需5分钟，十分方便，天目湖景区不小，可以玩个3到4天哈。', '短评打分': 5}
{'短评内容': '在小区里的', '短评打分': 2}
{'短评内容': '离景点很近，环境还不错', '短评打分': 5}
{'短评内容': '环境不错，指示标志不太清楚', '短评打分': 4}
{'短评内容': '                    酒店还是可以的了，反正和价格是相符的了  ， 走一个站的路就到镇上了， ', '短评打分': 5}
{'短评内容': '很好，还送了杯子', '短评打分': 5}
{'短评内容': '酒店位置很好，就在去天目湖的路上。硬件还不错，服务比较一般，早餐也就快捷酒店水平。在酒店可以开景点门票优惠单，价格和网购门票差不多。', '短评打分': 4}
{'短评内容': '国庆期间预订的，离天目湖山水园很近，酒店设施设备有点旧，但干净整洁，服务态度也很好，并且很安静，晚上不吵的。', '短评打分': 5}
{'短评内容': '酒店设施齐全，离景区很近，很方便', '短评打分': 5}
{'短评内容': '离天目湖很近，附近也有很多饭馆，适合自驾游。  总值性价比很高，房间很干净，宽敞。很安静。  早餐能够吃饱。不是自助。', '短评打分': 5}
{'短评内容': '之前订的别家酒店房间满了，客服通过电话让我订这家的房间的。结果之后上网一看，如果在网上订可以节约60元，但客服电话里没说，觉得有点坑啊，另外450的价格确实太高了，配不上这个准四星的宾馆。', '短评打分': 4}
