{'短评内容': '蛮好的', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置较好，在大润发超市的建筑物里，购买食品之类的很方便，前台小妹很热心。洗漱用品牙刷之类的是有偿的，退房也很快。', '短评打分': 5}
{'短评内容': '房间蛮干净的，环境也不错，位置也好找，来了几次了', '短评打分': 5}
{'短评内容': '房间还可以。卫生间比较旧', '短评打分': 4}
{'短评内容': '还不错。哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '价格还行 主要没有窗户', '短评打分': 5}
{'短评内容': '酒店很新，装修很好，楼下大润发，品牌餐厅都有', '短评打分': 5}
{'短评内容': '服务不错，位置有点难找', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间还是很不错的，很大很漂亮，服务员专业，周边交通也很方便。', '短评打分': 4}
{'短评内容': '房间还是很不错的，很大很漂亮，服务员专业，周边交通也很方便。', '短评打分': 4}
{'短评内容': '续住！其他都还可以，就是房间隔音确实有点差，隔壁的动静免费直播了！', '短评打分': 4}
{'短评内容': '还算不错的选择，就在客户的旁边，方便。网上订比到店要便宜很多。当时前台还说没有标准单人间了，只有豪华跟商务的，目的估计就是强推价格更高的。上携程，下单搞定要少近五十元！', '短评打分': 4}
