{'短评内容': '总体感觉一般。', '短评打分': 3}
{'短评内容': '订的豪华房包双早餐，原来是外卖送来的两份面包+牛奶，并不是酒店餐厅里的早餐', '短评打分': 4}
{'短评内容': '外环境是真好。', '短评打分': 4}
{'短评内容': '一分钱一分货吧，携程订的是较便宜，但被安排到旁边另一幢旧楼…', '短评打分': 3}
{'短评内容': '位置很好就在景区里面，白天看溶洞，夜晚有魔术表演，小朋友玩得挺开心。再说说缺点，酒店的被子感觉想没晒干，早餐要8:30才送到，有点晚，小朋友7点多就起床了。。。', '短评打分': 5}
{'短评内容': '酒店外部环境不错，但周边环境较差，比较偏找个像样的用餐地方都比较难', '短评打分': 4}
{'短评内容': '位置在景区，设施陈旧，对于酒店只能说一份价格一份货。但有点题外话希望能对将来去的人有所帮助吧，景区的各项服务也都停了，可能是因为游客太少，十多年前去过，相比下来，一个天上，一个地下，如果让我再选择一次，我一定不会再去到那里。更坑人的是，我在门口买景点门票，买的是套票：三个景点，溶洞梦多奇，千层峰和大斑石，结果第三个景点今年二月就封闭了，一个人也没有，还收我了几十块一个人，想回去退票也不可以，因为售', '短评打分': 2}
{'短评内容': '。。。。。。。。。。。。。。。。好', '短评打分': 5}
{'短评内容': '还不错，还不错。', '短评打分': 4}
{'短评内容': '空调声音大！', '短评打分': 4}
{'短评内容': '环境好，', '短评打分': 5}
{'短评内容': '酒店在景区内，周围环境一流，度假的天堂，设施有点旧了，不过非节假日性价比较高。', '短评打分': 4}
{'短评内容': '帮衬携程网多次了，明码实价，靠谱。最近一次订青岛的云水客栈，分别在携程网和YL网各订了一个房间，YL网是第一次光顾的，因为看上了同一个房型它的返现多些，谁知这是第一次也是最后一次了！！！同一时间入住和退房，携程准时兑现承诺，但YL却没返现，致电客服，得到三个版本答复：1.等等吧；2.查不到当时有返现的订单；3.认为我当时没登录账号预订（若没登录又怎能在我账号上查看得到订单呢，不解啊！）苍天开眼，让', '短评打分': 4}
