{'短评内容': '真的一般吧，不讲究的可以住住', '短评打分': 3}
{'短评内容': '好好好，好好好，好好好', '短评打分': 3}
{'短评内容': '总的来说，还是可以的，要是蚊子能少点，WiFi能好点就更好了，', '短评打分': 4}
{'短评内容': '价钱公道，没的说，就是晚上蚊子太多了，一会会身上都有七八个包了，而且WiFi也不是很给力，总得来说还行，', '短评打分': 5}
{'短评内容': '交通吃饭非常方便，马路对面就是购物中心', '短评打分': 3}
{'短评内容': '交通食宿非常的方便，强烈推荐', '短评打分': 3}
{'短评内容': '隔音效果不是很好，不过价位什么的相对来说还可以', '短评打分': 4}
{'短评内容': '有点旧', '短评打分': 3}
{'短评内容': '这里不错，靠近乐购超市和批发市场，环境还可以，设施完备，还有吹吹风机。', '短评打分': 4}
{'短评内容': '这个价位还行', '短评打分': 3}
{'短评内容': '应酒店一般”在上海大城市来说住这样店”我们感觉可以   、、、、!', '短评打分': 3}
{'短评内容': '很实惠，虽然小细节上有点损坏，但是很适合我们这种回去考试的学生住，很省钱而且虽然靠马路却一点也不吵，隔音不错', '短评打分': 5}
{'短评内容': '酒店交通便利，离开南门乐购区域很近。干净整洁，空间足够。取暖设施性能良好。', '短评打分': 5}
