{'短评内容': '真的是物美价廉哦', '短评打分': 4}
{'短评内容': '环境不错。交通方便', '短评打分': 5}
{'短评内容': '好好好好好！', '短评打分': 5}
{'短评内容': '现在没次回象山都住这里的了，周末都不加价，象山难得的良心价！酒店交通很方便，服务也好，刚又装修性价比超级 超级 超级 超级好', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '交通比较方便', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '房间还不错，早餐种类少了一点', '短评打分': 5}
{'短评内容': '酒店绝对好评', '短评打分': 5}
{'短评内容': '干净，不错', '短评打分': 5}
{'短评内容': '在枕头上发现了虫子', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '性价比高，地理位置合适，吃饭什么都比较方便', '短评打分': 5}
{'短评内容': '位置在象山县城中心，交通较方便，性价比一般。', '短评打分': 5}
{'短评内容': '交通方便，每次来必住这家酒店，价格实惠。', '短评打分': 3}
{'短评内容': '在当地算不错的酒店了', '短评打分': 4}
{'短评内容': '不值啊定了5间，去酒店一看比挂牌便宜20块，狂晕', '短评打分': 5}
{'短评内容': '在县城内，标准的商务酒店，家庭房一大床一小床，比较适合三口之家', '短评打分': 5}
{'短评内容': '房间很干净，下次还住这里', '短评打分': 3}
{'短评内容': '早餐太差了，只有白粥炒面馒头，基本没菜', '短评打分': 3}
{'短评内容': '酒店设施有点老，相对这个价格还可以了，地理位置好，交通便利', '短评打分': 3}
{'短评内容': '挺挫的一酒店，不知道为什么，这鸟地方，这种宾馆竟然也要400+，怎一个挫字了得', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '真的很一般啊，在象山真的找不到性价比高的酒店，无奈                    ！！！！！！', '短评打分': 1}
{'短评内容': '装修一般，空调有点吵，早餐外包的，吃品种少，有一张大床一张小床，还算可以。旅游城市，周末来说价格还能接受。', '短评打分': 1}
{'短评内容': '酒店套房空调制冷弱，淋浴房出水不足。特别是早餐品种太少了。而且我住的906房间天花板上还有个大窟窿。与房价478元性价比失调。\n\n', '短评打分': 1}
{'短评内容': '周末价比平时贵很多，都可以赶上宁波市区酒店的价格，性价比不好，环境一般，很简单，将就住一下可以的', '短评打分': 5}
{'短评内容': '太差了，没一样好的，早餐也没捞着吃，气死了', '短评打分': 1}
{'短评内容': '出差的住住挺好的！晚上挺安静的，附近也挺方便的！', '短评打分': 5}
