{'短评内容': '周边有点吵', '短评打分': 4}
{'短评内容': '还可以吧。', '短评打分': 5}
{'短评内容': '挺好的，住在这里去哪里都很方便，厦门真是个好美的地方，有机会还是要来的，有好多地方都没去，因为行程赶，鼓浪屿，曾厝安，等等等等……', '短评打分': 5}
{'短评内容': '不是自己住的，是帮大妈他们兄妹几个订的，不过大妈她们对卫生环境还是比较挑剔的，回来没听她们抱怨什么，应该是好的吧', '短评打分': 5}
{'短评内容': '地理位置很好，近车站，出门逛和吃饭都方便，房间卫生算挺干净，空间偏小，老板态度很好但是还不够专业，总体挺好的。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '         就在曾厝垵公交站斜对面的中山街上，进去不远就是了，但是下车后一定记得联系客栈问清具体位置，曾厝垵人很多，而且门牌很乱，大多数地方连门牌都没有，百度地图定位完全不准，我就因此找了近半小时，真是血的教训啊。客栈布置很有特点，基本设施齐全。就是早上退房的时候，找不到服务员，因为赶车，只能先走了。后来老板告诉我，他们八点半上班，押金转账给我。         总的来说，性价比很高，如果不', '短评打分': 5}
{'短评内容': '说实话，在曾按厝的景点，有点吵闹，人太多了。主要是楼下有个小酒吧，晚上喝酒到11点，想休息还是要找个安静的地方', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '最大的好处离村口近，坐公交打的很方便，离沙滩也很近', '短评打分': 4}
{'短评内容': '就是在曾厝垵步行街里边，出门就是小吃，晚上到十一点之后才能安静睡觉，总体来说还不错，就是假日期间房价太贵了，就地起价！建议千万不要黄金周出行。', '短评打分': 5}
{'短评内容': '位置很方便，出门就是各种小吃。老板人很好，会到村口去接。还有好喝的咖啡～', '短评打分': 5}
{'短评内容': '。房间挺干净的，哥哥也很帅，还便宜了我一块钱呢，不错呢，值得推荐', '短评打分': 3}
{'短评内容': '布置很温馨，有家的感觉，离曾厝垵公交站和海边都很近，出行方便，周围吃海鲜的地方和各式特色小吃、创意品很多。', '短评打分': 5}
{'短评内容': '小店很好找', '短评打分': 3}
{'短评内容': '这家店也很不错，位置很方便，也很好找！周围吃的也很多，出门过马路就是环岛路。', '短评打分': 5}
{'短评内容': '感觉很温馨，也算好找到，只要你入口走的对，一进去没几步路的；这一带的门牌号完全乱的，老板娘挺热情，房间也舒适，离海边非常近。', '短评打分': 5}
{'短评内容': '旅馆位置比较好找，还挺方便的，附近都有吃的喝的买的地方。。老板娘人很好，有问必答，还介绍了当地一些特色的小吃，还教我们去哪可以吃到便宜好好吃的东西，走的时候还很耐心的教我们打的或者乘公交车的路线。。下次如果有机会去厦门的话一定还去这家', '短评打分': 5}
{'短评内容': '酒店房间比较小清新，可惜小了一点点，但整体来说非常不错，老板也很热情！', '短评打分': 5}
{'短评内容': '老板娘人很好，酒店也非常干净，性价比很高', '短评打分': 5}
{'短评内容': '酒店的阿姨人很好，最后一天还给了优惠，以后再来厦门还定这家家庭旅馆！交通便利，离公交车站3分钟去哪都方便', '短评打分': 5}
{'短评内容': '刚开始不太适应，毕竟第一次住家庭旅馆。后来感觉不错，蛮温馨的。。', '短评打分': 3}
{'短评内容': '很不错的旅馆，也很温馨，离海边只有几步跟。', '短评打分': 5}
{'短评内容': '挺好的。感觉性价比还可以，呵呵，下次还回来', '短评打分': 5}
{'短评内容': '客栈老板人非常热情，客栈地段非常好，距离环岛路非常近：）', '短评打分': 5}
