{'短评内容': '早餐很丰富', '短评打分': 4}
{'短评内容': '还不错！！', '短评打分': 5}
{'短评内容': '每次都差不多，马马虎虎', '短评打分': 3}
{'短评内容': '酒店早餐丰富，周边环境好，性价比高下次还会选择', '短评打分': 5}
{'短评内容': '标准的的老四星级酒店。价格比较实惠。还有早餐。虽然有点老，但是位置好。设备有点陈旧。热水洗澡的感觉不错。床很舒服。', '短评打分': 5}
{'短评内容': '最霸道的男性名字：阳顶天！性价比超高', '短评打分': 5}
{'短评内容': '早餐不错，房间也还干净', '短评打分': 5}
{'短评内容': '还行吧。还可以', '短评打分': 5}
{'短评内容': '从高速下来到酒店倒还是很方便，到酒店后发现酒店停车场较小，车辆只能停放酒店边的过道，酒店旁边餐饮等较为方便，房间也还干净整洁。', '短评打分': 4}
{'短评内容': '除了房间有一点味道以外，其它都还好，服务员晚上还很贴心的送了水果，早餐也还不错，种类也比较齐全的，遗憾的是位置离我去办事的地方太远了点。', '短评打分': 4}
{'短评内容': '一般，', '短评打分': 3}
{'短评内容': '性价比还可以', '短评打分': 4}
{'短评内容': '说实在的，房间设施很差', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '环境不错，干净卫生', '短评打分': 5}
{'短评内容': '房间较小，设施及装修较旧，卫生方面有待改善，地理位置不难找，服务员态度较好，还送了30元用餐抵用卷，自助餐价位合理，价格适中，还是值得推荐。', '短评打分': 3}
{'短评内容': '一般一般一般一般', '短评打分': 3}
{'短评内容': '周边配套不错，房间不大，但是还可以！交通还算方便的！可以考虑！早歺还是可以的！', '短评打分': 5}
{'短评内容': '总体感觉不错的，主要晚上还有自助餐，也可以，品种还算不错，只是第一天吃饭插曲太多，哎。', '短评打分': 4}
{'短评内容': '酒店环境一般，酒店早餐比较丰富，', '短评打分': 4}
{'短评内容': '还不错，新装修', '短评打分': 3}
{'短评内容': '设施较新，房间气味欠佳。早餐太简单。位置还可以，交通相对便利。', '短评打分': 5}
{'短评内容': '明明在这家酒店住了两天，前台扯皮说我住了一天，积分现金都损失了，二十多元钱本不是什么大事，但总是不爽！', '短评打分': 1}
{'短评内容': '上饶市区为数不多的4星以上的酒店，装潢一般、设施很旧、服务也一般。', '短评打分': 1}
{'短评内容': '上饶市区实在没什么能住的酒店了，这家还像样点，但是一有旅游团也就完蛋了', '短评打分': 5}
{'短评内容': '酒店不错，早餐味道好，可惜晚餐餐厅太烂，没人吃，也没菜点。', '短评打分': 3}
{'短评内容': '酒店很新，硬件不错，周围环境一般，饭店餐厅的菜做的不错，高出上饶其他饭店水准很多。', '短评打分': 5}
{'短评内容': '酒店不错，服务很好，早餐很丰富，物有所值。就是位子有点偏，晚上厨师下班好早。周围没什么地方吃东西的', '短评打分': 5}
