{'短评内容': '看上去和四星完全不沾边，房间里还有中式方桌和椅子，圆形的窗靠马路，要不是有同事一起住，还真的挺吓人的，体验比较差的酒店之一。', '短评打分': 3}
{'短评内容': '交通方便，房间干净整洁舒适卫生。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行吧，公司出差。', '短评打分': 4}
{'短评内容': '早餐好，适合带孩子', '短评打分': 5}
{'短评内容': '总体感觉非常不错', '短评打分': 5}
{'短评内容': '温州酒店普遍较贵，新南亚性价比还可以，房间较大，设施有点老，中归中矩的老牌四星酒店，家具都是全实木，古色古香，中式风格，空调和淋浴都很给力，前台态度很好。。。', '短评打分': 5}
{'短评内容': '不知挺不错的 四星级酒店还可以吧', '短评打分': 5}
{'短评内容': '酒店还可以 年分久了。里面有点味道', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '旅馆级别，乡村大世界', '短评打分': 3}
{'短评内容': '还挺好的，中式装修，稳重大气上档次', '短评打分': 5}
{'短评内容': '酒店位置较好，交通便利。房间比较大，也很干净，设施略旧，但还比较齐全。早餐一般，口味不太好。价格略高一点。', '短评打分': 4}
{'短评内容': '酒店位置比较好，交通方便。周边修路，有点脏乱。早餐一般，不是太好吃。房间比较大，设施也比较齐全。前台开房和结账效率不是很高，有点乱。', '短评打分': 4}
{'短评内容': '酒店位置比较方便。房间比较大，设施略旧。周边都在修路，环境有点乱。早餐一般般。前台的预订和结账有点混乱，效率比较低。', '短评打分': 4}
{'短评内容': '温州酒店普遍较贵，新南亚性价比还可以，房间较大，设施有点老。先说房间里，家具都是全实木，古色古香，但年代有些久远，很多地方有明显磨损。最明显的是房间内的插座插孔磨损非常明显（汗）。再说洗手间，洗手间马桶是老式的，抬杆设计，抬起冲水，落下复位，不太好使，复位不严半夜有轻微水声，严重浪费水资源；洗头水质量不好，估计太廉价了。第三，说下酒店的早餐，早餐样式非常丰富，但味道非常一般，西餐厅里尤其是面档附近', '短评打分': 4}
{'短评内容': '第一次入住，感觉各方面挺好', '短评打分': 4}
{'短评内容': '免费升到了套房，还不错', '短评打分': 4}
{'短评内容': '酒店设施有点老 但卫生很好 服务到位', '短评打分': 5}
{'短评内容': '很干净，虽然设施老旧但是干净整齐，房间有一点点潮湿。早餐不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '房间还不错，早餐也很好，只是交通不太方便，周围没什么', '短评打分': 5}
{'短评内容': '就是老旧了点。。其他都还可以。。。。。。', '短评打分': 5}
{'短评内容': '房间比较大，但是卫生设施及用品比较陈旧，给的房间是最边上最差的', '短评打分': 1}
{'短评内容': '还不错，环境很不错，服务也很好，暖气很足！就是早餐小孩子还得另外算。', '短评打分': 3}
{'短评内容': '干净，方便，交通便利，餐厅的菜做得很不错哦', '短评打分': 5}
{'短评内容': '酒店光线不好，设施偏旧！', '短评打分': 3}
{'短评内容': '酒店环境不错，餐饮很棒。大堂明亮，房间比较大，不过床一般，电视一般。配套不够齐全。\n酒店环境不错，餐饮很棒。大堂明亮，房间比较大，不过床一般，电视一般。配套不够齐全。\n酒店环境不错，餐饮很棒。大堂明亮，房间比较大，不过床一般，电视一般。配套不够齐全。', '短评打分': 5}
{'短评内容': '很好，推荐入住。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好的酒店，离开会的地方很近，服务也很好。', '短评打分': 5}
{'短评内容': '好像价格偏高了点，早餐品种少应更丰富些.地段也还可以。 \n', '短评打分': 5}
{'短评内容': '酒店位置好，设施也不错，服务还好，下次还会来的，', '短评打分': 5}
{'短评内容': '感觉不错，闹中取静的典范！', '短评打分': 3}
{'短评内容': '服务态度不好 ~住宿停车也要收钱· 不过早餐还可以·', '短评打分': 1}
{'短评内容': '太老了。需要重新装修。\n三星的标准最多了。', '短评打分': 1}
{'短评内容': '住来住去也只能住这家，为什么我订了两个房间，消费券只给了我一间房 的 ', '短评打分': 5}
{'短评内容': '酒店一般 ，服务各方面平平 。确实不值得推荐 ', '短评打分': 1}
{'短评内容': '老酒店，就那样的，基本还行的。出差也 不讲究了 ', '短评打分': 5}
{'短评内容': '交通比较方便 早餐不错  装修中等 不是特别新', '短评打分': 5}
{'短评内容': '太差, 大冬天的, 居然连个暖风都不给...这种烂酒店, 以后坚决不能住了.', '短评打分': 1}
{'短评内容': '酒店不错...挺方便...酒店不错...挺方便...', '短评打分': 5}
{'短评内容': '好像价格偏高了点，总体来说还可以，地段也还可以。', '短评打分': 1}
{'短评内容': '＋温州新南亚硬件一般，服务可以。', '短评打分': 3}
{'短评内容': '新南亚酒店设施一般，服务尚可。', '短评打分': 5}
{'短评内容': '虽然不是非常满意，下次还要住，感觉还算可以', '短评打分': 5}
{'短评内容': '餐饮还不错。', '短评打分': 5}
{'短评内容': '该翻修了', '短评打分': 1}
{'短评内容': '还是不错的，水果点心赠送很贴心，性价比还好。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '不错,客人的常住酒店', '短评打分': 5}
{'短评内容': '多次入住，感觉比较适合出差居住', '短评打分': 5}
{'短评内容': '该酒店有点象商务型酒店，楼上还有宴会厅，进出人员特多。酒店走廊很长，房里设施不错。空调有点吵.', '短评打分': 5}
{'短评内容': '价格适中，硬件还可以，位置不错!', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '房间内部比较舒适，唯一的遗憾就是小了点', '短评打分': 5}
{'短评内容': '除了地理位置比较好外,,,其他的都感觉挺一般的.服务有待提高.', '短评打分': 1}
{'短评内容': '交通方便，各方面的服务也都不错，值得推荐！', '短评打分': 5}
{'短评内容': '酒店的位置很好，距离比较近，交通又方便。', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的，性价比还是很不错的一家酒店。', '短评打分': 5}
{'短评内容': '在温州众多酒店中，该店属于比较适合商旅或会议住用。位置比较适宜，交通也方便。酒店设施齐全。为我到温州的首选酒店。', '短评打分': 5}
