{'descr': '有电梯', 'star': 3}
{'descr': '价格公道，出行便捷', 'star': 5}
{'descr': '很差很差很差，重要的评价要说三遍', 'star': 1}
{'descr': '酒店位置很好，蛮干净的，5星好评', 'star': 5}
{'descr': '在十一期间所有酒店房价都涨很多，这家是最实惠的，离南京路步行街特别近，吃饭购物都很方便，离人民广场地铁站也很近，步行10分钟左右都能到这些地方，但是酒店内设施有点旧，电视，空调都不好用，房间不隔音，没有停车场，可以带小孩住，', 'star': 4}
{'descr': '房间隔音效果太差，住的房间靠近前台，半夜一直有人在外面吵来吵去，影响休息', 'star': 3}
{'descr': '半夜有人敲门，开门后没人，让人不踏实！', 'star': 1}
{'descr': '这个没啥好说的了，也就一般般，也不是位置，估计住的人不多', 'star': 4}
{'descr': '酒店要多脏有多脏，建议快点倒闭！', 'star': 2}
{'descr': '酒店的地点距离步行街很近，但是卫生和设施极差！服务员态度还行！有窗和没窗的都差不多，窗户很小很小！', 'star': 3}
{'descr': '也就这个价钱了，卫生很差，设施陈旧', 'star': 4}
{'descr': '说实话比较一般……。。。。', 'star': 3}
{'descr': '晚上还是挺安静的，但是硬件设施确实不怎么样，在这个地理位置，毕竟价格在那里了。出差不要求细节的话可以推荐。', 'star': 3}
{'descr': '觉得还一般吧！', 'star': 3}
{'descr': '地理位置优越，交通方便', 'star': 3}
{'descr': '地段好 便宜，旧一点也无所谓啊', 'star': 5}
{'descr': '很差，很差，很差，很差，很差，很差，很差，很差，很差，很差，很差，很差，很差，', 'star': 1}
{'descr': '地段优势明显：离南京路很近，距地铁近，价格便宜。但老实说酒店本身只能算是招待所。设施差，床上被单上有霉点。镜子是破的。只能是凑活过一晚。设施要求不高看中地理优势的可以考虑。若对生活质量要求高的只能多花钱另选择了。', 'star': 5}
{'descr': '房间卫生一般,服务也一般.因为退房的哪天有点事来不及在十二点前到酒店,致电说晚半小时就时十二点半退房就要补交三十元,结果急急忙忙回去退房.有点不爽.', 'star': 5}
{'descr': '交通便利，价格便宜，安全可靠，环境温馨。\n外表一般', 'star': 5}
{'descr': '孩子们终于回来了，他们在外面玩了住了十一天，所住宾馆里最满意的一家，因出行方便，天天晚上走着去外滩，去明珠和世博园都方便，关键是在炎热的天气里能回来洗个澡睡个午觉。还有，不贵。', 'star': 5}
{'descr': '好啊，孩子们在这里已经第三个晚上了，明天再住一晚上，就该回北京了。他们说这里非常好，外出玩很方便，看完蜡像馆，2分钟跑回来洗个澡，睡一觉等凉快了再出去玩。', 'star': 5}
{'descr': '我在北京给孩子们订的，先订了一天，孩子打电话说非常好。交通最方便，又续订了两天。经济实用，孩子们一大早出门，玩一天，晚上洗澡睡个好觉。上海至少需要玩三天。我查地图，这地方去火车站/世博园/东方明珠都有地铁直达，可以避开拥堵的地面交通。\n有个想法，说一下，如果不当，权当刮风。好多经济型酒店都无早点，能否酒店和附近的小吃店联合，做一些当地有特色的早点，客人前一天订好并付钱，第二天早上按时送到，10点钟', 'star': 5}
{'descr': '房间不是很好，牙杯都没洗干净，马桶也有点坏！优点是离南京路很近，交通便利！', 'star': 3}
{'descr': '房间不是很好，牙杯都没洗干净，马桶也有点坏！优点是离南京路很近，交通便利！', 'star': 3}
{'descr': '好运来的房间虽然不大，但还干净，入住第二天卫生间瓷砖大面积脱落。', 'star': 3}
{'descr': '好运来的房间虽然不大，但还干净，入住第二天卫生间瓷砖大面积脱落。', 'star': 3}
{'descr': '地点特好离南京路外滩很近', 'star': 3}
{'descr': '地点特好离南京路外滩很近', 'star': 3}
{'descr': '感觉好，方便，容易找，前台服务好，会再来住！', 'star': 5}
{'descr': '感觉好，方便，容易找，前台服务好，会再来住！', 'star': 5}
{'descr': '离人民广场很近，交通便利，服务态度好。', 'star': 3}
{'descr': '离人民广场很近，交通便利，服务态度好。', 'star': 3}
{'descr': '位置不错，但是距离人民公园绝对不止300米，而且那边正在施工，道路很昏暗，电梯很脏，上去5楼才是宾馆，服务质量很差。但是价格便宜，如果一个人出差不是很讲究的话可以选择，不建议单身女士入住。', 'star': 5}
{'descr': '位置不错，但是距离人民公园绝对不止300米，而且那边正在施工，道路很昏暗，电梯很脏，上去5楼才是宾馆，服务质量很差。但是价格便宜，如果一个人出差不是很讲究的话可以选择，不建议单身女士入住。', 'star': 5}
{'descr': ' 房间比较小 卫生间也袖珍 不过地理位置好 老板服务也行 可以入住', 'star': 3}
{'descr': ' 房间比较小 卫生间也袖珍 不过地理位置好 老板服务也行 可以入住', 'star': 3}
{'descr': '设施一般地理位置不错', 'star': 3}
{'descr': '设施一般地理位置不错', 'star': 3}
{'descr': '房间比较干净，有点破旧', 'star': 3}
{'descr': '房间比较干净，有点破旧', 'star': 3}
{'descr': '一般，不推荐', 'star': 3}
{'descr': '一般，不推荐', 'star': 3}
{'descr': '地理位置不错。。在人民广场附近出行很方便。。', 'star': 5}
{'descr': '地理位置不错。。在人民广场附近出行很方便。。', 'star': 5}
