{'短评内容': '总体感觉不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 4}
{'短评内容': '就在车站旁边，交通方便，来了有好几年了，现在已经换了名字，我入住时房间老旧，设施很差，进入房间的时候看到被子都是黑黑的～～吓死，让换一间，服务还算可以，协商后给我换了一间空调是坏的，但是还能用，就将就一晚吧。听说要重新装修了，不知道之后环境怎样～～', '短评打分': 3}
{'短评内容': '值得推荐', '短评打分': 4}
{'短评内容': 'Ok', '短评打分': 4}
{'短评内容': '太旧了，该装修了！', '短评打分': 4}
{'短评内容': '性价比还可以', '短评打分': 3}
{'短评内容': '价格优惠，出差首选', '短评打分': 4}
{'短评内容': '还不错，性价比可以', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '环境好，比较方便', '短评打分': 4}
{'短评内容': '美中不足是墙壁隔音不好，影响休息', '短评打分': 5}
{'短评内容': '环境还可以，交通还算方便', '短评打分': 5}
