{'短评内容': '可以的，性价比高，（*ﾟ&forall;ﾟ）つ―{}@{}@{}-\u3000', '短评打分': 5}
{'短评内容': '都还可以，有暖气片配上空调根本不会冷', '短评打分': 5}
{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '哈哈哈哈 我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用这段话作为评价内容。京东购物这么久，又买到很好的产品', '短评打分': 5}
{'短评内容': '还好！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '挺安静，也干净卫生，不错', '短评打分': 5}
{'短评内容': '酒店周围比较繁华，吃饭购物都很方便。干净整洁，办理入住退房都很及时，前台服务很好，下次出差会继续选择如家', '短评打分': 5}
{'短评内容': '很好 非常好', '短评打分': 5}
{'短评内容': '房间干净，就是隔音效果不好。', '短评打分': 5}
{'短评内容': '房间还是挺干净的，房间面积也挺大，价格也便宜，有免费瓶装水，服务也很好，唯一不足就是淋浴喷头漏水。', '短评打分': 5}
{'短评内容': '一直在这里住，不错值得推荐', '短评打分': 5}
{'短评内容': '第一次遇见这种情况，前台说没有和京东合作过，前台打电话问的，等了七八分钟，推广不到位啊，', '短评打分': 5}
{'短评内容': '第一次住，带着老婆孩子住的双人间。很干净卫生，隔音也不错，休息的很舒适。服务也很好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '离市中心很近，环境也不错，以后还会去的', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '不错，挺安静，位置好', '短评打分': 4}
{'短评内容': '房间小', '短评打分': 5}
{'短评内容': '歧视携程用户，房间都给角落', '短评打分': 3}
{'短评内容': '房间隔音超级差，窗户密封也不好，一晚上都听到空调外机滴答的声音', '短评打分': 3}
{'短评内容': '服务不错，位置好，地下停车场有点远。', '短评打分': 5}
{'短评内容': '服务态度，卫生环境。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住在六楼，没电梯六楼，空间还可以', '短评打分': 3}
{'短评内容': '交通方便，卫生干净，就是北边有噪音休息不好。', '短评打分': 5}
{'短评内容': '多次入住，出行,吃饭都很方能。', '短评打分': 3}
{'短评内容': '住过很多次了，很好。就是出门是单行道不太方便', '短评打分': 3}
{'短评内容': '服务很好，就是外面有点吵，沿街的缘故吧。但是位置很方便', '短评打分': 5}
{'短评内容': '房间挺干净和宽敞，设备齐全让人方便。下次来临沂会再入住此酒店！', '短评打分': 3}
{'短评内容': '交通便利，卫生较好', '短评打分': 3}
{'短评内容': '地理位置优越，在市中心，交通便利，酒店卫生干净。', '短评打分': 3}
{'短评内容': '住过很多商务大床房，这是最不满意的一次，空间太小，隔音效果不好，如家的窗户一般都是双层的，但这是单层...', '短评打分': 1}
{'短评内容': '还行吧，正常宾馆，联锁的都差不多，价格，也都差不多，就是看哪个方便 了', '短评打分': 5}
{'短评内容': '环境位置都不错，服务也蛮好，唯一的缺憾就是隔音不是很好。。', '短评打分': 5}
{'短评内容': '位于市中心，当时住的商务大床，感觉空间还不是很大，而且在6楼，也没有电梯，不是很方便，房间里还稍微有些味道，感觉一般。', '短评打分': 5}
{'短评内容': '位置超黄金，交通方便，爱逛超市的理想选择，隔壁有银座、大润发、乐购、百丽、茂业，哈哈，买了一大包，服务周到、房间温馨、卫生也干净，去临沂，首选酒店！', '短评打分': 5}
{'短评内容': '我出门一只是住如家的。这家店也不例外。毕竟是连锁店。服务及设施都不错。但有一件事非常不满意，希望给这家店以后注意。 晚上十一点左右我发现房间内比较冷，检查之后发现房间暖气片是冷的，只有卫生间的暖气片热。我打电话给服务员说明情况。服务员立即安排师傅前来调试。师傅反应很快，人没来，来的电话。他说：你这个房间的暖气就是坏的。我们的锅炉是试运行，你这边01号的所有房间都不热。我说既然这样为神马给我安排这个', '短评打分': 1}
{'短评内容': '是170定的，国庆时涨到330；山东人也不厚道啊；离孔庙比较近；房间大，但是有股味道，靠近大路晚上比较吵；要定不靠路的房间；', '短评打分': 5}
{'短评内容': '跟其他如家差不多挺好的，就是房间较小，不过位置超黄金，商业繁华区', '短评打分': 5}
{'短评内容': '酒店的位置很好，基本在市中心最繁华的地方，旁边就是人民广场，周围就餐条件一般，有特色的餐饮要走出一段路才找到。酒店设施还好，电梯只到5楼，住在6楼还要走一层的，卫生不错，房间也不错', '短评打分': 5}
{'短评内容': '酒店不错，就是大床间房间有点小', '短评打分': 3}
{'短评内容': '大床房，房间很小，仅能放开一张床，因此电视换成液晶的了。卫生间太小了在里面转身都不方便。综合评价，房间干净但太小，一般，很一般。', '短评打分': 3}
{'短评内容': '房间很好，是新建的，很干净，电器也是新的。就是电视稍微矮了一点，躺在床上看的时候时间长了会脖子疼。', '短评打分': 3}
{'短评内容': '酒店不错，很干净。位置也好，旁边就是人民广场，有很多文化典故，包括临沂十大名人。但是是个新酒店，房间有味，一些设备还在调试。估计过段时间就好了。推荐。', '短评打分': 5}
