{'短评内容': '很好', '短评打分': 5}
{'短评内容': '每次都去住，很好很方便', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '很好啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '地理位置方便，周围吃饭很多选择，有暖气有空调，洗点小物件放暖气片很快干，房间布局合理，开始在旁边如家，如家很多台阶，卫生间也有高台阶，危险不便，换到这里住近半个月，出行哪里都方便，网订炒鸡一百多很划算，一切很满意。', '短评打分': 5}
{'短评内容': '这个酒店我曾经多次入住 除了硬件破点儿 其他都非常好 服务人员很热情 建议酒店把地毯换换', '短评打分': 5}
{'短评内容': '没想到京东还可以定酒店，第一次用很满意！', '短评打分': 5}
{'短评内容': '酒店属于一般 的商务酒店，装修比较老旧了 在朝山街离泉城广场近是唯一优势！', '短评打分': 4}
{'短评内容': '酒店位置优越，服务热情，有暖气空调，免费停车，就餐外出都很方便，无线网络信号很好，强力推荐。', '短评打分': 5}
{'短评内容': '房间面积太小了', '短评打分': 5}
{'短评内容': '酒店前台服务热情，房间空间挺大，干净卫生，停车方便，房间有暖气和空调，无线网络信号挺好，很满意。', '短评打分': 5}
{'短评内容': '到济南来一直住这家，环境挺好，干净。价格合适。', '短评打分': 5}
{'短评内容': '酒店位置优越，服务热情，有无线，有线，暖气', '短评打分': 5}
{'短评内容': '离市中心挺近的，环境还算可以', '短评打分': 4}
{'短评内容': '在市中心这个价位，真的是很划算，停车也很方便，非常推荐，唯一的不足是卫生间没有肥皂，只有洗手液，用洗手液洗的脸。', '短评打分': 5}
{'短评内容': '卫生环境都不错就是有点难找，\n\n下次还会考虑入住', '短评打分': 5}
{'短评内容': '整体很不错，离泉城广场很近，但是一楼较为潮湿，而且隔音效果不是特别好', '短评打分': 5}
{'短评内容': '酒店很商务很干净，我很喜欢', '短评打分': 3}
{'短评内容': '这个酒店离泉城广场等景点较近，但是内部设施陈旧，房间小，服务不完善', '短评打分': 1}
{'短评内容': '离泉城广场很近，附近有很多吃的逛的，就是房间比较旧，没有吹风机。', '短评打分': 5}
{'短评内容': '总体不错，已多次入住。有改进空间：电视频道少，枕头太矮，卫生间反味。', '短评打分': 5}
{'短评内容': '房间还不错，酒店位置也挺好，床睡得很舒服。如果能有吹风机就更好了。', '短评打分': 5}
{'短评内容': '在泉城广场附近，从高铁站打车38元。位置不错，周边交通方便，就是价格比其他快捷酒店贵10%左右，房间还不错，环境较好。', '短评打分': 5}
{'短评内容': '挺不错，很干净，酒店房间在准三里面也算大的，服务员的态度也很好，原来的房间挨着电梯，我不喜欢，服务员领着我看了好几个房间，直到我满意为止，呵呵~表扬一下那天那个漂亮的姐姐！就是有2点希望改善：1.被子太厚啦，为了不热，要把空调的温度调的好低，好浪费电。2.电视机的频道太少，并且效果很不好，不太给力！如果下次去出差，还会选择住这里！', '短评打分': 5}
{'短评内容': '还不错,很干净,就是浴室是透明的。', '短评打分': 3}
{'短评内容': '很好也安静推荐', '短评打分': 3}
{'短评内容': '酒店在市中心，离景点都很近，服务差点，隔音不好，其他没啥', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 3}
{'短评内容': '不错，第二次入住了', '短评打分': 3}
{'短评内容': '4月2日入住，洗澡没有热水，房间很小，早餐更差，8点钟没有菜、没有饭，', '短评打分': 1}
{'短评内容': '还不错地点好，房间也不错，吃饭也方便。不过楼道声音太大，还有就是发票不及时', '短评打分': 5}
{'短评内容': '酒店很不错，位置极佳，房间很干净。推荐', '短评打分': 3}
{'短评内容': '酒店不错，环境好，离泉城广场三分钟，就是数码房电视不是新电视，电脑也是旧的，不过网速挺快的，值得推荐', '短评打分': 3}
{'短评内容': '房间枕头太低！需要至少3个才可以。。。最让人受不了的是洗澡的浴室是透明的。洗澡直接没有隐私', '短评打分': 1}
{'短评内容': '还是可以的。经常在这住', '短评打分': 3}
{'短评内容': '酒店位置很好，闹中取静，步行可游览泉城广场、黑虎泉、趵突泉公园，餐饮方便。', '短评打分': 5}
