{'短评内容': '总体还是不错的，感觉位置比较偏僻', '短评打分': 4}
{'短评内容': '生活不方便。', '短评打分': 4}
{'短评内容': '早餐不行，一般，适合一两天出差', '短评打分': 5}
{'短评内容': '非常不错，性价比高', '短评打分': 5}
{'短评内容': '酒店位置不错，性价比优', '短评打分': 5}
{'短评内容': '离办事的地方近，环境一般，早餐一般。', '短评打分': 1}
{'短评内容': '酒店的牙刷太差了吧，今天搞的我一嘴牙刷毛！', '短评打分': 1}
{'短评内容': '房间比较小，没有明窗。', '短评打分': 2}
{'短评内容': '位置不错，交通方便。', '短评打分': 4}
{'短评内容': '条件不错，性价比高！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '环境还是可以，', '短评打分': 5}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '房间宽，交通便利，但房价偏高。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店还行，在那个地段，价位一般，住的比较安静。', '短评打分': 4}
{'短评内容': '酒店内部环境很合心意，下次来还住。', '短评打分': 3}
{'短评内容': '招牌不大，不注意很难找到。酒店和其他办公楼在一座大厦，装修还好，不足的地方是毛巾有毛边', '短评打分': 5}
{'短评内容': '房子有点小，住宿条件还可以。服务员态度很好。', '短评打分': 5}
{'短评内容': '条件还可以，户型有点小，服务员的态度很好，前台的态度先对差一些。', '短评打分': 5}
{'短评内容': '酒店的服务态度不错，环境也可以，就是房间稍小一点，一个住也还将就。', '短评打分': 5}
{'短评内容': '环境不行，写字间改造，没感觉，早餐特简单，周围很单调', '短评打分': 1}
{'短评内容': '酒店房间装修一般，早餐也很一般！前台象小旅馆！', '短评打分': 1}
{'短评内容': '酒店不错，很宽敞，空调很棒。晚上很安静。就是位置偏，不好打车。', '短评打分': 5}
{'短评内容': '酒店房间很干净，洗澡水很好。订了个家庭房，房间很大，有阳光。不错，会向朋友推荐。物有所值。', '短评打分': 5}
{'短评内容': '还是不错的，价廉物美，早餐简单了些，不过还是值这个价格了。', '短评打分': 5}
{'短评内容': '1.房间大小还可以；\n2.服务态度很不错；\n3.拖鞋和洗漱用品是两种类型可选择（收费和免费）；鞋子底很厚，挺舒服。\n4.最喜欢洗手间的淋浴头，非常大，水也很足，相当舒服！！\n5.隔音稍微弱一些，但不吵，还可以；个人认为和其他住客素质有关，比如电视和说话的音量。\n6.早餐样式简单，中餐；小菜味道不错。\n7.位置好找，就在上丁商务楼，门口就是星光学校', '短评打分': 5}
{'短评内容': '很好的酒店，今次住的单间，干净卫生，值得推荐。\n不足的是椅子不好，歪歪斜斜的没有更换。', '短评打分': 5}
{'短评内容': '酒店房间还是不错的，交通也算方便。特别早上上班打车的的时候特别方便。\n去商务办公区回程的空车很多，根要就不需要等，随时到随时有车。\n有一点不爽的是，我们要了四个房间，把三个房间都安排在一层楼的三个角上，一个房间安排在中间。中间的房间是明显比边上的房间面积大，设备也要好一些。。', '短评打分': 5}
{'短评内容': '住了二十多次了，非常好的酒店。价格便宜，房间设施非常好。就是电梯慢点。', '短评打分': 5}
{'短评内容': '环境不错，交通较方便。早餐没什么特色，住了近10天，都是吃一样的东西', '短评打分': 5}
