{'短评内容': '知道知道呗', '短评打分': 5}
{'短评内容': '我和朋友还满意', '短评打分': 5}
{'短评内容': '酒店不错，地理位置也更好。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好，就是不能直接在前台开发票，不方便', '短评打分': 5}
{'短评内容': '房间还行，住建厅办事方便', '短评打分': 5}
{'短评内容': '开会住在那，挺不错就是，开会住在那，挺不错就是，下次还会选择，周围也购物很方便不过没机会去了，很有东南亚风情', '短评打分': 5}
{'短评内容': '环境很好很舒服，以后出差都会选择这里了，棒棒哒。环境很好很舒服，以后出差都会选择这里了，棒棒哒。环境很好很舒服，以后出差都会选择这里了，棒棒哒。重要事情说三遍！！', '短评打分': 5}
{'短评内容': '出差基本都是住这', '短评打分': 4}
{'短评内容': '酒店环境不错，服务态度好！', '短评打分': 4}
{'短评内容': '很一般，房间条件和价位不符，偏贵', '短评打分': 2}
{'短评内容': '酒店位置 服务 停车均可以 推荐', '短评打分': 4}
{'短评内容': '酒店地处市中心位置 停车外岀方便', '短评打分': 4}
{'短评内容': '市中心位置 停车外岀办事圴方便', '短评打分': 4}
{'短评内容': '停车 外岀办事都比较方便 下次还来', '短评打分': 5}
{'短评内容': '我都评论了N次了 只接安排推荐', '短评打分': 5}
