{'短评内容': '酒店地点好 房间干净 老板态度也很好 距离景区大门大概3分钟左右的距离 很满意 下次有机会再来同理一定会再次光临', '短评打分': 5}
{'短评内容': '住的是老房子改造的上下两层，空间有些小，个子高的人可能会觉得憋闷，前后两边都是路，隔音不太好，如果是女生单独住会害怕', '短评打分': 3}
{'短评内容': '老板人很好，很干净', '短评打分': 5}
{'短评内容': '老板人很好，位置好找，性价比高', '短评打分': 5}
{'短评内容': '地方小了点，网络不好，服务可以，环境也不错，没桌椅外面也没有，烧水壶也该换换了', '短评打分': 5}
{'短评内容': '房间环境一般，房间内常规配备。房间周围环境很好。出门是一条小河，有专人打捞河里的树叶等杂物。河边有一张玻璃桌子，二张破旧的滕椅，二人对面而坐，聊天极佳。', '短评打分': 4}
{'短评内容': '老板人很好，最后一班车前还特地发短信提醒，虽然还是错过了，但老板马上提供了好几个到同里的方案。到同里后老板骑着小电驴出来接的，很快就到住的地方啦，老板娘知道我独自一人还免费帮我升级了房间，对于我的各种疑问老板都解答的很耐心，真好～房间也是不错的～', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '店在离进门不远的地方，不在主干道，很安静。清早有送孩子上学的、买菜的、在门口晒太阳的，很有生活气息。本来定的不是这间房，老板给免费升级了，一排的木窗子，很有气氛。屋里热水很足，给配的还有很可爱的棉拖鞋，还有大背投可以看。老板人很热情，下次再来同里，应该还会考虑这家店的', '短评打分': 5}
{'短评内容': '房间还可以吧，就是隔音效果不好。外面的声音都能听到！', '短评打分': 3}
{'短评内容': '在古镇内，离三桥挺近的，在河边哦，房间不大，但是干净，床很舒服，热水也不错，事先先放掉点水就好了。', '短评打分': 5}
{'短评内容': '老板人很好。因为晚上到的，老板亲自到古镇门口来接的。对于民宿，这样的设施也可以接受。就是洗手间地漏不是太好。', '短评打分': 5}
{'短评内容': '房间不大，但是很干净，所在的位置游客几乎走不过来，睡觉也很安静，老板人很热情，人很好，一直听说古镇的卫生都不太好，但是这里的卫生真是不错，老板真是每天客人都换新的床单，我吃饭回来晚了一会，就看见隔壁退房，老板把床单被套全拆了换新的，被子放太阳下晒，洗浴等用品也不糊弄，都是准备的品牌的产品，不足的地方是网络信号不是很好，再就是刚装修的有点味道，但是不影响下次有机会去或者朋友去我会推荐这里', '短评打分': 3}
{'短评内容': '还是不错的，适合年轻人', '短评打分': 3}
{'短评内容': '还可以，房子住的很温馨，就是水压太小了…情侣入住还是很有情调的！', '短评打分': 5}
