{'短评内容': '还不错，下次还来', '短评打分': 5}
{'短评内容': '还不错还不错', '短评打分': 4}
{'短评内容': '一般情况吧，服务还可以', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '很不错推荐', '短评打分': 5}
{'短评内容': '真一般，床太硬了', '短评打分': 2}
{'短评内容': '有两点非常不好！第一，第二天要续住直接说没房，让我早上又着急临时找别的房！第二，里面的一次性洗漱用品居然收费！', '短评打分': 4}
{'短评内容': '挺好的，离电影院什么的很近', '短评打分': 4}
{'短评内容': '环境很好，晚上11点多到店，一直给留着房，前台服务很好。', '短评打分': 3}
{'短评内容': '环境卫生还可以，这个价格就是这个样子了', '短评打分': 5}
{'短评内容': '环境卫生还可以，这个价格就是这个样子了', '短评打分': 5}
{'短评内容': '我是真想拍几张掉墙皮烂毛巾的图片给你们看看！恶心恶心！还什么连锁酒店！当时是在垃圾携程上定的！说好的返现最后归类于我们的操作失误！真心不开心！', '短评打分': 1}
{'短评内容': '热水器调热点就太热，调冷点就变冷水了…也没地方晾衣服…大夏天空调开个自动模式它竟然在给我制热…电梯也是坏的…不过最后离店给送了个手链（泰山产）。', '短评打分': 1}
{'短评内容': '环境好 价格合适服务也挺好 关键是离泰山很近', '短评打分': 5}
{'短评内容': '除了不太显眼 其他都不错\n另外，打发票需要从另一个店打了取过来\n下次还住 推荐', '短评打分': 5}
{'短评内容': '房间很干净，服务态度很好，离岱庙很近，溜达着就到泰山脚下了。', '短评打分': 5}
{'短评内容': '环境不错，就是床太硬了，另外没有一次性香皂，不方便。', '短评打分': 5}
{'短评内容': '不错，很干净卫生。下次去泰安还会再来这家酒店。', '短评打分': 5}
{'短评内容': '新开的酒店！服务态度好！床睡的也舒服！就是当天入住的时候电视有问题！呵呵！以后多多改善吧！', '短评打分': 5}
{'短评内容': '感觉不错，服务态度很好，浴室很给力。可能是我在楼梯旁边住吧，夜里上下楼听的很清楚，隔音应该再处理一下。', '短评打分': 5}
{'短评内容': '考研这两天住这里，感觉还不错。服务态度很好，赞一个。', '短评打分': 5}
{'短评内容': '是一家新开的酒店，总体感觉还可以，就是房间隔音效果太差，半夜睡的好好的突然被隔壁一对男女的哭闹声惊醒，吓出一身冷汗。。。早餐给提供面包黄油，但是没有把黄油抹开的餐刀，很无语。。入住时说好住两天结果前台押金没收足，第二天中午又打电话到房间催要押金，而且对客用语十分不规范，搞的我一肚子火。。但是服务可以看的出来是在尽力改善的，服务反映速度非常快，这点很满意，客房服务员卫生打扫的也很尽心尽力，房间安装的', '短评打分': 1}
{'短评内容': '房间的布局还可以，很干净，喜欢他家的浴室。缺点是靠着马路，外面比较乱，房间的隔音效果也差', '短评打分': 5}
{'短评内容': '房间很干净，空调很温暖。\n服务很规范，待客很热情。', '短评打分': 5}
{'短评内容': '酒店环境很不错，房间也很干净，服务态度比较好。', '短评打分': 3}
{'短评内容': '酒店是新开的，隔音效果很差，没有早餐，设施很简单，只有空调很给力，临走的时候收银员还算错帐了！', '短评打分': 1}
