{'descr': '干净', 'star': 4}
{'descr': '除了没有手持淋浴喷头，别的都不错', 'star': 4}
{'descr': '很快 长期住他们家  以后还会用  价格合适', 'star': 5}
{'descr': '很好很安静的地方，交通方便', 'star': 5}
{'descr': '好，还不错，挺好，嗯，行', 'star': 4}
{'descr': '好好好好好好好好', 'star': 5}
{'descr': '好好好好好好好好好好好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '很好，很满意！', 'star': 5}
{'descr': '凌晨去的结果给我们的房间进去觉得阴森森的，还有一个小屋地下居然还有个床，感觉怪怪的，去前台换了房间结果都没有了，加钱升了水晶房', 'star': 4}
{'descr': '这次住这里不是第一次了、但这次感觉很一般吧、可以说很不舒服、首先洗手台下面的挡板是坏的、本来我想换房、但是告知我没有了房间此类型的，但我觉得不影响使用就算了，没必要太苛刻。但是下午四五点竟然没电了整个酒店、被告知是被别人挖断了电线、我去、真够狗血的剧情、接着我们出去吃饭、回来看见来电了、很高兴、但是一问才知是发电机供电、那发电机的巨响、吵的我真是睡不着啊（我们在三层）、真是睡不着…说实话其实挺喜欢', 'star': 3}
{'descr': '挺好，就是离市区有点远，价格便宜些好点', 'star': 5}
{'descr': '听朋友介绍过来的，还不错，干净，环境也不错，位置很便利。', 'star': 5}
{'descr': '酒店位置不偏，就在大马路边上，很好找，早餐便宜又丰富，房间设施也比较好，而且房价也不高，性价比高，非常值得入住。前台服务也很好，办理入住退房都很方便，服务员也很热情。', 'star': 5}
{'descr': '房间很干净，服务也不错，只是早餐热菜只有两个！', 'star': 5}
{'descr': '第二次入住在三楼感觉比一楼房间好些，其它的没变就是网上订的比会员价贵些（20元）。', 'star': 5}
{'descr': '九点很不卫生，床单是脏的，采光也不好，地板该修修了，感觉服务员态度不好，唯一欣慰的是有配有电脑，下次不会选择住了', 'star': 1}
{'descr': ' 服务态度超好', 'star': 3}
{'descr': '说实话唐山的酒店无论大小都是比较贵的，从网上顶的相对还是比较便宜。酒店在华严路靠近唐山体育馆，前台服务态度较一般，酒店没有电梯，让帮忙拉下行李都不行！房间倒还行，就是卫生间不太干净，很旧。', 'star': 5}
{'descr': '洗漱用品是一次性的，用一下就没了，窗帘太透光了，白天想暗一下都没法，电视频道太少', 'star': 1}
{'descr': '我觉得其实还是一般吧 中规中矩的 可是不是很干净的样子 ……', 'star': 1}
{'descr': '要多差有多差！墙壁斑驳到极点，都是苍蝇蚊子尸体！卫生间门坏的！被子脏得。要换还说是被面其实没事！！！！热水一会有一会没有！空调一直30度，屋子依然冷得不行！', 'star': 1}
{'descr': '环境还行，这个价位也就差不多，配套设施挺全，这个价位的算好的', 'star': 3}
{'descr': ' 差差差，环境差，设备差，服务差，什么都差，没有一个是好的', 'star': 1}
{'descr': '＋环境很好，很干净。', 'star': 3}
{'descr': '＋满意', 'star': 3}
{'descr': '酒店很新，比同样价位的快捷酒店要好很多，只是没有电梯，自己提行李去三楼有点累啊。周边环境也不错的。', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '地理位置不错.去一些公园,商业街都很方便.\n\n房间有些陈旧,空调噪音大,制冷比较缓慢.网络也时好时坏.\n\n总得来说还不错..对了.没有电梯', 'star': 5}
{'descr': '唐山怡家快捷酒店是我住过最糟糕的酒店，没有电梯，晚上蚊子能吃人，房间床铺潮湿的就像刚洗过似的，卫生间的排风机打开之后声音就像拖拉机，等等不尽人意之处举不胜举。个人认为该酒店的管理有问题，举个例子，服务员见到客人打个招呼，问个你好总不为过吧，可是这边服务员就像傻子似的呆呼呼的连看都不看一眼，前台服务员也冷面相待，总之本人以后没有特殊情况不会再选择该酒店的', 'star': 1}
{'descr': '卫生一塌糊涂！我真的对唐山的快捷酒店无语了', 'star': 1}
