{'短评内容': '挺好的，还有早餐。', '短评打分': 5}
{'短评内容': '卫生好，周围安静', '短评打分': 5}
{'短评内容': '整体不错，性价比很高', '短评打分': 5}
{'短评内容': '整体不错。适合带孩子，房间整洁，价格很合理，停车也方便。', '短评打分': 5}
{'短评内容': '整体不错。房间整洁，价格很合理，停车也方便。', '短评打分': 5}
{'短评内容': '步步高发英语v炒粉干与i那边', '短评打分': 5}
{'短评内容': '床头连插头都没有插头都没有插头都没有！墙纸也有部分脱落了', '短评打分': 4}
{'短评内容': '很不错哟，环境挺好的。客户态度很好', '短评打分': 5}
{'短评内容': '安静，热水很好，比较干净，地理位置好，处于中心城区又能够保持安静。停车场有点小，停的比较拥挤。服务态度好。床头没有插座可供充电使用。', '短评打分': 4}
{'短评内容': '环境比较清净', '短评打分': 3}
{'短评内容': '满意 推荐', '短评打分': 5}
{'短评内容': '房间卫生、房间宽大，方通位置方便', '短评打分': 3}
{'短评内容': '房间卫生、房间宽大，方通位置方便', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '不错的酒店，     停车还是比较方便的', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位于主干道旁边的路上，交通方便又不至于晚上吵，房间设施干净，我的手机丢在酒店，前台帮我收好了，非常感谢,马路对面有两家特色小吃凉糕和凉面，餐馆也多，好吃不贵', '短评打分': 5}
{'短评内容': '很开心的一次旅行,第一次尝试网上预定酒店，印象很好,以后会一如既往的支持。宜宾的7天住在人民公园店，房间没话说，很好，晚上也安静,唯一就是旁边的地下停车场,停了一晚第二天车子里气味都变臭了，需要改进哈！', '短评打分': 3}
{'短评内容': '千叶酒店口碑越来越好了，预订也一定要提前做', '短评打分': 3}
{'短评内容': '酒店两位保安叔叔人非常好，给我预留车位，停车还给我指挥，非常敬业，谢谢了~酒店环境可以，非常安静，下面走点几家面馆好吃！！下次来还住这里~', '短评打分': 5}
{'短评内容': '很不错  ，非常安静 ，停车也方便，值得入住~', '短评打分': 5}
{'短评内容': '第二次入住。地点适中，离江阳区最繁华的地方水井街仅仅一两分钟车程，建议如果只是逛街的话，可以走着去！住宿环境不错，酒店是新的，硬件好，服务质量也说得过去。而且，酒店位于南城派出所大院里面，安全！提出一点意见：刚刚开业不多久，有些设施我看已经坏了，没修理好也没换，应该加强；床单也一样，这些细节，多注意点！', '短评打分': 5}
{'短评内容': '酒店很不错，基本上每次来泸州都住的这家酒店，比较安静，又很安全，因为派出所就在旁边。酒店斜对面的凉糕很好吃！', '短评打分': 3}
{'短评内容': '采光很好，干净卫生，不错', '短评打分': 3}
{'短评内容': '强烈推荐住在这里：环境安静，价格适中，房内条件也还不错，针对这个价格来说，是物超所值了！', '短评打分': 5}
{'短评内容': '酒店很好，早餐待提高', '短评打分': 3}
{'短评内容': '酒店还可以，离泸医只有二站路…', '短评打分': 3}
{'短评内容': '住的很舒服，环境特别的幽静，地理位置也好，去哪儿都方便。', '短评打分': 5}
{'短评内容': '每次去泸州都会去预定这个酒店，每天的免费早饭很好吃，位置很方便。', '短评打分': 5}
{'短评内容': '酒店装修新，净；但下水道可能没处理好，气味较大。70分吧', '短评打分': 3}
{'短评内容': '离泸州医学院比较近，环境也比较安静，总体还是比较不错的', '短评打分': 5}
{'短评内容': '一般而已，比较实惠。。。。。。。。。。。。。。                              ', '短评打分': 5}
{'短评内容': '可以入住。  说了可以还喊多打几个字，麻烦得很。                                                       ', '短评打分': 5}
{'短评内容': '安全，舒适，总体满意，', '短评打分': 3}
