{'短评内容': '就那样一般般', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 4}
{'短评内容': '酒店服务很好，卫生干净', '短评打分': 5}
{'短评内容': '不错。每次来住这里', '短评打分': 5}
{'短评内容': '差评、连续住了四天了床单都没换过、', '短评打分': 2}
{'短评内容': '还算可以', '短评打分': 4}
{'短评内容': '环境好，周边很热闹，服务人员态度很不错，价格便宜，强烈推荐，下次有住宿还会来', '短评打分': 5}
{'短评内容': '房间很一般啦，是以前老公寓改的，房间空间蛮大的，抽屉里还有前者剩下的避孕套还没有打扫，所以真的不敢想象有多干净。被首页的照片给欺骗了。', '短评打分': 3}
{'短评内容': '地段好 但设施老旧了些', '短评打分': 4}
{'短评内容': '商务大床房，空间挺大，小公寓改造的，家用电器挺多，但设备老。卫生还好。高层，比较安全。服务态度不行！', '短评打分': 4}
{'短评内容': '性价比还是不错的', '短评打分': 5}
{'短评内容': '总体来说是非常合适的个人出行首选', '短评打分': 5}
{'短评内容': '硬件设施很差 最重要的是服务差的不行 前台那个女的气势跟个山寨老板娘一样 在网上付款了还要加收 再也不去住了', '短评打分': 1}
{'短评内容': '携程找代理商定的，代理只定成109，这酒店也只值100块。携程价格138，差价就是携程收了。不是酒店的问题，但酒店应该只适合平时住小旅馆的人。照片上的东西都有，但就是坏的旧的。', '短评打分': 3}
{'短评内容': '交通便利，设施一般，前台小妹态度很好，要表扬！', '短评打分': 4}
{'短评内容': '環境優雅，安靜，我住的還能看到很多美景喔，另外非常安全，床非常舒服，衛生很乾淨，還有按摩椅喔。是你出差，約會的好去處。', '短评打分': 5}
{'短评内容': '房间很棒，景观很棒', '短评打分': 5}
{'短评内容': '还行吧，就是睡不太喜欢', '短评打分': 3}
{'短评内容': '住宿条件很不错，设备齐全，交通便捷，以后还来', '短评打分': 5}
{'短评内容': '服务之类的都还不错，就是有时候网速不是很好', '短评打分': 3}
{'短评内容': '整体还不错，就是酒店不新了', '短评打分': 3}
{'短评内容': '房间不错。干净，设备齐全。就是临近马路，有点吵。', '短评打分': 3}
{'短评内容': '还不错，位置，就是不是特别容易找~~\n总体还算满意', '短评打分': 5}
{'短评内容': '地段离办事地方很近，家庭旅馆，空调不能开，晚上楼道没灯吓人', '短评打分': 5}
{'短评内容': '住宿条件很不错，设备齐全，交通便捷，以后还来', '短评打分': 5}
{'短评内容': '环境还可以，收拾得比较干净。房间也没有描述的那么大，希望可以看完房间再确认是否入住。', '短评打分': 5}
{'短评内容': '是家酒店式公寓,来的第一天房间不是很满意,但客服的服务态度很热情,第2天马上就换了一间,我很满意,赞一个,下次来了还会入住', '短评打分': 5}
{'短评内容': '价格稍贵，卫生什么的还有需要改进的地方，虽是酒店式公寓，但希望能让人有专业式酒店的享受。', '短评打分': 5}
{'短评内容': 'hiahaiihaiahkgklagja\nalghlglagagag\najglkjalkjhgaigalkg\naglkjhalhglakhgajgjaglkjglkhalkhjk\nalgjlkajlkajhaojlkdjalkgaklga  ', '短评打分': 5}
{'短评内容': '交通较方便，但如果是女生一个人的话，我不推荐，会怕的', '短评打分': 1}
{'短评内容': '可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额可以额', '短评打分': 5}
{'短评内容': '还可以，空调不能制热。', '短评打分': 3}
{'短评内容': '还可以\n地段不错，市中心\n交通方便\n居家式装修\n整体还不错', '短评打分': 5}
{'短评内容': '不错，挺大的，也很干净整洁，设施都还不错', '短评打分': 3}
{'短评内容': '交通比较方便，就是空调不知道为什么不能开...', '短评打分': 5}
{'短评内容': '总体还不错。就是希望能有电话，另外，空调弄好点。谢谢', '短评打分': 5}
{'短评内容': '价格还实惠', '短评打分': 3}
{'短评内容': '住的是舒适房，还不错，设计都蛮好的，', '短评打分': 3}
{'短评内容': '~~~~~~酒店管理员的服务态度还不错......', '短评打分': 5}
{'短评内容': '周围环境不错，内部环境一般，设施一般，但是有一种很不错的温馨感，值得选择', '短评打分': 5}
{'短评内容': '好喜欢房间的色调与布置，跟自家的卧室一样，很温馨的哦', '短评打分': 3}
{'短评内容': '帮别人订的，听说还可以以。！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很好的住处哦！！就是空调制暖不太好使，其他的都很满意！！！！！', '短评打分': 5}
{'短评内容': '房间舒适，感觉很好', '短评打分': 3}
{'短评内容': '摩登假日酒店式公寓真的不错，就像个家的感觉，很温馨！', '短评打分': 3}
{'短评内容': '只能说一般般  设施比较落后  在五四路和华林路的交界应该是比较好一点的   但是服务人员态度挺好', '短评打分': 1}
{'短评内容': '很不错，环境舒适，很适合出门旅游入住。。。。。。。。', '短评打分': 5}
{'短评内容': '该酒店房间内设施很齐全，装修比较久。去的时候碰上医疗器械博览会，房价翻番，吐血', '短评打分': 3}
{'短评内容': '388的价格与设施、干净等程度不符合；性价比太差！！！不过服务态度还可以', '短评打分': 1}
{'短评内容': 'too dirty.', '短评打分': 3}
{'短评内容': '服务态度好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '帮朋友订的，赶上医疗器械博览会，福州网上能预定的宾馆基本都满了，能订上就是胜利，条件就不必太苛求了。', '短评打分': 5}
{'短评内容': '谈不上硬件服务了，房价翻了三倍，房间里有很多的小虫子，强忍了', '短评打分': 3}
{'短评内容': '酒店房间很差，卫生间灯坏了，并且没有门，床单没洗干净。', '短评打分': 1}
{'短评内容': '已经入住了，服务很好，房间很大，就是交房有点晚，给个好评吧。', '短评打分': 3}
{'短评内容': '家电设备挺齐全，适合居家出游。服务也不错，性价比挺高。', '短评打分': 5}
{'短评内容': '为什么没有招牌···大楼很好找·但是门面不好找也···不过住起来还是很温馨的···装修不错····格局也不错····', '短评打分': 5}
{'短评内容': '摩登连锁酒店150元的房间不错，大气高雅空间大床大设施齐全，值得选择！', '短评打分': 3}
{'短评内容': '还不错，卫生再搞好一点就更好了。总体来说还是可以的。', '短评打分': 5}
{'短评内容': '性价比挺高！视野好，空间大，不过跟网上图片有些差异。其实想想这个价格，真的很不错了。老板服务态度挺好，主动降低了价格。建议提供更准确的客房图片。', '短评打分': 5}
{'短评内容': '位置比较难找。里面的环境比较一般。短租公寓而已。', '短评打分': 1}
{'短评内容': '非常不错！性价比很高!卫生相当好！我住的是以白色和紫色为主调的客房，很雅静，非常喜欢！下次还会去的.', '短评打分': 5}
{'短评内容': '公寓位置还好，算市中心地带吧，离火车站也不远，设施一般。卫生状况比快捷酒店要差。', '短评打分': 1}
{'短评内容': '其实这根本不能称得上酒店 ，只是把写字楼的其中一层承包了。到处都感觉脏脏的。也没有指示牌，还要问楼下物业才知道上面有这样的短租房。', '短评打分': 1}
{'短评内容': '豪华房真不错', '短评打分': 3}
{'短评内容': '\u3000装修很旧，最少开业6年。', '短评打分': 3}
{'短评内容': '还不错 老公蛮喜欢~ 比较适合出差的筒子们，位置也可以，值这个价。', '短评打分': 5}
{'短评内容': '因为看中介绍里的面积挺大和价格挺合适才订的，但需要先划掉信用卡里的房费，这点挺不爽的。后来因第二天要去的地方离此较远，酒店所在的那段路早晨很不好打车，故未入住，但是房费也退不回来了。', '短评打分': 1}
{'短评内容': ' 很好\n（From: 剑伟）', '短评打分': 3}
