{'短评内容': '挺好的，经常安排朋友到这里住。', '短评打分': 5}
{'短评内容': '早餐一般，床一般', '短评打分': 1}
{'短评内容': '早餐一般，房价一般', '短评打分': 1}
{'短评内容': '不想评论实在没地方住了', '短评打分': 3}
{'短评内容': '出了床垫太硬，其他都还行！', '短评打分': 5}
{'短评内容': '住了半个月了，很满意', '短评打分': 5}
{'短评内容': '老旧', '短评打分': 3}
{'短评内容': '一般，太老', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间空间合适，设施有些陈旧，整体性价比较高！', '短评打分': 5}
{'短评内容': '和上一次入住比较，这次最大的感受就是房间暖和啦', '短评打分': 5}
{'短评内容': '酒店离孟津公疗医院很近，环境不错，就是房间里太冷了，空调开一晚上还是14度', '短评打分': 5}
{'短评内容': '空调没暖气，一晚上那个冷啊，名字是明扬国际，发票是明扬商务，价格有点高', '短评打分': 4}
{'短评内容': '都挺好的，洗澡喷头改换了，下次再来', '短评打分': 3}
{'短评内容': '房间面积不错，热水器未清理', '短评打分': 3}
