{'短评内容': '老板热情好客', '短评打分': 4}
{'短评内容': '武夷山火车站附近的NO.1', '短评打分': 4}
{'短评内容': '内部符合商品告知 服务周到 特别提示旅游路线并帮助购买廉价门票 感觉到家一样 有机会再去的话 一定还会入住该宾馆 长春孙长江18643085062', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '酒店环境好，蚊子多。', '短评打分': 3}
{'短评内容': '不错的', '短评打分': 3}
{'短评内容': '在火车站对面，如果坐火车旅行住宿很方便。如果有电梯像我这种骑单车旅行的人就更方便一些了。', '短评打分': 3}
{'短评内容': '不错的地方、很方便.', '短评打分': 3}
{'短评内容': '靠近火车站，能这样，已经不错了。', '短评打分': 4}
{'短评内容': '还行，在火车站附近，方便', '短评打分': 4}
{'短评内容': '不错，就是地板旧看起来赃', '短评打分': 4}
{'短评内容': '还可以，性价比很高。', '短评打分': 5}
{'短评内容': '酒店很不错，非常干净，全是新的，前台小妹态度也很好，性价比超值！', '短评打分': 3}
{'短评内容': '离火车站很近，房间很干净整洁，前台的小妹也很热情！挺好！', '短评打分': 5}
{'短评内容': '，已入住，总体评价还可以', '短评打分': 3}
{'短评内容': '酒店很新，设施较好，很干净，服务很热情。交通蛮方便的，挺值的，算是火车站周围最好的了。酒店还提供了很多关于景区旅游的建议。酒店茶室蛮有品味的。', '短评打分': 5}
