{'短评内容': '环境一般，设施够用，临近美食街。', '短评打分': 4}
{'短评内容': '没早餐，优点是离青年路地铁站不远，离武广，中山公园，协和医院均可以步行。离雪松路美食街也比较近。虽然临街，噪音倒还好，因为这条万松园路到了夜里本身还比较僻静', '短评打分': 5}
{'短评内容': '酒店不错，卫生干净，交通方便。就是不晓得说是有返现，结果跟去年一张仍然没有返现，问服务员说不清楚。有返现就返现，没有就没有，何必搞些虚假的信息！', '短评打分': 4}
{'短评内容': '中规中距，周围是生活区，不吵闹，找吃的也方便，三楼的房间墙壁上有很幼稚的画，四楼的要像样些。属于经济型的宾馆，在武汉市区也算性价比可以的。', '短评打分': 5}
{'短评内容': '地方不是很好找，打了几個電話才找到的。房間訂的標间還可以，洗手间不是很大但也算是对得起這個價格。房間不是靠馬路那边所以也還算安静！酒店前面不远有小型商场，距離中山公園還是要走二十分钟的。周围飯店還是蠻多的！', '短评打分': 3}
{'短评内容': '交通便利，服务态度好，非常喜欢', '短评打分': 5}
{'短评内容': '卫生雅致服务好', '短评打分': 5}
{'短评内容': '都还可以服务态度挺好', '短评打分': 5}
{'短评内容': '看到肯德基佛法讲佛法绝地反击吸毒绝地反击上看风景疯狂大吉大利的决定李鑫机动车哦房间日放假看到你从的阶段看到你的肌肤快点好', '短评打分': 5}
{'短评内容': '开发开放快点康复减肥减肥咖啡绝地反击的开发减肥可看风景疯狂的减肥咖啡绝地反击疯狂的阶段看到经典开发经费', '短评打分': 5}
{'短评内容': '开放快点加佛的胡达看见司法鉴定机构开放加沙地带娇滴滴的决定开发科技开发开放决定减肥咖啡绝地反击东方减肥肯德基', '短评打分': 5}
{'短评内容': '房间太小了，洗手间太小了，空调像有点问题，其它一般。', '短评打分': 3}
{'短评内容': '环境很好，交通也挺方便。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间小   收费贵', '短评打分': 1}
{'短评内容': '房间有点闷，空调不制热，电梯有异味，无线挺快，厕所有点小，整体还可以，离汉口火车站打车15块钱', '短评打分': 2}
{'短评内容': '还可以，挺干净，就是网速有点慢，让我很气愤。', '短评打分': 1}
