{'短评内容': '干净，安静', '短评打分': 5}
{'短评内容': '早餐一般般，停车场不错', '短评打分': 3}
{'短评内容': '出差选择的酒店，设施可以，比较方便，以后有机会来这里出差还会考虑选择这里。', '短评打分': 4}
{'短评内容': '确实挺好！服务态度很好！酒店卫生整洁！', '短评打分': 5}
{'短评内容': '位置可以，有停车场。干净！有净化直饮水。挺好！服务员都很热情，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '帮人订的，还可以', '短评打分': 5}
{'短评内容': '超低的价格，服务一流，这是我第二次入驻莱芜如家，有早餐，食品丰富，上网方便，网速挺快，洗澡=十四小时', '短评打分': 5}
{'短评内容': '房间不隔音，其他都还可以。', '短评打分': 4}
{'短评内容': '房间不隔音，卫生还可以，交通方便。', '短评打分': 4}
{'短评内容': '房间很好，设施齐全，服务很周到', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还是空调不行。噪音太大，乱死了。', '短评打分': 3}
{'短评内容': '空调不行！', '短评打分': 3}
{'短评内容': '干净整洁，价格便宜，停车场大，周边餐饮多，服务态度好，每次路过都住这里', '短评打分': 5}
{'短评内容': '房间很干净，餐厅菜很好吃，服务好，推荐。', '短评打分': 3}
{'短评内容': '交通方便，硬件不错，服务挺好，值得推荐。', '短评打分': 5}
{'短评内容': '服务好，环境优雅，房间宽敞，住得很舒服，还有免费的自助餐。总体上，比较划算，性价比高。', '短评打分': 5}
{'短评内容': '整体不错，外观大气，内部装饰简洁大方，很好 狠新', '短评打分': 5}
