{'短评内容': '老板超好 看我们人多特意出来接 环境好价格便宜！很满意的西塘游', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很棒的老板，真的是车接车送，但是我们呆的时间有点短，也没有好好的参观，西塘的酒吧真的超级多，他们的店就在一家轻音乐酒吧的对面，他们家的房间很好有个榻榻米，设施也比较齐全，现在西塘就有蚊子了他们家有电蚊香，并且老板人也超级好，我们三个人住老板又没有收费还多给我们一床被子！有多给好多洗漱用具和一次性拖鞋！！！真的很棒再次再去嗨的话就去他们家！！', '短评打分': 5}
{'短评内容': '房间很棒，老板更nice，第一次去以为嘉善汽车站就是西塘汽车站，害得老板从那里等了好久，店是直接在景区的入口很方便，房间很大设施很方便，我们几个老人嫌冷，老板又加了一床被子，对面是轻音乐酒吧，不是很吵但是还是听的见，外面重音乐的声音就听不见，位置临河很好看的景色，回去的时候老板还帮忙拿行李又送到汽车站！！！下次还要去他们家', '短评打分': 5}
{'短评内容': '不错，安静', '短评打分': 5}
{'短评内容': '老板和老板娘特别热情，下次还住', '短评打分': 5}
{'短评内容': '窗外小河，挺温馨的装修', '短评打分': 3}
{'短评内容': '很不错  服务贴心', '短评打分': 5}
{'短评内容': '房间很一般 就像其他人拍的那样 卫生条件也一般 赶上节假日比一般时候贵一倍的价格 所以还是不要节假日去这些地方', '短评打分': 3}
{'短评内容': '店家开车到我们下公交车的地方接我们 还帮我们买50块的特价票 挺好的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
