{'短评内容': '多次购买了，价格实在是优惠', '短评打分': 5}
{'短评内容': '几年前，在我涉世未深时，如果了解闺蜜幼师与女性儿童有关的事时，表现得和众多网友一样愤世嫉俗。反之如今，我大多时刻选择了沉默，并不代表我没有看法，也不是我漠不关心，而是我在反思，思考这一切的源头。在网络时代，人们的无端揣测似乎总是被舆论所导向，在除当事人外的所有群众所说的话语，都应有一些责任，并不是肆意妄为的发泄出来，最后感到莫名其妙的恐慌。大多数人其实深知人之本性，但他们又不愿意承认，因为信息爆炸时代的使人不得不拿个例去看整体，面对手中的荧幕，何尝不是管中窥豹？', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '交通位置还可以，酒店蛮干净，就是设施有点陈旧了', '短评打分': 5}
{'短评内容': '早餐很好，环境也行', '短评打分': 5}
{'短评内容': '早餐好', '短评打分': 5}
{'短评内容': '早餐很好', '短评打分': 5}
{'短评内容': '住宿加餐饮，比较老的店了，挺好的。', '短评打分': 5}
{'短评内容': '还好吧。方便。', '短评打分': 5}
{'短评内容': '嗯，我觉得很好。安静，宽敞，还有早餐，东西也没觉得你们说的那样旧。价格厚道。\n即使旧的话，它没甲醛释放，不是很好么？', '短评打分': 5}
{'短评内容': '室内是这种灯哈，就可以调亮度，但是最亮也是黄灯。比较老，但是室内走廊都是地毯，也比较干净，每个房间都有大窗户敞亮，主要是停车方便，门前有地上停车位，不收费，免费早餐，免费的还不错了，住了三次了，', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '这个酒店是正经酒店，前台服务不错，早餐也正规，还有地上停车场，房间也比较干净，走廊室内都是地毯，当然价格相对比经济型贵点，旁边就是商业大学，虽然这个校区不大，还有设施真的陈旧，电视是大头老式机，卫生间还有老式浴缸，也可以站里面淋雨，马桶都发黄了但是能用，关键卫生间就一个管灯亮之前闪一下，感觉来到了80年代，哈哈，总之旧，五一有活动147住的标间，有早餐，', '短评打分': 5}
{'短评内容': '干净 环境好 很满意', '短评打分': 5}
{'短评内容': '挺满意的！停车方便！吃饭也挺好！', '短评打分': 5}
{'短评内容': '感觉不错，就是卫生间没有电源插座。', '短评打分': 5}
{'短评内容': '还可以，就是设施有点陈旧了', '短评打分': 5}
{'短评内容': '有房不让定。。。。', '短评打分': 5}
{'短评内容': '酒店设施比前两年老了不少，记得前两年住的时候挺好的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好酒店！！！！', '短评打分': 5}
{'短评内容': '好酒店！！！！', '短评打分': 5}
{'短评内容': '设施陈旧', '短评打分': 4}
{'短评内容': '不错不错，下次还会继续关注！', '短评打分': 5}
{'短评内容': '是老酒店，设施较老，卫生条件不可以，服务人员的态度好，应给个赞！！！', '短评打分': 3}
{'短评内容': '哈尔滨一直住这里', '短评打分': 5}
{'短评内容': '都挺好的，下次也会继续使用的', '短评打分': 4}
{'短评内容': '酒店一般，性价比不高', '短评打分': 4}
{'短评内容': '交通比较方便，卫生做的不好，入住的时候有很大的烟味。', '短评打分': 1}
{'短评内容': '设施老化，及其不舒服，早餐也很不好，与价格不符', '短评打分': 1}
{'短评内容': '房间不大，打扫的挺干净，设施挺齐全，感觉挺舒适，位置也挺好，出行也挺方便的。', '短评打分': 5}
{'短评内容': '酒店挺干净，设施挺新挺齐全，服务挺热情的，住的挺舒适。', '短评打分': 5}
{'短评内容': '离市区不是很远，周边交通挺便利，环境也不错，挺干净挺舒适，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '服务人员态度挺好，办事也挺专业的，设施方面也挺齐全挺实用的。', '短评打分': 5}
{'短评内容': '酒店还不错，服务卫生挺到位，设施挺齐全，出行也方便，价格还不贵。', '短评打分': 5}
{'短评内容': '房间挺干净，硬件设置挺好，隔音效果也挺好，住的挺舒适。', '短评打分': 5}
{'短评内容': '服务人员着装整齐，用语规范，服务也很周到，感觉挺不错。', '短评打分': 5}
{'短评内容': '房间里挺干净，设施维护的挺好，也挺齐全，卫生间收拾的也挺干净，毛巾都挺新挺干净的。', '短评打分': 5}
{'短评内容': '性价比挺好，服务卫生挺到位，设施也齐全，感觉挺不错的。', '短评打分': 5}
{'短评内容': '酒店位置还好，周边公交挺多，出行挺方便的。价格也挺合适的。', '短评打分': 5}
