{'短评内容': '整体不错，环境优雅', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '以后不能住了，不能住了', '短评打分': 4}
{'短评内容': '位置不错，环境也好，也挺干净的。下次还会订。', '短评打分': 3}
{'短评内容': '步行去同里要20分钟，停车场在后院还不错，房间隔音不好，早上6点给隔壁房间吵醒了。', '短评打分': 5}
{'短评内容': '还不错，还不错。近，干净。', '短评打分': 3}
{'短评内容': '总体来说不错，设施齐全，但我住的那间空调用不了，电视貌似也看不了，去前台说了下，他们说会帮我们弄好，但我们回来后试了下还是没用，因为只住一晚，所以也就懒得再去说了，总的来说不错吧，空间也挺大。', '短评打分': 4}
{'短评内容': '店家看着很干净，是新装修的，有点味道；白天的前台服务很好也很客气，但是夜间（大概晚上9点）值班的前台态度就很不好了，讲话很冲，而且有点不耐烦的感觉。总体感觉还可以，离景点很近（行走15分钟左右）。附近吃饭不太方便。', '短评打分': 5}
{'短评内容': '离景区有一段路，房间隔音效果太差，早上吵死了', '短评打分': 1}
{'短评内容': '价格合适，房间大，新装修的 就是不在景区里', '短评打分': 5}
{'短评内容': '很干净，老板人很好，就是到景区要走一段，', '短评打分': 5}
{'短评内容': '房间很大，很干静，就是有点味。离景点比较远，隔音不好。', '短评打分': 3}
{'短评内容': '房间很大，很干静，就是离庄有点远。新装修的，有点味。', '短评打分': 3}
{'短评内容': '酒店环境还可以,就是早上酒店保洁挺吵得,酒店距离景点比较近,交通挺方便的,酒店很好找', '短评打分': 5}
