{'短评内容': '经常去', '短评打分': 5}
{'短评内容': '早餐还不错', '短评打分': 4}
{'短评内容': '早餐还凑合。', '短评打分': 5}
{'短评内容': '同上，另外是我同事住的，一进去，床单都是脏的，才马上让换', '短评打分': 1}
{'短评内容': '到目前为止住的最差的酒店，没有之一，一进门插门卡，闪了一下，以为是跳闸了，打电话给前台，一副我差他几千万似的，态度之差，生平仅见，来教会了我们如何使用他们酒店的电器，好吧，住进去了，连网半天连不上，找床头充电的地方，半天没找到，又打电话去前台，前台告知我们的网就是这样的，床头是没有充电的，给我送来一个插板，我也是彻底服了，住酒店充电还要用插板来连接，没有网没办法，只有看电视了，结果电视开了半天，也', '短评打分': 1}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '亮相北京站将军之一！在这里说吧、是什么样子&hellip;&hellip;一下这些在这座古城的石板路？这', '短评打分': 5}
{'短评内容': '图图图为你做不来找寻的我在一起是什么', '短评打分': 5}
{'短评内容': '性价比高，值得推荐！', '短评打分': 5}
{'短评内容': '价格很实惠，下次还来。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以了？我也不是那么', '短评打分': 5}
{'短评内容': '酒店和京东服务态度差，有意外情况，不给予处理', '短评打分': 1}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '卫生洁净，热水好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店服务很好，早餐还行，住过好多次了！', '短评打分': 5}
{'短评内容': '设施好，服务周到', '短评打分': 5}
{'短评内容': '不太像是四星级酒店。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': 'Good value hotel with a decent choice of rooms and suites.', '短评打分': 4}
{'短评内容': 'Good value hotel with a decent choice of rooms and suites.', '短评打分': 4}
{'短评内容': 'Good value hotel with a decent choice of rooms and suites.', '短评打分': 4}
{'短评内容': 'Good value hotel with a decent choice of rooms and suites.', '短评打分': 4}
{'短评内容': '房间还可以,比较新,呵呵,有骚扰电话', '短评打分': 4}
