{'短评内容': '停车免费，位置好找，我们是带着娃娃去住的，住的大床房，床很大，一家人睡觉都还比较宽。周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '价格不便宜，设施老旧，没窗户的房间也实在太小了', '短评打分': 5}
{'短评内容': '干净整洁，有早餐', '短评打分': 5}
{'短评内容': '很好，经济实惠', '短评打分': 5}
{'短评内容': '小，不适合加床，双人床倒是够大。卫生间小。主要是热水小。', '短评打分': 4}
{'短评内容': '位置好，服务佳。', '短评打分': 5}
{'短评内容': '房间较小，比较吵，没睡好觉', '短评打分': 4}
{'短评内容': '牙具要收费，房间是用石膏板隔出来的几个房间，隔音具差，并且牙具还要收费，没有免费饮用水！价格也不划算！强烈不建议入住！', '短评打分': 1}
{'短评内容': '房间环境比较差，空间很小！装修很久！', '短评打分': 3}
{'短评内容': '还是可以的环境 但是让我等了好久才让我入住也是晕眩', '短评打分': 4}
{'短评内容': '很实惠很棒的酒店', '短评打分': 5}
{'短评内容': '丢了一个手机充电器', '短评打分': 5}
{'短评内容': '一般吧，房间的灯有些是坏的，热水要等一会', '短评打分': 4}
{'短评内容': '住的不错，屋子很干净，热水很好，就是牙具没写价格，3块一包，各位注意了。', '短评打分': 3}
{'短评内容': '很不错、服务态度特别好、前一天晚上喝多了...吐了...把房间弄的挺脏的...服务员一点抱怨都没有...30的整理费、很好...下次一定还去...', '短评打分': 5}
{'短评内容': '很好非常好  很实惠', '短评打分': 3}
{'短评内容': '定的有窗标间，给换成了无窗大床房，房间大小还行，设施比较旧', '短评打分': 3}
{'短评内容': '干净。\n建议点评内容事先列好，让点评人选择。\n', '短评打分': 5}
