{'短评内容': '成都的连锁酒店，就那样，房间内部还行，位置不是很便利。', '短评打分': 5}
{'短评内容': '预订时说有早餐为什么没有送早餐啊。。。而且也没有反现金。。。', '短评打分': 5}
{'短评内容': '酒店宽敞，价格公道', '短评打分': 3}
{'短评内容': '外面的KTV声音很大，吵得很，不适合休息。内部设施也没有想象中好，比较简陋。', '短评打分': 1}
{'短评内容': '酒店虽老。但是服务还是满好的。性价比好。希望加强设施改进。。。', '短评打分': 5}
{'短评内容': '太不安静了。吵得很', '短评打分': 3}
{'短评内容': '酒店环境超差，而且周边有ktv，噪声很大', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '地理位置非常好找,距离我要去的车站都直达的公交车', '短评打分': 5}
{'短评内容': '不好意思  点评晚了哈  因为是给同学订，服务很不错，下次出差会经常用这个网站的！', '短评打分': 5}
{'短评内容': ' 酒店房间可以但沐浴水温差', '短评打分': 3}
{'短评内容': '酒店环境还可以，就是前台的服务态度太差！', '短评打分': 1}
{'短评内容': '设施陈旧，卫生不好，网线有，但是网速为0。唯一的优点是价格不贵。', '短评打分': 1}
{'短评内容': '环境不好，旁边都是酒吧迪厅，太吵，房间设计陈旧，不卫生', '短评打分': 1}
{'短评内容': '设施是比较久一些~不过房间够大~卫生也不错~', '短评打分': 5}
{'短评内容': '这家是一分钱一分货，和乐山的海美伦酒店差太多了。\n设备陈旧，装修古老，几家酒店在一个楼层，有点乱，楼梯直通下面的大街。\n交通方便点，到岷山饭店打车，11块，也有直达火车南站的，27路车。\n楼下就是小吃街。', '短评打分': 5}
{'短评内容': '服务态度不好，我只是早上七点多到的酒店，前台服务员竟然对我说：以后不要这么早来，来早了没有房间。酒店有早餐是在酒店外面的一个小吃店里。不知道卫生不卫生？', '短评打分': 1}
{'短评内容': '房型不明确，写的大床、标间；订了也不知道定的是哪种', '短评打分': 1}
{'短评内容': '除了被子脏点，其他的卫生还可以。周边环境也很好，吃的也多。', '短评打分': 5}
{'短评内容': '早餐出去吃不说，还自己掏钱，虽然钱不多，让人觉得不安逸！其它一般', '短评打分': 1}
{'短评内容': '周围环境不错像购物呀，吃饭啊。很有选择性。然后还有我喜欢的府南夜景。和望江楼公园。都还好。只是晚上的话会比较吵，睡眠不好。', '短评打分': 5}
{'短评内容': '地理位置优越，在四川大学小北门附近，且价格适中，第一晚是128元，之后是118元一晚，特别是楼下有小吃一条街，十分方便。', '短评打分': 5}
{'短评内容': '地毯很脏,晚上很吵\n不过这个价位和地段,确实也不能抱怨.', '短评打分': 1}
