{'descr': '东佳瑞士酒店，你们欠我一个抱歉。终生难忘。', 'star': 3}
{'descr': '帮朋友订的。', 'star': 4}
{'descr': '环境很好', 'star': 5}
{'descr': '早餐还可以，每位29元，但房间水流太小，不能洗澡，有些遗憾。孩子来沈师考试，距离很近，十分方便，希望设施上进一步完善。', 'star': 5}
{'descr': '距离沈阳师范大学最近的，房间很宽敞，前台给预留了六楼相对安静的房间。早餐比较丰富，中央空调有制热模式。客房服务也非常热情。棒极了', 'star': 5}
{'descr': '离师范大学很近，服务很好，前台妹子很漂亮，下次去还是住那，这是大学门口的博物馆', 'star': 5}
{'descr': '没有服务态度，你问他问题就好像是你欠了他家几百万不还一样，退房前台只有一个人，等半小时', 'star': 2}
{'descr': '环境不错，服务到位', 'star': 5}
{'descr': '位置很好找，附近交通很便利。酒店设施完善，就是浴室的喷头不太好。其他的方面都很不错。', 'star': 5}
{'descr': '一次难忘的旅程', 'star': 5}
{'descr': '离沈阳师范大学很近，没有早餐不好', 'star': 4}
{'descr': '位置非常方便', 'star': 5}
{'descr': '值得推荐', 'star': 5}
{'descr': '不错呀！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '一般吧', 'star': 4}
{'descr': '好好好好好好好好好好好好好好好好好好好', 'star': 3}
{'descr': '酒店的早餐很棒，吃住都很舒服，下次一定在去。', 'star': 5}
{'descr': '感觉性价比很高，平常花200都是三星级的，这次多了50订四星级的酒店很划算，酒店很漂亮，室内陈设很好，算得上华丽，空间很大，最好的就是离沈师很近，旁边就是沈师大门，所以去沈师考试的话，强烈推荐！缺点就是周围没啥大店吃饭，全是小店怕不干净，酒店吃饭又比较贵。还有就是我们订的是标间，卫生间是半透明的，要是跟异性朋友去洗澡上厕所很尴尬。酒店提供的沐浴露洗发水都很精致，就是梳子质量很差，我直接梳断了', 'star': 5}
{'descr': '就是偏远点 想要买东西还要绕一大圈 旁边在修路 灰尘很多 离沈师很近 比较方便 里面装修挺好 空间挺大 性价比比较高 不过小花洒好像不好用 门上那个链子也没法用 ', 'star': 5}
{'descr': '酒店设施很新 服务态度不错 隔音效果差点 离考点很近 只是附近修路交通不便……', 'star': 5}
{'descr': '酒店很精致，服务不错，房间很干净，入住值得推荐', 'star': 5}
{'descr': '酒店软硬件都很好，就是个别住客素质差了点，半夜了还大喊大叫的。', 'star': 3}
{'descr': '酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦', 'star': 5}
{'descr': '酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦', 'star': 5}
{'descr': '还可以，比较干净', 'star': 3}
{'descr': '还可以，比较干净', 'star': 3}
{'descr': '新开的酒店，尝试入住了下，还不错，房间特别干净，这个价位，值！推荐!', 'star': 3}
{'descr': '第一次给的房间烟味比较重，前台热情地帮忙换了另外房间（两个窗户，通风较好），感觉清爽了很多。晚饭在酒店解决的，不能点菜，锅仔实在是很难吃！', 'star': 5}
{'descr': '第一次给的房间烟味比较重，前台热情地帮忙换了另外房间（两个窗户，通风较好），感觉清爽了很多。晚饭在酒店解决的，不能点菜，锅仔实在是很难吃！', 'star': 5}
