{'短评内容': '房间太差了，一进门就有一股味道，感觉被套枕头套都没换过，安排在靠近马路的房间非常吵根本睡不好，窗帘还是半截的，遮光一塌糊涂', '短评打分': 2}
{'短评内容': '早餐没吃不知道，一个人没要求加床，有停车', '短评打分': 5}
{'短评内容': '好好干哈好好可口可乐了看看', '短评打分': 5}
{'短评内容': '酒店卫生不错，周边环境也还不错，酒店服务好好，酒店设施也可以，好像是不能加床的。酒店位置也很好很方便，总之出差旅游都可以吧！', '短评打分': 5}
{'短评内容': '酒店卫生不错，周边环境也还不错，酒店服务好好，酒店设施也可以，好像是不能加床的。酒店位置也很好很方便，总之出差旅游都可以吧！', '短评打分': 5}
{'短评内容': '房间里面的水龙头流出来的竟然都是热水 没有自来水', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '地理位置不错，晚上不出去可以叫外卖，有个很不错的桌子可以用，电视不是网络电视，楼下不能开票，就因为是网上订嘛，还好艺龙给开票', '短评打分': 5}
{'短评内容': '让人人风风光光恍恍惚惚', '短评打分': 5}
{'短评内容': '倱混蛋了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '停电两次，爬到5楼，酒店也没任何安慰和温馨的做法，希望下次改进。', '短评打分': 4}
{'短评内容': '很好…', '短评打分': 5}
{'短评内容': '不错………………', '短评打分': 5}
{'短评内容': '环境位置都不错', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '酒店在装修，房间是很大，就是设施太假。酒店前台收不到携程的预订信息，让我在正在装修厅里面待了15分钟，身份证握在服务员手里面，问我叫什么名。', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '周边很多吃的，房间很安静，前台服务也很周到…', '短评打分': 5}
{'短评内容': '热情，干净', '短评打分': 4}
{'短评内容': '隔音效果有点差，其余还可以', '短评打分': 5}
