{'短评内容': '地方很繁华 很不错', '短评打分': 5}
{'短评内容': '啥都好，就是电视频道太少遥控器还是坏的，其他都满分', '短评打分': 5}
{'短评内容': '05工号服务好', '短评打分': 5}
{'短评内容': '可以可以', '短评打分': 4}
{'短评内容': '早餐很好！位置很好！', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '酒店设施很齐全，环境很好，交通很便利', '短评打分': 5}
{'短评内容': '地点非常好 交通便捷', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '真的很好很好', '短评打分': 5}
{'短评内容': '环境卫生可以.方便快捷.环境卫生可以.方便快捷.环境卫生可以.方便快捷.环境卫生可以.方便快捷.好好', '短评打分': 5}
{'短评内容': '谈不上有多好！！！！', '短评打分': 5}
{'短评内容': '干净卫生，价格优惠！好！', '短评打分': 5}
{'短评内容': '环境和态度都挺好的，就是住在电梯旁，听了一晚的噪音', '短评打分': 4}
{'短评内容': '周围有大超市，比较方便，早餐简单，电梯上下人比较杂', '短评打分': 5}
{'短评内容': '不错，很好，位置佳，出行方便！！！', '短评打分': 5}
{'短评内容': '几乎每个月出差都要到下沙，都是住这家，wifi信号比较弱，冬天洗澡水温有点低，其他还可以', '短评打分': 4}
{'短评内容': '还挺好的', '短评打分': 5}
{'短评内容': '总体还可以。就是房间里面缺少打扫。有蜘蛛网', '短评打分': 5}
{'短评内容': '差到极点，什么破酒店，还不如如家', '短评打分': 1}
{'短评内容': '我最喜欢的酒店之一了', '短评打分': 5}
