{'短评内容': '还可以，性价比强，就是天花有个角落发潮发霉。', '短评打分': 3}
{'短评内容': '酒店各方面还行，就是空调开起来有响声。', '短评打分': 4}
{'短评内容': '物有所值！性价比还不错。', '短评打分': 4}
{'短评内容': '还可以，物有所值！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不是特别适合带孩子，因为二楼是个会所来的，感觉有点乱', '短评打分': 4}
{'短评内容': '，', '短评打分': 5}
{'短评内容': '\u3000\u3000\u3000 ＿＿＿\n\u3000\u3000 ／\u3000\u3000\u3000▲\n／￣\u3000 ヽ\u3000■■\n●\u3000\u3000\u3000\u3000\u3000■■\nヽ＿＿＿\u3000\u3000■■\n\u3000\u3000\u3000\u3000）＝｜\n\u3000\u3000\u3000／\u3000｜｜\n\u3000&cap;&cap;＿＿とﾉ\n\u3000しし&mdash;&mdash;&mdash;┘', '短评打分': 5}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '好好好好好好还好还好哈', '短评打分': 5}
{'短评内容': '整体可以，服务不错，实惠型', '短评打分': 5}
{'短评内容': '性价比较高。', '短评打分': 4}
{'短评内容': '整体一般', '短评打分': 4}
{'短评内容': '一切尽在不言中，在携程订的房说国庆涨价要补钱，我就呵呵了，与我第二天住的酒店态度行程鲜明对比，不过携程还是值得信赖啦', '短评打分': 3}
{'短评内容': '价格很便宜，所以要求也那样', '短评打分': 3}
{'短评内容': '蛮不错的，就是他们刷卡要手续费，我表示很不舒服。', '短评打分': 5}
{'短评内容': '酒店很干净，交通也方便，挺好的', '短评打分': 3}
{'短评内容': '还好,交通还算方便,不过 介位觉的有点点高了                                ', '短评打分': 5}
{'短评内容': '在梅州梅江区周边，这间算是正规中较实惠的。98元单人房如果到店是要118的。不好的就是墙壁等地方不够干净，有点令人不舒服。', '短评打分': 5}
{'短评内容': '觉得不错啦，挺干净的，不过纸巾没有准备好，只用一点点就没了，如果有衣柜就好啦，住四五天的自己洗了衣服没地方挂啊！还有店里柜台不错啊！', '短评打分': 3}
{'短评内容': '很实惠，交通也方便。我是住二楼，房间有股不好闻的味道（不是新装修的味道），很浓。房间装修有些旧', '短评打分': 5}
{'短评内容': '夜晚的服务员很漂亮。但是酒店就一般。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '還可以吧……就是偏僻了點…而且不會客家話比較麻煩\nGhost Leung', '短评打分': 3}
{'短评内容': '装修不错，环境也不错。周边吃东西的地方少了些。还有便是可能刚装修还有些味道。', '短评打分': 3}
{'短评内容': '住宿环境整体来说不错（就那个价位来讲），房间比较宽敞，网速也不错。服务还是很好地，我离店时打印机坏掉了，发票没打出来，前台答应给我邮寄到公司，我还没到公司，发票就到了。说到办到，很靠谱。推荐。', '短评打分': 5}
{'短评内容': '不错，服务态度还好，就是外面找不到吃的，下次再住，再找找', '短评打分': 5}
{'短评内容': '还不错，性价比很高，下次还光临。', '短评打分': 3}
{'短评内容': '实惠、干净、整洁、舒适，下次还会去，会介绍朋友去', '短评打分': 3}
{'短评内容': '价格合理，光钎网速很快，国内长途也免费，性价高', '短评打分': 5}
{'短评内容': '酒店整体还行，价格便宜，服务还挺好的，朋友们可以做个参考', '短评打分': 5}
{'短评内容': '要求不高的还过得去，就是热水时冷时热，有点不好。', '短评打分': 5}
{'短评内容': '房间潮的要死，被子都感觉湿漉漉的。', '短评打分': 3}
{'短评内容': '感觉很好,房间卫生又大.又安静,交通方便,会介绍给朋友去住,', '短评打分': 5}
{'短评内容': '房间干净，大，舒服，以后还会住，也会介绍朋友去住，', '短评打分': 5}
