{'短评内容': '环境很好，也很舒适！', '短评打分': 5}
{'短评内容': '酒店位于市中心、交通十分方便、又是商業區、飲食購物中心、酒店前台工作人員態度熱情、積極幫助解決問題！', '短评打分': 4}
{'短评内容': '我每次出差都住这儿，很舒适又方便', '短评打分': 5}
{'短评内容': '早餐在9点就急着结束，房间的喷的清洁剂味道真在是太浓，鼻子眼晴都不舒服，房间镜面装修太多，不喜欢。优点是离延边大学好近，出门左转就到。', '短评打分': 3}
{'短评内容': '住的很舒服', '短评打分': 5}
{'短评内容': '真心的，住的挺舒服！早餐更不错', '短评打分': 5}
{'短评内容': '东东不错，有活动，住这还是很不错的，下次住还会选的地方', '短评打分': 5}
{'短评内容': '第N次入住乾元酒店了，这次选择京东订的，服务还是挺好的，现在还没有离开！大床标间，中间换了次房，屋内电动窗帘，布局合理，装修是用了心思的，灯是笼子样式的。价格适中，唯一的镜子对着床，有的地方风俗不好吧', '短评打分': 5}
{'短评内容': '还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行', '短评打分': 5}
{'短评内容': '朋友说挺好的，两张床，一张1.8米一张1.2米的样子，够住三人。', '短评打分': 5}
{'短评内容': '很不错，没得说', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店地理位置比较好，离火车站和飞机场都很近，服务态度较好，早餐简单但也不错，设施陈旧了一点，隔音效果不好。', '短评打分': 5}
{'短评内容': '多改善下', '短评打分': 4}
{'短评内容': '一切都还满意 还满意 还满意 还满意 还满意', '短评打分': 5}
{'短评内容': '环境服务都好', '短评打分': 3}
{'短评内容': 'Furnishing in room was very old, no English speaking staff.  Wasnt the cleanest hotel. ', '短评打分': 3}
{'短评内容': '价格便宜，交通方便，环境好。', '短评打分': 3}
{'短评内容': '很不错，自助早餐也很好，值得推荐的一家酒店', '短评打分': 5}
{'短评内容': '酒店有点旧，不是都能上网，达不到四星，早餐不丰富，品种太少', '短评打分': 1}
{'短评内容': '酒店很新 干净宜人 早餐丰富 服务很好 交通方便（我们是开车过去的）设施不错 下次还住\n', '短评打分': 5}
{'短评内容': '位置不错 服务热情 早餐也可以 设施干净  下次还来', '短评打分': 5}
{'短评内容': '很一般的酒店，早餐倒是还可以，但是没有西餐！房间和设施有些陈旧，信用卡结账也是问题多多！', '短评打分': 5}
{'短评内容': '酒店位置好 服务周到 早餐也不错  值得推荐！', '短评打分': 5}
{'短评内容': '设施有点陈旧，但总体还不错。', '短评打分': 3}
{'短评内容': '市中心，标准房间装修旧了点，但是住着还算舒服，餐厅还可以。', '短评打分': 5}
{'短评内容': '设备太旧,服务态度还好', '短评打分': 3}
{'短评内容': '房间太小，设施老旧，服务不够周全，地理位置不错。', '短评打分': 1}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '酒店位置还可以，周边有个公园，环境很好，停车也很方便，服务还可以很周到，卫生条件也不错，住宿环境很不错', '短评打分': 5}
{'短评内容': '酒店还可以位置相对还是不错，房间也还行，毕竟城市不大在当地也算是比较不错的酒店，和酒店的设施比起来价格相对还是高些。', '短评打分': 5}
{'短评内容': '比较陈旧，屋内设施一般，有点类似朝鲜羊角岛大酒店', '短评打分': 5}
{'短评内容': '交通便利，位置也不错，但房间比较小，而且早餐8点半就结束，太早了。', '短评打分': 5}
{'短评内容': '酒店性价比还可以，服务很不错，有什么事找她们，都是随叫随到的，性价比也很高', '短评打分': 5}
{'短评内容': '酒店基本上还可以，设施一般，交通还可以，服务也还行。', '短评打分': 5}
{'短评内容': '早餐很好，种类多，口味好，服务还可以，卫生条件也很好，很干净，硬件设施齐全，比较满意的酒店', '短评打分': 5}
{'短评内容': '酒店附近交通方便，价格实惠，服务周到，性价比很好', '短评打分': 5}
{'短评内容': '服务还可以，房间装修的比较简约，硬件设施比较齐全，采光还是不错的，酒店位置不错，距离市中心开车10到15分钟，出行很方便', '短评打分': 5}
{'短评内容': '价格比想象的便宜，位置不错，距离市中心很近，距延边大学很近。', '短评打分': 5}
{'短评内容': '环境很好，下次还会定。', '短评打分': 5}
{'短评内容': '房间内的设施已经很陈旧了，个人觉得对不起这个价格，下次不会在考虑', '短评打分': 1}
{'短评内容': '总体状况还不错。', '短评打分': 5}
{'短评内容': '酒店位置不错，离哪都挺近的，交通还比较便利。', '短评打分': 5}
{'短评内容': '位置还行，服务也挺热情的，卫生打扫也比较干净，住的还比较满意。', '短评打分': 5}
{'短评内容': '我觉得酒店的服务卫生方面还是不错的，设施方面一般点，整体感觉还不错。', '短评打分': 5}
{'短评内容': '感觉酒店就是一般民房改造的，房间里的硬件设施，房间小，服务都很一般，位置还算可以。', '短评打分': 1}
