{'短评内容': '酒店很不错。', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 4}
{'短评内容': '服务很到好，每天都有水果赠送，停车场也很大，早餐品种丰富。', '短评打分': 5}
{'短评内容': '非常棒的一次出差，酒店很干净', '短评打分': 5}
{'短评内容': '价格便宜，性价比高。', '短评打分': 5}
{'短评内容': '酒店还可以，服务态度比较好。', '短评打分': 4}
{'短评内容': '愁人！愁人！仇！', '短评打分': 5}
{'短评内容': '111-1111', '短评打分': 5}
{'短评内容': '价格便宜，环境好。', '短评打分': 5}
{'短评内容': '价格便宜，环境好。', '短评打分': 5}
{'短评内容': '服务很好 房间也很干净 客房阿姨还会送果盘和礼物', '短评打分': 5}
{'短评内容': '蛮好 性价比高 早饭没有西式', '短评打分': 5}
{'短评内容': '整体不错', '短评打分': 5}
{'短评内容': '房间设施还可以，整体不错', '短评打分': 5}
{'短评内容': '物美价值，不错', '短评打分': 5}
{'短评内容': '房间干净、服务态度好。希望下次再住宿。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐去吃的时候已经凉了，退房等的时间有点长', '短评打分': 4}
{'短评内容': '还不错，人好多呀，早餐一般，要早去吃，晚点了没什么可吃。', '短评打分': 5}
{'短评内容': '帮客人预订的', '短评打分': 4}
{'短评内容': '很好     性价比很高    挂牌4星级酒店', '短评打分': 5}
{'短评内容': ' 酒店性价比高,就是位置有点偏', '短评打分': 3}
{'短评内容': '酒店性价比高,就是位置有点偏', '短评打分': 3}
{'短评内容': '酒店设施不错,服务良好,但位置偏僻', '短评打分': 3}
{'短评内容': '位置有点远，环境可以，餐厅性价比不高，服务尚可。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境可以，酒店服务较好，还会入住.。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '潍坊钧翰国际大酒店服务极差，奉劝朋友们不要去住。', '短评打分': 3}
{'短评内容': '酒店不错，环境，服务都挺到位。', '短评打分': 3}
{'短评内容': '房间挺干净，就是有点小，隔音也不好', '短评打分': 3}
{'短评内容': '还可以的酒店，不足就是前台服务过冷，洗澡水温度不够，前台结账太慢，其他一切还可以！', '短评打分': 3}
{'短评内容': '虽然价格有点高，但是环境卫生服务质量都不错，再便宜一点就更好了', '短评打分': 5}
{'短评内容': '还不错哦。。规模很大就是附近比较荒凉点，其他设施服务等都不错', '短评打分': 5}
{'短评内容': '不错可是为什么房间没有点餐菜单', '短评打分': 3}
{'短评内容': '不错酒店就是中午12点退房有点不人性化，饭没吃好就得赶紧回来退房', '短评打分': 3}
{'短评内容': '还是很给力的，空调很暖和，除了房间门隔音效果几近于无。。。', '短评打分': 5}
{'短评内容': '酒店硬件不错，停车场够大，总体情况很好，顶一下。', '短评打分': 5}
{'短评内容': '房间很大，设施也很好，不过预定里没有早餐，另外付了30块钱吃早餐，早餐味道很不错。', '短评打分': 5}
{'短评内容': '酒店服务态度不错，环境也很好，就是地处郊区，酒店门前没有车，很不方便。硬件设施还有待完善', '短评打分': 3}
{'短评内容': '房间不错，宽带网速也快，安静舒适，推荐下。', '短评打分': 5}
{'短评内容': '酒店硬件设施不错', '短评打分': 3}
{'短评内容': '很好也很干净，性价比高', '短评打分': 3}
{'短评内容': '酒店环境很好，价格很便宜，有早餐就完美了 ', '短评打分': 5}
{'短评内容': '不错。性价比超高。硬件软件都不错。如含早餐，会更受欢迎。', '短评打分': 5}
{'短评内容': '酒店除了地方比较偏，吃饭的地方没有，只能在酒店里面吃，其他都还好，附近有超市，酒店后面有一间火烧店，很棒，是服务员介绍我们去的，价格实惠，还好吃，酒店设施完备，服务好，是自认为选择的最不错的一家，如果以后还去那边的话，还会来的。', '短评打分': 5}
{'短评内容': '不错，住宿条件很好，就是屋子里没有大灯，还有押金贵了点', '短评打分': 5}
{'短评内容': '酒店不错吧！', '短评打分': 3}
{'短评内容': '酒店设施很好,离市中心稍远一点,对于自驾游的人来说,性价比上高,应该算是首选了.特别想强调的是:该酒店的服务态度很好.', '短评打分': 5}
{'短评内容': '性价比很高。价格便宜，硬件不错，值得一住！', '短评打分': 5}
{'短评内容': '酒店硬件设施比较优秀，不过服务人员的专业素质还应该再提高些，这样会匹配。', '短评打分': 5}
{'短评内容': '硬件不错。前台业务不够熟练。服务员态度普遍热情。由于装修较新，走廊气味比较大，房间内还可以。', '短评打分': 5}
{'短评内容': '再潍坊新区，非常好的酒店~很便宜！跟市区的400多的一样', '短评打分': 5}
{'短评内容': '很新的酒店，性价比很高~价格便宜！虽然不在市区，在新区，但是绝对推荐！!', '短评打分': 5}
{'短评内容': '很新的酒店，性价比很高~价格便宜！虽然不在市区，在新区，但是绝对推荐！', '短评打分': 5}
{'短评内容': '酒店环境很好，就是出租车少。', '短评打分': 3}
{'短评内容': '酒店性价比超值，', '短评打分': 3}
