{'短评内容': '不错不错，挺好的', '短评打分': 5}
{'短评内容': '好几年没有入住该酒店了，以前在当地算是个不错的酒店，入住率和人气都很高！如今很萧条，原因可能有两点：第一硬件配置老久，还是十年前的东西，房间内一股霉味，空调异响晚上只能关闭才能入睡，可外面是高温37℃以上呀！第二是酒店的饭店在装修，桌椅以及灶具都堆放在地下车库，还好入住率不高，晚上才停了近七八辆的车，外面坑坑洼洼，尘土飞扬，特别是大清早六点多就开工了，一早大就被吵醒，建议至少在装修期间不要入住！', '短评打分': 3}
{'短评内容': '总体还好，出行方便。设施稍微有点旧。', '短评打分': 4}
{'短评内容': '没有见过这么差的酒店，洗澡洗到一半发现没有沐浴露，卫生间台子跟没打扫一样，都是积灰，家具十分老旧，空调声音响个不听，只能等房间凉下来才能关空调睡觉。楼下前台服务特别差，没见过这种员工，去之前打电话问一下说没有订单，直接说在哪个网订的就去找哪儿，然后挂断电话，房间出现这么多问题找她也不管，歧视网上订的，把房费提前交了就没啥事儿了对吧，硬件不过关，服务还这么垃圾，还有人敢来吗……', '短评打分': 1}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很好的酒店非常满意', '短评打分': 5}
{'短评内容': '性价比不错，设施有点旧了，换了台灯才亮了。离景点近。', '短评打分': 5}
{'短评内容': '地下车库上电梯提示无灯光!', '短评打分': 4}
{'短评内容': '干净舒适，地点好。菜肴味道不错', '短评打分': 5}
{'短评内容': '总体说还行', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错，态度蛮好的', '短评打分': 5}
{'短评内容': '早餐不错，房间也很整洁，就在水绘园周边，总体而言非常不错。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '位置便利，环境适宜，值得入住！', '短评打分': 5}
{'短评内容': '房间老了，早餐有点差，位置还好', '短评打分': 3}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '小旅馆，床小，卫生感觉不够。下次不会入住。', '短评打分': 1}
{'短评内容': '还算温馨，就是洗脸盘下水道不怎么好用。离水绘园就一桥之隔。', '短评打分': 5}
{'短评内容': '这家酒店我已经住过多次，交通方便，有地下停车场，周围还有很多类型的饭店。在这个价位我觉得是不错的。就是前台的服务态度一般。', '短评打分': 5}
{'短评内容': '已改住两夜', '短评打分': 3}
{'短评内容': '房间还算比较大,早餐还算不错,种类比较多,床也是比较舒服的。', '短评打分': 3}
{'短评内容': '安静干净，离汽车站也近，长途可以免费打，出门打车略有点难，早餐可口。酒店在水绘园风景区附近，空气新鲜，', '短评打分': 5}
{'短评内容': '不错的酒店，周到的服务，还可以免费拨打国内长途。', '短评打分': 5}
{'短评内容': '酒店装修还不错，周边环境较好，靠近公园,早餐一般', '短评打分': 5}
{'短评内容': '一直住这里，长途可以免费打，早餐太简单，不过在如皋也就这样了', '短评打分': 5}
{'短评内容': '酒店还可以，所处位置比较安静，前台的服务态度挺好', '短评打分': 5}
{'短评内容': '硬件设施都很好，比较满意。晚上8:30到酒店，但酒店的餐饮不接待客人了，说是厨师下班了，需要再延长服务时间', '短评打分': 5}
{'短评内容': '不错的酒店，各方面都挺好，免费长途很不错', '短评打分': 5}
{'短评内容': '设施老旧，房间小，位置还算不错。房间内发现虫子。', '短评打分': 3}
{'短评内容': '2面紧靠主干道马路，狂吵。凌晨入住的豪华套房，办理入住服务员态度差，所谓豪华套房就是多一个客厅，屋内实施破旧，被褥等感觉又旧又潮。', '短评打分': 1}
{'短评内容': ' 总体还不错，安静干净，离汽车站也近，下次来还住这里！', '短评打分': 3}
{'短评内容': '竟然给了我两个不能上网的房间，又调整，真是麻烦啊，\n早餐也太简单。', '短评打分': 1}
{'短评内容': '设施还行，就是酒店有点小，大堂不够气派，价格适中', '短评打分': 5}
{'短评内容': '给同事订的，还可以吧，下次来会介绍朋友来这里的。', '短评打分': 5}
{'短评内容': '价格还可以，住宿也不错。出行也很方便。在这样一个小城市，价格再便宜些就更好了。', '短评打分': 5}
{'短评内容': '酒店外观一般不够气派.房间装修还可以.早餐简单还算可口.以后去应该还会选择.', '短评打分': 5}
{'短评内容': '在如皋这种小地方来说还算是不错的了，早餐较差。', '短评打分': 5}
{'短评内容': ' 酒店整体还行，出门打车略有点难，退房速度一般，在如皋这个地方也说的过去了。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店还说的过去，价位还行，遗憾的是地理位置略显偏远，打车有一定难度。', '短评打分': 5}
{'短评内容': '很不错，四星级标准，性价比好，安静，感觉住着比南通的都好', '短评打分': 3}
{'短评内容': '还不错的酒店，同等城市相比较，性价比优。', '短评打分': 5}
{'短评内容': '酒店地理位置还行，但是打车稍微有点困难。 房间很好，也干净的。', '短评打分': 5}
{'短评内容': '很好很好很好很好 很好 很好。价格也便宜、', '短评打分': 5}
{'短评内容': '酒店距离市区比较近，靠近高速，周边出行方便，酒店房间大小合适，隔音效果很好，装修的很现代，住宿条件很好', '短评打分': 5}
{'短评内容': '性价比较高的酒店，房间硬件配备齐全，可以上网，很方便，每天都会送报纸水果到房间，感觉服务很到位，酒店位置不错，离高速很近，交通方便', '短评打分': 5}
{'短评内容': '酒店餐饮不错，品种多。口味好，房间硬件齐全，也可以上网，服务很到位，卫生不错，酒店位置不是很偏，出行也方便', '短评打分': 5}
{'短评内容': '对比相应价位的比较值，网络很顺畅，毕竟是小县城啊', '短评打分': 3}
{'短评内容': '房间很好，就是退房时候比较麻烦，账单过于繁琐。', '短评打分': 5}
{'短评内容': '入住这家酒店感觉舒适度很好，酒店在水绘园风景区附近，交通比较便利，房间卫生条件很好，干净整洁，住宿环境很不错', '短评打分': 5}
