{'descr': '还可以，就是有蚊子', 'star': 5}
{'descr': '空调声音太大', 'star': 5}
{'descr': '房间干净宽敞，价格又不贵，紧邻中央大街，非常方便', 'star': 5}
{'descr': '真的不错这个地方', 'star': 5}
{'descr': '宽敞，舒适，服务很周到', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '刚进房间，挺干净的', 'star': 5}
{'descr': '前台服务很好 别的自己体会吧。？？', 'star': 5}
{'descr': '一般般', 'star': 3}
{'descr': '价格入住156元 是我住过全东北150元到200元这个价格最垃圾的宾馆 房间老旧不说 窗户不好使 门反复关了N次才关上 还特么使用密码锁进入房间 上楼了开了几次密码才好使 没有热水 房间还不隔音 必须差评 服务态度还一般 从今往后绝对不会入住禧龙的任何一家连锁宾馆 简直差到极点', 'star': 2}
{'descr': '略微简陋', 'star': 3}
{'descr': '房间小，跟其他店不一样！', 'star': 3}
{'descr': '所有房间的门锁都不太安全 感觉 使劲点就能开了', 'star': 3}
{'descr': '环境一般，设施老旧，位置还行。离中央大街近。', 'star': 3}
{'descr': '还可以，改装修了', 'star': 3}
{'descr': '住过的最差经济型酒店，为什么差，差在哪：1、前台办理入住，服务人员说话只顾自己低头看电脑，都不正眼看客人的；2、下午3点钟办理入住告知没有房间出来，请在大堂等待3、由于第二天上车时间晚申请延时退房，被强硬告知11点45是退房时间（12点退房不是国际惯例吗？被告知因为还要查房！呵呵，当我们是傻子吗，查房那是你的事，关客人何事？？）4、既然贵店12点准时退房，为何我15点来入住却没有干净房？做房3小时', 'star': 1}
{'descr': '这家酒家还算不错的，住的舒服，环境也干净清爽。', 'star': 5}
{'descr': '还不错,房间小了点,还没有窗户', 'star': 3}
{'descr': '热水很方便，就是床不是很舒服', 'star': 3}
{'descr': '隔音特别差，早上一大早就被各种杂音吵醒，设备老化，电视机还是大屁股的，空调杂音也特别大，还不暖，这里真不咋的。', 'star': 1}
{'descr': '酒店虽然离中央大街很近，但已到了街尾，最关键的是酒店的设施坏的比较多，服务员态度生硬，对顾客的要求不理不睬，一副爱住不住的样子。酒店还不提供存行李的服务。', 'star': 1}
{'descr': '不知道是不是那里的标准就是这样，前台态度极差，那也就算了，这个价格我们不要求服务，开始说能不能刷卡，他说结账的时候可以，第三天结账，又说太早了，不能刷卡，那也就算了，房间也真心不灵，该下水的地方不下水，维修还等半天，床单看上去都脏的，但是他们一口咬定是换过的，自己拿了床单自己换！总之真的很差', 'star': 1}
{'descr': '服务十分差 本身有早餐也没有给 连一次性拖鞋都没有', 'star': 3}
{'descr': '硬件条件还好，房间环境也不错，就是晚上太冷了，而且我们三人住的是家庭房但只有两双拖鞋，酒店管理说只供两双，这是什么原因？', 'star': 5}
{'descr': '酒店不能刷卡，没有叫醒服务，说是锅炉坏了，两天没热水，暖气片一点都不热，空调开30℃也没热量（可能和天气还冷有关），除了地理位置别的是没有一点可取的了。', 'star': 1}
{'descr': '对于商务酒店来说硬件条件还是不错的。就是洗澡间里的水无法及时排出导致地上和水塘一样，若能改进就很好了。', 'star': 5}
{'descr': '＋房间太潮了  没有空调 冷呀', 'star': 3}
{'descr': '环境一般…就是早餐实在不怎样', 'star': 3}
{'descr': '酒店地理位置很好，在中央大街入口处不远（不是防洪纪念塔的入口）。卫生不是很好，最好自带毛巾，被褥不是很干净。暖气不热，想用空调热风，要找服务员来调，而且温度不给调高。电脑只是摆设，有液晶电视，效果还可以，频道很多。建议春秋季入住！', 'star': 1}
{'descr': '房间感觉还是不错的，交通比较方便，就是晚上睡觉稍微有些冷', 'star': 5}
{'descr': '很干净  很舒适  地理位置很好  就在中央大街附近 两分钟就到了中央大街  很满意', 'star': 5}
{'descr': '各方面设施不是很好,卫生间下水有问题,居然没有电吹风.', 'star': 1}
{'descr': '整体感觉还可以，就是窗户有点漏风！', 'star': 3}
{'descr': '圆床非常小没法睡，后来换的标准双人间，条件太差了！！', 'star': 1}
{'descr': ' 相当不满意！床单破了不说，脏到不行！恶心死了！188就这水准', 'star': 3}
{'descr': '服务态度具烂，前台牛B哄哄的，就好想谁欠她钱一样，问话一点儿都不耐烦，要的圆床房还给的三人房，我跟我媳妇去我住什么三人房，我还得找个小三儿呗？屋子还特冷，空调也不给用，电视不是数字的也就算了，还带着小雪花，我去小雪花。电视线还得我自己插上。收拾房间的更猛，我说床单儿脏，还说就那样的，洗不掉了，床单儿还带小水圈儿的，黑的，黄的都有，还挺全。怎么说呢，就一个字儿，差！具差！无限差！就这地儿，哥再也不去', 'star': 1}
{'descr': '没法上网，其他都不错，环境也还行。这边房间爆满，需要提前预定，到达的时候也要等到房间打扫好了才能入住。不过家庭房小床也挺大的，床很舒服。', 'star': 5}
{'descr': '环境和位置都相当不错，价格也还可以。\n缺点是进房间输密码的门锁我住的几天一开始是坏的，每次都要叫人来开门，感觉很麻烦，也觉得有点不安全，服务员开门时也不查证件，好像任何人都可以叫开门。\n另外早餐很一般，应该是酒店自己配的，不过能吃饱，就够了吧。', 'star': 5}
{'descr': '住了三天 第二天的早上没有热水 其他的都还行', 'star': 5}
{'descr': '入住了，赶上圣诞房价上涨，贵了', 'star': 3}
{'descr': '房间很暗也就算了 可是他们枕头里的异味实在令人作呕', 'star': 1}
{'descr': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '环境温馨', 'star': 3}
{'descr': '酒店环境很不错，舒适、干净，价格也比较实惠，性价比很高，内部有餐厅，靠近上海电力学院，交通也不错，靠近五角场商业圈，总体不错', 'star': 5}
{'descr': '不错，干净，安静！', 'star': 3}
{'descr': '不错，干净卫生，性价比还蛮高的，本身也是朋友推荐的，还不错。', 'star': 5}
{'descr': '还不错，干净，服务也还蛮好的。本来也是朋友推荐的，在这个时间性价比比较高。', 'star': 5}
{'descr': '电脑没有主机，卫生不是很好，卫生间还有之前没有清理干净的头发，毛巾浴巾过旧，感觉不是很好', 'star': 1}
{'descr': '很不错的', 'star': 3}
{'descr': '除了隔音有点差，其他还不错，价格还行，交通方便。', 'star': 5}
{'descr': '除了有隔音效果差的缺点之外，别的服务还可以', 'star': 5}
{'descr': '基本满意，就是房间窗户小了点。另外，建议在浴室内加个防滑垫，房间地面最好不铺地毯，整体卫生状况还有待提高。', 'star': 5}
{'descr': '还可以。主要就是房间太闷，味道太重，在里面的休息质量不好。', 'star': 5}
{'descr': '还行，就是房间小，没有窗户，为什么要说20字呢？', 'star': 5}
{'descr': '地點不方便, 房間衛生差, 房間通風不好, 其他相同價位的酒店選擇有很多', 'star': 1}
{'descr': '＋酒店装修很温馨，地理位置好，出游方便，很适合旅游入住，圆床很新颖浪漫，期待下次入住', 'star': 3}
{'descr': '晚上到此宾馆打算住了2天，亲身所碰到和所看到的不尽人意，网上预定了2间住房，到了之后钱准备入住，发现一间门锁打不开，几经联系才知道得由服务员来开门（磁卡不能用），想换房间，得知这里基本上门锁都得由服务员来开，进房后，发现有一间内味道好重，是一种酒后呕吐过的味道，再次到楼下服务台要求换一间房，此时服务台多了一个 男的，直接回答没有房间，我们说了那房间味道难受又太重，实在不能入住，如果实在没房，那我们', 'star': 1}
{'descr': '地段不错，但是宾馆服务和硬件较差，水不热，床单有印迹，看上去没洗干净。隔音效果差。早饭简陋。', 'star': 1}
{'descr': '酒店服务尚可。', 'star': 3}
{'descr': '挺好的．离中央大街太近了，附近还有通江店', 'star': 3}
{'descr': '性价比很高的酒店。较大的房间、双人间舒适的大床、近距离到中央大街等硬件优势强烈。如果增加前台服务人员的服务水平等软件能力，将更加有竞争力。', 'star': 5}
{'descr': '超烂的宾馆，前台服务差，换了2个房间都是门锁坏的（开门要叫服务员的，自己用房卡是开不了门的），房间潮湿，不暖和，地毯特脏，飘窗还有积水，整个宾馆一股霉味，是住过的最差的宾馆！', 'star': 1}
{'descr': '酒店不错 早上还有早餐 离中央大街非常近 去冰雪大世界回来入住非常方便 酒店里的设施齐全 屋内还有一个小冰箱 双人标准间床挺大的 是两个双人床 整体感觉不错 入住的很舒心 推荐·········', 'star': 5}
{'descr': '服务好', 'star': 3}
{'descr': '房间较小  光线较暗  比较干净', 'star': 3}
{'descr': '有点味道 其他的都还不错\n\n\n可以免费上网 \n\n不过 十二点之后\n\n网速 跟牛一样慢\n\n这酒店离车站有一段距离 \n觉得有些远', 'star': 5}
{'descr': '地利位置稍微有点偏，设施还可以，比较经济实惠，适合入住', 'star': 5}
{'descr': '去了以后发现床不是很舒服，早餐太差了!还不如不给。卫生间倒是很不错!服务态度还是很好的。综合评价是:服务上乘，硬件太差，望其改进!', 'star': 1}
{'descr': '房间不错，只是卫生差点，我入住进去后，还有内裤在衣架上，也不知道是客服服务疏忽还是......电视频道少，其他还是不错的', 'star': 5}
{'descr': '灰常灰常灰常灰常灰常灰常灰常舒适，就是早餐有点尴尬。', 'star': 5}
{'descr': '位置有点偏  但卫生还不错  里面的装饰感觉还不错   我住的那间房好像门有点问题', 'star': 5}
{'descr': '酒店卫生较差 服务态度极其恶劣 续住房要求换床单遭到拒绝 打扫卫生的小个女人态度极差 说是三天换一次床单 到扫卫生地上都未清扫 让我很失望', 'star': 1}
{'descr': '好', 'star': 3}
{'descr': '酒店性价比高,交通还可以,就是房间有下水道的味。', 'star': 3}
{'descr': '还是不错的，就是地方有点偏，但是三人间在上海难找啊，哈哈', 'star': 5}
{'descr': '酒店安全卫生,房间也不错,以后还是准备要选择住.', 'star': 5}
{'descr': '总体感觉还是可以的。\n入住时比较晚，发现没有网线，网管已经下班，告诉总台后，派保安到别的空房间里调过来。', 'star': 5}
{'descr': '+干净交通方便', 'star': 5}
{'descr': '房间比预想的要好，在上海这种价位已经不错了，值得推荐！', 'star': 5}
{'descr': '长阳路那里在修路，交通就不方便了，难打车；前台很热情；无窗房还行，就是不够通气，有窗的话会通气些，好一些；开始开的一间房网线是坏的，酒店还是比较积极地给我们换房了；大厅有世博的志愿者问询的；总体来说无功无过，还行吧。', 'star': 5}
{'descr': '不错，世博期间，对得起这个价格，非常干净，交通还算便利。就是空调的声音有点响，希望改进！', 'star': 3}
{'descr': '住的是大床房，感觉很干净！也还挺舒服，就是空调声音有点响，交通还算方便，去外滩和世博都挺快', 'star': 5}
{'descr': '总体感觉还可以，但无窗房一定要有良好的通风设备，这样才能让客人住的舒适。', 'star': 5}
