{'短评内容': '#ud83d#ude0a#ud83d#ude0a房间大，位置佳，服务好，', '短评打分': 4}
{'短评内容': '软硬件条件都不错，出行也很方便，', '短评打分': 4}
{'短评内容': '位置很好，周边超市小吃饭店都有，出行也方便。酒店房间大，无线网络很给力，在嘉峪关经常住的就是这个酒店。', '短评打分': 4}
{'短评内容': '酒店位置不错，市中心，边上就有超市，门口可停车你', '短评打分': 5}
{'短评内容': '价格不高，房间不错，周边环境好，超市，小吃齐全。', '短评打分': 4}
{'短评内容': '好！卫生好！服务好！', '短评打分': 5}
{'短评内容': '本来订的是另外一家酒店，不过导航上根本就不显示那家酒店，转了好几个弯也没找到。这家酒店算是误打误撞吧，就来了。为什么是误打误撞呢，因为这家酒店交通特便利，停车很方便，而且购物办事都特别便利，房价贴心，服务好，住的舒心！', '短评打分': 5}
{'短评内容': '花的商务标间的钱，住的是没电脑没窗户的拐子房！欺负老人不懂投诉么？差评差评差评！酒店地理位置确实还不错，吃东西方便，但挂羊头卖狗肉让老人很不爽！专门订商务房，就是为了让老妈把摄像机的内存导出来，现在还要去找网吧！', '短评打分': 2}
{'短评内容': '还可以吧。。。', '短评打分': 3}
{'短评内容': '还可以，值得一住', '短评打分': 3}
{'短评内容': '酒店很不错。楼下的大敦煌酒吧高大尚。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '差差卫生极差，态度差，居然还停电床单不是一客一换，还有污垢一晚上合衣而睡', '短评打分': 3}
{'短评内容': '10一高峰期去的，条件一般价格不菲，能有个地方睡也就满足了，', '短评打分': 3}
{'短评内容': '酒店位置还是比较方便的，自驾离高速也不算太远，周围环境一般。到周围可以找到各种的吃饭的地方。酒店的设施和卫生一般。去嘉峪关比较方便，路比较顺。顺便说下，停车就在楼下的人行道，空间还可以。', '短评打分': 4}
