{'短评内容': '酒店老旧，卫生一般！', '短评打分': 3}
{'短评内容': '好的一次体验', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '太小了 房间 还有怪味，', '短评打分': 1}
{'短评内容': '很一般，晕', '短评打分': 2}
{'短评内容': '地理位置还可以的 附近有很多小吃店 走路15分钟到6号线地铁 公交车也很多 服务真的是很一般 希望能更干净一些', '短评打分': 4}
{'短评内容': '离地铁口大概1.2KM，周围比较繁华，餐饮什么都有，房间也不错，无噪音，也挺干净的，整体来说不错。', '短评打分': 5}
{'短评内容': '不错比门市价便宜很多', '短评打分': 5}
{'短评内容': '以后不要在京东订酒店，订了会当天自动确认，退不了的。其它网是可以退的！这京东太不合理了。', '短评打分': 5}
{'短评内容': '比较安静，还行', '短评打分': 4}
{'短评内容': '我的莲蓬头还有水龙头都是坏的', '短评打分': 4}
{'短评内容': '很干净，也很热情', '短评打分': 5}
{'短评内容': '在家门口，有朋友来代为订房的，图个方便：交通饮食等', '短评打分': 4}
{'短评内容': '在家门口，有朋友来代为订房的，图个方便：交通饮食等', '短评打分': 5}
{'短评内容': 'It is totally bad situation and I wont let you, my friend to become worse.', '短评打分': 1}
{'短评内容': '感觉一般化，周边吃饭到是可以。交通不是很方便，离地铁站较远。', '短评打分': 4}
{'短评内容': '地段好，吃饭方便，旁边就有很多小饭店，经济实惠。', '短评打分': 5}
{'短评内容': '服务不错服务不错服务不错服务不错', '短评打分': 4}
{'短评内容': '服务不错服务不错服务不错服务不错服务不错', '短评打分': 5}
{'短评内容': '还好  就是房间有点小  网速慢 有时连接不上  其他的都还好', '短评打分': 5}
{'短评内容': '位置有点偏，性价比还行，但整洁度一般，另外房间也不大，如果周边有更好的选择的话，还是倾向于其他，但在上海这个性价比还是不错的', '短评打分': 5}
{'短评内容': '离上海新国际博览中心还是很远的，呵呵。不过价格十分便宜。也就一晚上，凑合一下也就过去了。', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '偏僻，潮湿，离地铁要走15-20分钟，唯一值得的是价格便宜，这个价格摆在那边，也就这样了', '短评打分': 1}
{'短评内容': '不错红红火火   哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈   ', '短评打分': 5}
{'短评内容': '不知道房间要干净么 潮死了 而且厕所有点异味', '短评打分': 1}
{'短评内容': '酒店很实惠就是隔音不太好', '短评打分': 3}
{'短评内容': '首先，酒店的地点很偏僻，但是这个对于住客而言，也不算太坏，至少还算是比较安静的地方；\n第二，酒店相当陈旧，你都没法再找到一家这样旧的酒店了，斑驳的墙体，漏水的马桶和面盆龙头，坑爹的；\n第三，设施一点都不到位，各位会员，你们住过没有衣架的酒店吗？你们住过借电吹风要给100块押金的酒店吗？\n综上三点，如果你看了这样的评价还想去或者要去订这个酒店的话，那么，恭喜你，你一定会后悔的！！！', '短评打分': 1}
