{'短评内容': '很好很好，值得推荐', '短评打分': 5}
{'短评内容': '位置不错！服务态度一般！总体感觉性价比不错！主要是办事方便！', '短评打分': 5}
{'短评内容': '没有早餐，可加，可以带，位置繁华，没有停车场，但是房间干净卫生整洁，价格比较优惠便宜，总体来说是值得推荐哦。', '短评打分': 5}
{'短评内容': '我经常住加利利，毕竟是咱陕西的住宿连锁店，这次觉得有点退步，还真需要再改进，服务态度、理念，硬件设施都有提升空间……', '短评打分': 5}
{'短评内容': '不错，很安静，离地铁口附近，离最近的商业圈也是很近的，只要住在这里就会比较方便！要是所有人都是两点退房就好了！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '666666666666666666666666666666', '短评打分': 5}
{'短评内容': '嗯嗯嗯 酒店很干净  之前住过 而且价格划算  是在高层 噪音很小  不错', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '去西安出差定的，以前都是在去哪儿定，突然发现京东也能定酒店，加上赠券，比较来说还是京东便宜，支持京东，支持强哥', '短评打分': 5}
{'短评内容': '长庆出差定的，京东送的优惠券后挺便宜的，房间不错，前台态度一般，喜欢京东', '短评打分': 5}
{'短评内容': '还可以吧就是感觉哪里都不太对劲可是住起来很舒服', '短评打分': 5}
{'短评内容': '服务不错，下次还会来～～！！！', '短评打分': 5}
{'短评内容': '环境卫生，位置优越', '短评打分': 5}
{'短评内容': '房间里常用物品预备不全，有一个很普通的电话，找了半天没找到客房服务的号码，只能跑下去找前台接待，门卡老化的不行，开门第一次要五分钟才能进去。', '短评打分': 2}
{'短评内容': '挺好，性价比很高', '短评打分': 5}
{'短评内容': '房间干净卫生。', '短评打分': 5}
{'短评内容': '位置方便快捷', '短评打分': 5}
{'短评内容': '周围环境不错，交通很方便，暖气很不错，很暖和，但厕所竟然木有纸了，最后打电话才要到。', '短评打分': 5}
{'短评内容': '地铁站旁交通便利，周边配套齐吃饭逛街选择多', '短评打分': 5}
{'短评内容': '来西安都是这家酒店，离地铁站近 方便～而且这家离北客站近，方便乘坐高铁。', '短评打分': 4}
{'短评内容': '环境很好，服务也很周到，有机会还会来的', '短评打分': 5}
{'短评内容': '还可以，没房了还免费给升级了，挺不错。', '短评打分': 5}
{'短评内容': '很不错很不错', '短评打分': 5}
{'短评内容': '交通比较方便，房间卫生还可以，就是等待电梯时间较长。交通比较方便，房间卫生还可以，就是等待电梯时间较长', '短评打分': 5}
{'短评内容': '靠近2#地铁,到那里都方便,特别是动车,几乎是直达,机场也近,都在西北方向;而且静中带旺,周边不堵车.', '短评打分': 5}
{'短评内容': '酒店所在的大楼还有不少其他经营租户，如餐饮，足浴，培训之类的，感觉有些嘈杂，但晚上睡觉倒还算安静，标房不大，装修简单，卫浴间仿锦江之星，无一次性拖鞋，离地铁口3,5分钟。现在准备换里面的凳子了', '短评打分': 5}
