{'短评内容': '在大学内公差，还行、服务很好', '短评打分': 5}
{'短评内容': '酒店就在沙滩边，去山大和海边一步之遥，酒店有后门直接进入沙滩，太方便了，这里也是威海最美的地方，已经住过多次，非常满意！', '短评打分': 5}
{'短评内容': '好好好好好好好好 海边', '短评打分': 5}
{'短评内容': '视野开阔，無敌海景', '短评打分': 5}
{'短评内容': '环境服务都好', '短评打分': 5}
{'短评内容': '周边环境不错，酒店设施比较老但有的房间正在装修，很干净服务也不错', '短评打分': 5}
{'短评内容': '酒店周边环境不错，酒店建的年限比较长，设施有点旧，服务一般，内部餐厅有点贵，可选择吃的不多。不太符合四星标准', '短评打分': 4}
{'短评内容': '上学的时候觉得学术交流中心可高大上了，这次回学校特意过来住，位置很好，风景很好，前台服务非常热情，酒店设施有些旧，毕竟已经这么多年了，给我们升级了套房，晚上可以在海水浴场边上的咖啡酒吧坐着玩玩，现在天气已经冷了，如果是夏天应该更好，挺不错的', '短评打分': 4}
{'短评内容': '酒店位置非常棒！就在国际浴场旁，但又不是最中心的位置，因此即享受了无敌海景，又不会被游人的喧闹所打扰。酒店的院子就通往细软的沙滩，环境没得说，独一无二，一定要住海景房！！  威海的环境真不错，而且因为是初冬的缘故，游人已经很少，海边人不多，路上也没有了旺季熙熙攘攘的游人，有点欧洲小镇的感觉。即使是阴天，空气也很清新。酒店周边饭馆酒吧很多，很方便，即使不想在酒店吃饭出门吃饭太累，叫个百度外卖都很快，', '短评打分': 5}
{'短评内容': '酒店位置非常棒！就在国际浴场旁，但又不是最中心的位置，因此即享受了无敌海景，又不会被游人的喧闹所打扰。酒店的院子就通往细软的沙滩，环境没得说，独一无二，一定要住海景房！！    威海的环境真不错，而且因为是初冬的缘故，游人已经很少，海边人不多，路上也没有了旺季熙熙攘攘的游人，有点欧洲小镇的感觉。即使是阴天，空气也很清新。酒店周边饭馆酒吧很多，很方便，即使不想在酒店吃饭出门吃饭太累，叫个百度外卖都很', '短评打分': 5}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '酒店就在海边，景色优美，玩水方便，周边100米吃饭的地方多，入住后送了两个苹果，味道不错，早餐一般，不够丰盛', '短评打分': 5}
{'短评内容': '性价比非常好，住着舒适，面朝大海。服务热情，还赠送新鲜水果。', '短评打分': 5}
{'短评内容': '温度太冷了，环境有点旧，服务还不错！挺热情的。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间太小，也没有小酒吧，就是靠海边而已,很一般很一般的', '短评打分': 1}
{'短评内容': '酒店的位置很好，出门就是沙滩海边，周边环境很好，交通还可以，门口就有去市里的公交车，出行很方便，服务员态度很好，周到热情，住宿环境还是很不错的', '短评打分': 5}
{'短评内容': '除了地理位置好，其他都不满意。卫生差，入住后发现房间的垃圾筒里堆满了垃圾，居然还有小虫飞出来。绝对不可能再入住了。而且价格还不便宜，完全不值得。', '短评打分': 1}
{'短评内容': '位置真的好，我要的海景房，在房间里就能看着海上日落，美呀！\r\n枕着海浪入睡的感觉真好！\r\n房间设施简陋陈旧了些，相比而言房价就有点高了，而且不提供早餐。', '短评打分': 5}
{'短评内容': '啥都没有，没有服务，打车也不方便，就是前面的大海景观漂亮，其他没有任何好处。早餐只觉得很贵，不是给人吃的东西，打扫房间我扫的比服务员还好。没有精光的话我看没有人想去哪儿居住。', '短评打分': 1}
{'短评内容': '酒店离海边很近，但设施陈旧，客梯来回运送厨房垃圾，永远臭哄哄的，服务就更不能提了，总之，很差!', '短评打分': 5}
{'短评内容': '不错，白天观海景，游沙滩，可游泳，晚上枕着大海涛声入眠', '短评打分': 3}
{'短评内容': '已入住.夜色不错！可惜有事明天要离开', '短评打分': 5}
{'短评内容': '很不错.真的就在沙滩上.一进大堂迎面就是大海.海景房窗口对着海滩,风景不错.服务很热情.包括餐厅.房间旧了一点儿.可以理解.', '短评打分': 3}
{'短评内容': '不错，下回还会去。\r\n服务很热情。地点超级棒！', '短评打分': 3}
{'短评内容': '地点相当好！就在沙滩上！一进大堂迎面就是海景！！！赞。\r\n房间设施相对旧了一些。服务非常好！服务员都很热情。\r\n餐厅的拔鱼馅的饺子很好吃。\r\n下回去还住这里！！！', '短评打分': 5}
{'短评内容': '酒店很好，离海边很近，下次继续住！', '短评打分': 5}
{'短评内容': '酒店的环境一般，不过酒店的位置比较好，里面的卫生设施一般，态度也一般主要就是酒店位置好离海边近， 价格还是偏贵了。', '短评打分': 1}
{'短评内容': '房间挺大的，收拾的挺利索，让人感觉干净舒适。', '短评打分': 5}
{'短评内容': '我觉得这服务还是很周到，网速很快，上网很爽，这点值得赞一个。', '短评打分': 5}
{'短评内容': '服务上很负责，态度也很好，素质很好，感觉不错。', '短评打分': 5}
{'短评内容': '位置很好，离海边很近，空气很清新，很适合休闲度假。', '短评打分': 5}
{'短评内容': '酒店的硬件条件和服务还算是可以，不过他的设施和价格来说不成比例，感觉价格有点高，不过主要是他的位置好，所以还是可以考虑的。', '短评打分': 3}
