{'短评内容': '宾馆被子柔软舒服。而且风景也不错。好评', '短评打分': 5}
{'短评内容': '服务周到，条件很好。', '短评打分': 5}
{'短评内容': '房间不错，挺好的，下次还会住', '短评打分': 5}
{'短评内容': '感觉挺好的，特别是床单被罩', '短评打分': 5}
{'短评内容': '有停车场，房间干净。', '短评打分': 4}
{'短评内容': '整洁干净', '短评打分': 5}
{'短评内容': '房间干净卫生，也特别安静，周围环境比较好！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '隔音不好，酒店房间跟迷宫似的方向感差的会迷路。', '短评打分': 5}
{'短评内容': '干净，卫生，安静，不错不错，锦江品牌还是值得信任', '短评打分': 5}
{'短评内容': '卫生好，环境好，服务好！', '短评打分': 5}
{'短评内容': '环境不错，卫生挺好。', '短评打分': 5}
{'短评内容': '环境好，前台美女漂亮', '短评打分': 5}
{'短评内容': '真的很不错的酒店，全五星好评。108个赞！！', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '性价比很高。周边环境非常好，早餐比较实惠。推荐入住', '短评打分': 4}
{'短评内容': '综合来说还是不错的。', '短评打分': 5}
{'短评内容': '价格小贵，可能是旅游城市原因', '短评打分': 5}
{'短评内容': '性价比很高，出差适合', '短评打分': 5}
{'短评内容': '空调不好，一晚上响，但不制热。其他不错', '短评打分': 4}
{'短评内容': '酒店干净舒适，住着感觉很好，早餐种类也比较丰富，要称赞一下。离三孔也比较近，走路十几分钟路程，很便捷。', '短评打分': 5}
{'短评内容': '酒店很干净，所有服务员都能做到微笑服务，并且态度很好。不错的酒店。', '短评打分': 5}
{'短评内容': '环境优美，服务很好，房间干净卫生，早餐很好很丰盛，是驴友到曲阜的最佳选择！', '短评打分': 5}
{'短评内容': '锦江的一贯风格，呵呵！比较喜欢晾衣架的设置，正好处于空调风口下，夏天出行，衣服易干！离三孔的距离也很近，方便。酒店出门右拐不远就有美食一条街，量大价廉，实惠！卫生间的沐浴房是浴帘，不是很喜欢，干湿不易分开。酒店不赠送早餐，如果消费，18元一人，高了！', '短评打分': 5}
{'短评内容': '很好价格实惠服务员也很到位交通方便早餐一般', '短评打分': 5}
{'短评内容': '环境相当优雅，前台的服务也很好，就是我儿丢失了房卡后要有二十元的赔款，有些贵了吧！前一天我在济南也是住的锦江之星。这样有些失望，虽然只是二十元，小孩子没注意，领了房卡去后面的楼里，只有二十多米的距离，都在酒店范围内，就这样没了，奇迹，不管你信不信，反正我信了！。。。。。。。。', '短评打分': 5}
{'短评内容': '过去的早了些，没有预定的商务房A了，就给我换了更好的带阳台的大房，很好很给力。\n交通很方便，不过热水不给力。', '短评打分': 5}
{'短评内容': '清洁安静', '短评打分': 3}
{'短评内容': '环境不错，就是交通有点不太方便，其它各方面都很好', '短评打分': 5}
{'短评内容': '一如既往的干净，安静，继续坚持，顶顶顶顶顶顶顶顶顶顶顶', '短评打分': 5}
{'短评内容': '酒店较新，内面较迂回', '短评打分': 4}
{'短评内容': '好,我一连几天在不同城市订了锦江之星,干净卫生.', '短评打分': 5}
{'短评内容': '态度很好，动车站过去，拼车要了30快，黑车，没办法，其实估计20块不到吧···酒店很干净，就是周围有点偏僻，没有卖啥的，到达酒店没有商务房，还免费给升级成商务套房了，感觉就是很舒服了恩····', '短评打分': 5}
{'短评内容': '基本还可以，就是房价中不含早餐。位置很幽静，停车很方便。', '短评打分': 1}
{'短评内容': '干净，安静，不错的地方，以后如果去还是会选这里。', '短评打分': 5}
{'短评内容': '各方面都还不错，但不知是不是因为通过第三方订房的原因，给的房间是一楼最边的，窗外是停车位。一大早就被说话声，汽车声给吵醒了。可能是在河边的原因，这个季节竟然就有蚊子了。', '短评打分': 5}
{'短评内容': '酒店环境优雅，周围有河流，树木，感觉清新怡然，离孔府很近，是旅游住宿的首选。酒店内部环境很好，设备齐全，很适合商务人士拎包入住，非常喜欢这个酒店，以后还会再来。', '短评打分': 5}
{'短评内容': '大门口处给人的感觉很好，一下车便感觉身心舒畅，楼旁还有鱼池，前台工作人员态度很好，笑得很灿烂，进入房间内，房间很宽敞，到处都很整洁，床比较柔软，很干净，床头提前插好了电蚊香液，想得很周到，连锁酒店基本都住过了，还是喜欢锦江，以后还会住。', '短评打分': 5}
{'短评内容': '1.市政府旁边，很安静，环境很好，旁边是一条河，河边很多柳树；\n2.房间内浅色系装修风格，很干净，只是枕头太软不舒服；\n3.服务很好，但是房间隔音效果不太好；\n4.宾馆有免费停车位；\n5.步行十分钟有个菜市场，买水果吃早餐很方便，曲阜是个小的旅游为主的城市，挺舒服的，再去的话还会住在这里。', '短评打分': 5}
{'短评内容': '服务和房间都不错。不在老城区里面，但是打车6-7块钱就能到，方位也还可以。', '短评打分': 5}
{'短评内容': '，住的还行，但由于是最外面的楼，有点吵…', '短评打分': 3}
{'短评内容': '感觉相当舒适，离市政府很近，离三孔也不远，相当推荐。', '短评打分': 5}
{'短评内容': '环境挺好的，早餐也相当给力，下次去曲阜还会入住锦江之星', '短评打分': 5}
{'短评内容': '曲阜经济型酒店中最好的一个，环境好，较为安静、整洁。', '短评打分': 5}
{'短评内容': '曲阜经济型酒店中最好的一个，环境好、较为安静、整洁。', '短评打分': 5}
{'短评内容': '非常好的酒店，干净舒适整洁，暖气也相当给力，就是房间和窗户有点小，屋子永远暗暗的', '短评打分': 5}
{'短评内容': '非常不错的酒店，就是房间有点小，窗户也不大，不过十分干净整洁', '短评打分': 5}
{'短评内容': '距离市区稍远，价位在曲阜属于中上，房间住着很舒服。', '短评打分': 5}
{'短评内容': '环境优雅，房间干净很宽敞，住过的最好的经济型酒店了。', '短评打分': 5}
{'短评内容': '房间大，干净，住过的锦江之星里比较好的一个。环境比较安静。', '短评打分': 5}
{'短评内容': '环境很不多，在曲阜算是比较好的商务酒店了。', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '环境优雅，服务周到，需要换床单2分钟就过来了，十分感动。环境好像在世外桃源的感觉，就是有一天晚上的时候没有热水，等了2小时，希望改进。', '短评打分': 5}
{'短评内容': '酒店不错，隔音效果很好，下次如果去上海会继续入住。', '短评打分': 5}
{'短评内容': '酒店很干净，暖气很好。吃饭不太方便。很好。下次还住该酒店。', '短评打分': 5}
{'短评内容': '房间很干净整洁。服务不是很周到。', '短评打分': 3}
{'短评内容': '环境很不错，很优雅，很安静。也很干净。锦江之星，不错的选择。可以免费停车，免费上网。', '短评打分': 5}
{'短评内容': '＋总体不错', '短评打分': 3}
{'短评内容': '曲阜的这家锦江之星的环境很不错，可谓是闹中取静。这是第一次入住锦江之星，房间内的布置我很喜欢，以后我会再光顾的。', '短评打分': 5}
{'短评内容': '干净，安静，服务好，推荐。', '短评打分': 3}
{'短评内容': '房间很干净，在曲阜这个旅游城市来说性价比很高。尤其是我退房时忘记了手机充电器，前台帮我找到并承诺帮我快递至指定地址，对他们的服务很满意。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '整体都不错，就是国庆期间房价翻番还多，不厚道啊不厚道', '短评打分': 3}
{'短评内容': '酒店外观很不错，家人以为是高档酒店。房间整洁舒适，卫生间设施有一些年头。早餐不错，但要单独交钱。', '短评打分': 3}
{'短评内容': '水不太热', '短评打分': 3}
{'短评内容': '酒店离三孔景区距离较远，主要方便到曲阜县（市）政府办公。室内卫生情况在全国锦江之星中算中等，不算最好。值得推荐的原因在于曲阜这样一个县城，实在是难得有如此干净、清爽的酒店了。', '短评打分': 5}
{'短评内容': '周围环境不错，晚上也很安静，停车也方便，可以一住', '短评打分': 5}
{'短评内容': '不错值得推荐，只是离景点有些远。但是离汽车站点比较近，而且附近不远处就有一个小市场，吃早点比较方便。', '短评打分': 5}
{'短评内容': '非常好 是泰安曲阜三天中唯一睡好的一天 走時把手機忘了 飯店還幫我寄回來 十分感謝 還送了折價卷 服務好 品質佳', '短评打分': 5}
{'短评内容': '性价比不错.', '短评打分': 3}
{'短评内容': '家人都说很不错，卫生各方面都很好，早餐也很丰富，如果以后有机会还会入住的。', '短评打分': 5}
{'短评内容': '非常不错的酒店，性价比极高。房间大，安静，热情，上网也方便！', '短评打分': 5}
{'短评内容': '比较满意！性价比较高，位置不错，安静，舒适！', '短评打分': 5}
{'短评内容': '这是我住过的各方面都很好的锦江之星！', '短评打分': 3}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好啊', '短评打分': 5}
{'短评内容': '性价比超高！性价比超高！性价比超高！性价比超高！性价比超高！性价比超高！', '短评打分': 5}
{'短评内容': '这酒店挺好的，服务员热情，前台也超级好，超级热情，下次如果来曲阜，还是会在这里住，房间挺好，有个小阳台，最方便的是有个晾衣架，很好狠好~~~狠支持锦江之星', '短评打分': 5}
{'短评内容': '还可以，就是走道太复杂了，在孔子家乡旅游骗子多啊，大家一定要小心', '短评打分': 5}
{'短评内容': 'this hotel is the good one i ever stayed.\ni hope eveybody coming to qufu lives in this hotel.', '短评打分': 5}
{'短评内容': '房间干净整洁！我觉得早餐应该在房费里面包含会更好！', '短评打分': 5}
{'短评内容': '不错，很干净，服务也不错。', '短评打分': 3}
{'短评内容': '很安静  小别墅的建筑风格很别致  卫生什么的也还不错  这一晚是我在旅行中睡的最好的一晚', '短评打分': 5}
{'短评内容': '还好还好还好还好还好还好还好还好还好还好', '短评打分': 5}
{'短评内容': '再次入住，一如既往的温馨，只是给我的房间太靠后了点，找半天才到房间', '短评打分': 5}
{'短评内容': '周边环境很好！院内可以停车，用餐也很方便，房间卫生整洁！', '短评打分': 5}
{'短评内容': '不错。希望继续加油，保持住良好的卫生和设施。', '短评打分': 5}
{'短评内容': '隔音不太好 其他很好了其他很好了其他很好了其他很好了其他很好了', '短评打分': 5}
