{'短评内容': '设施比较老旧了，条件也算是可以了，价格合理。', '短评打分': 3}
{'短评内容': '很安静，是去一机办事首选，但是很难订房。', '短评打分': 3}
{'短评内容': '还是可以的，除去卫生间异味', '短评打分': 3}
{'短评内容': '离一机厂很近，出差方便，环境不错～也很干净。有自助餐厅……吃饭也很方便。', '短评打分': 3}
{'短评内容': '比较差劲，位置太偏，房间味太大而且不干净，这就是国企的毛病', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还不错，2号楼睌上很安静，办事方便。', '短评打分': 4}
{'短评内容': '离办事单位很近，距机场路况好不堵车，方便。', '短评打分': 5}
{'短评内容': '淡季打折还是比较多，夏秋旺季价格差不多多一半', '短评打分': 5}
{'短评内容': '设施都比较旧了，房间也不大，应该是以前工厂的招待所，一般吧，不能期待更多了，提供饮用过滤水，这个倒不错', '短评打分': 3}
{'短评内容': '如果来一机厂办事，这个酒店还是相当不错的，近。房间也还可以，地毯很厚，唯一的是早餐有点差，种类太少了，而且经常没有了', '短评打分': 5}
