{'descr': '一个字，垃圾！房间脏乱，地上都是污渍！', 'star': 3}
{'descr': '挺好的啊，就是有点儿偏，前台姐姐漂亮', 'star': 3}
{'descr': '总体还不错，唯一的缺点就是就是房间隔音效果太差', 'star': 3}
{'descr': '总之不太好', 'star': 1}
{'descr': '房间设施太陈旧，不好，隔音效果那真是不好，隔壁人小声说话都可以听的到，好多学生什么的，太吵了，无论早上还是晚上，很难休息好，并且房间很小，桌子上好多灰尘，并且这个价格跟其他酒店比起来，着实太差，希望酒店有所改观。', 'star': 3}
{'descr': '一般吧，环境比较差。服务态度还好', 'star': 4}
{'descr': '相当垃圾，一点也不夸张，门都是坏的，马桶好恶心，空调吧，不知道多少年了，发出一些头疼的声音。制热唉，不说了。床好硬，我的心已经凉了，关键是这地特别偏僻，周围连商店都没有。里面还有一股难闻的气味，此时此刻，我的头真的好晕。', 'star': 2}
{'descr': '一般般', 'star': 3}
{'descr': '一般般', 'star': 2}
{'descr': '地段不错，房子不行，又旧又老，118的和108的还没区别', 'star': 5}
{'descr': '外观残破 内饰还行比较干净 只是不太诚信  说好两间一样的房型  另一间居然“掉包”（还曾来电说要临时加价）后来经我一再要求才换了一间  不会再住了更不会推荐 先做好诚信再说吧！', 'star': 1}
{'descr': '床太硬了，卫生间太小了，价格比如家还贵…好在容易定到房…', 'star': 3}
{'descr': '环境还行就是比较难找到～周边吃的挺多', 'star': 3}
{'descr': '酒店真的很干净，装修的也很有心思，环境也挺安静的，总之是个性价比较高的酒店', 'star': 3}
{'descr': '虽然比较难找，但离市中心很近、房间干净舒服，经济实惠，我还蛮喜欢的。', 'star': 5}
{'descr': '位置还算可以，主要是性价比较高！', 'star': 3}
{'descr': ' 很好', 'star': 3}
{'descr': '酒店位置还不错，距离闹市区很近。不过酒店档次不高，但偶尔住一两天还可以，服务也还好，价格很便宜，卫生状况也可以', 'star': 5}
{'descr': '旅馆环境和服务一般，不过比较好找', 'star': 3}
{'descr': '背朝清杨路， 靠近什么振兴路， 差点以为是在那条路上， 差点想退的， 不过找到正位置也还好， 环境也还行， 不过床居然是硬板床， 这也太那个点了吧， 有线电视换台反应那叫个慢啊， 不过108这个价， 也就这样了， 多加点钱， 在附近也可以换个更好点的', 'star': 5}
{'descr': '干干净净的小旅店 挺好的，藏在小弄堂里，略微有些难找～', 'star': 5}
{'descr': '还不错，价格也适中。就是有点难找。', 'star': 3}
{'descr': ' 隔音效果差了点 其他都很不错 老板和前台小姐都很热情 住得很愉快 ', 'star': 3}
{'descr': '不怎么好，脏，乱，差，形容吧，不像想象中的快捷酒店那样', 'star': 3}
{'descr': '这酒店开水蛮好的、电视有电影看也好。服务员的服务也好。', 'star': 5}
{'descr': '价格很划算，位置很方便，但是隔音效果实在太差啊。。。', 'star': 1}
{'descr': '整个楼的卫生比较差 楼道的地毯上还有很多建筑灰尘  没住就走了', 'star': 1}
{'descr': '房间挺干净卫生的，服务也挺好，就是隔音方面有待于提高。', 'star': 3}
{'descr': '位置挺好，出行交通挺便利，服务态度很好，感觉挺亲切的。', 'star': 3}
{'descr': '外观设计的挺简单，卫生打扫很好，服务挺人性化，这点挺好的。', 'star': 5}
{'descr': '酒店挺大众化的，跟连锁的差不错，住着还算舒适。', 'star': 3}
{'descr': '地理位置闹中取静，房间比较干净整洁，但是房间没有及时打扫。总体来说，性价比较高。', 'star': 5}
{'descr': '酒店看着挺新挺干净，跟其他连锁形式的一样，挺方便挺实惠的。', 'star': 5}
{'descr': '外观一般，内部挺干净，服务态度很热情，就是隔音效果不太好。', 'star': 3}
{'descr': '酒店还不错，服务态度挺好，卫生打扫的也不错，住的还挺舒适。', 'star': 5}
