{'短评内容': '好，，，，，，，，，，，，，，，，，，，，，', '短评打分': 4}
{'短评内容': '代人预定，虽然是豪华房，不过朋友说房间依旧很糟糕。如果不是网上需要信用卡担保，就直接另觅他处了。', '短评打分': 3}
{'短评内容': '非常簡陋的一家商務酒店，但地理位置相當好，可惜隔音略差，不然性價比算是可以的。', '短评打分': 3}
{'短评内容': '交通很方便，但隔音太糟了！', '短评打分': 2}
{'短评内容': '髒亂差的傑出代表。', '短评打分': 2}
{'短评内容': '价钱吧，好像还适中，可就是觉得房间卫生不太好，被褥不太干净，搞得我儿子直说“好脏”...另外双人间空间有点小。', '短评打分': 1}
{'短评内容': '虽然位置很好出行方便，可是房间太差了。服务态度一般！', '短评打分': 1}
{'短评内容': '交通便利，环境也不错哦', '短评打分': 3}
{'短评内容': '装修真一般，这是没想到的，希望有所改进！', '短评打分': 1}
{'短评内容': '我订的是豪华房，但看起来跟普通宾馆没什么两样，最恶心的是整个房间弥漫着一股臭味，也不知道从哪里来的。。。除了地理位置好，靠近地铁口，其他就。。。', '短评打分': 1}
{'短评内容': '床太短了!!我170的人只是剛剛好而已，更別說180的人了~', '短评打分': 1}
{'短评内容': '酒店的地理位置还不错，方便出入。酒店人员服务态度还可以。遗憾的是房间里的排气扇声音实在大，噪声影响睡眠质量。', '短评打分': 5}
{'短评内容': '很吵。厕所很奇怪，马桶在厕所的中间，然后洗完澡水地下全是水很久也不干。不过地点很好，很方便。交通也很方便，服务态度也不错。 ', '短评打分': 1}
{'短评内容': '房间根本没有30-40平方米，特别是洗澡水放了很久还不热，房间装修破旧。夜晚我的朋友在酒店前面等出租车竟然被抢包。还特别贵，远远不值得。', '短评打分': 1}
{'短评内容': '整体都还不错~~卫生不错~服务态度很好很及时~~就是有一点~~我住过两次了~那个空调都不太给力啊~~', '短评打分': 5}
{'短评内容': '网上描述：床型：大床(180cm*200cm)上网方式：宽带[免费]房间面积：30-40平方米\n实际入住：床型：150cm*200cm)   房间面积：少于25平\n床单上面还有好多卷卷的毛毛........', '短评打分': 1}
{'短评内容': '其他各方面够过得去 感觉服务方面不够专业', '短评打分': 5}
{'短评内容': '房间噪音太大，隔音效果不好，看起来入住率不好', '短评打分': 1}
{'短评内容': '环境,服务度是一般般,也没法上网', '短评打分': 3}
{'短评内容': '太简陋了,除了位置比较好之外其他的都不好.性价比很低', '短评打分': 1}
{'短评内容': '酒店的设施很简单卫生打扫也不怎么样，位置的话还是蛮好找的，价格和酒店环境比较也不是很匹配。服务也很简单。', '短评打分': 1}
{'短评内容': '酒店环境一般，服务也很一般，空调没暖气，晚上加被子也没有，他们的被子还是用夏天的被子，没有停车票拿', '短评打分': 3}
{'短评内容': '酒店内部装修还好，卫生打扫的很干净，前台服务态度挺好，周边交通挺便利的，值得推荐。', '短评打分': 5}
{'短评内容': '酒店平常时价格还是挺实惠的，服务态度也挺好的，服务也挺周到的。', '短评打分': 5}
{'短评内容': '房间挺干净，服务也不错，设施简单实用，价格也挺合理。', '短评打分': 5}
{'短评内容': '服务态度很差，房间的质量和卫生真的不敢恭维~~', '短评打分': 1}
{'短评内容': '这家酒店主要是位置很好，离地铁站挺近，周边公交打车也挺方便，附近超市餐饮也有，吃饭购物也挺方便。', '短评打分': 3}
{'短评内容': '酒店还算干净，位置挺好，出行很方便，价格也比合适。', '短评打分': 5}
